#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_14_length_56501_cov_33.217624:48522-48866|+ -            115 14868                -            115   7.2e-52  171.9   0.4   1   1     2e-54   7.9e-52  171.8   0.4     1   112     1   112     1   114 0.98 NODE_14_length_56501_cov_33.217624_44 # 48522 # 48866 # 1 # ID=14_44;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_28_length_32648_cov_29.742705:9358-11079|+  -            574 14868                -            115      0.51    8.0  30.4   6   6      0.29   1.1e+02    0.5   0.0    45    72   505   532   488   569 0.52 NODE_28_length_32648_cov_29.742705_11 # 9358 # 11079 # 1 # ID=28_11;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_54_length_14882_cov_35.020166:6831-7688|-   -            286 14868                -            115      0.67    7.7  14.4   1   3    0.0045       1.7    6.3   3.8    34    93    82   137    76   151 0.74 NODE_54_length_14882_cov_35.020166_9 # 6831 # 7688 # -1 # ID=54_9;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.400
NODE_54_length_14882_cov_35.020166:6831-7688|-   -            286 14868                -            115      0.67    7.7  14.4   2   3    0.0067       2.6    5.8   1.4    29    71   141   184   130   196 0.65 NODE_54_length_14882_cov_35.020166_9 # 6831 # 7688 # -1 # ID=54_9;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.400
NODE_54_length_14882_cov_35.020166:6831-7688|-   -            286 14868                -            115      0.67    7.7  14.4   3   3      0.11        44    1.8   0.2    34    68   189   223   185   263 0.79 NODE_54_length_14882_cov_35.020166_9 # 6831 # 7688 # -1 # ID=54_9;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.400
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/14868at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_illumina_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_illumina_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/14868at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/14868at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_illumina_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:12:08 2026
# [ok]
