#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_4_length_101830_cov_39.048283:67476-69038|+ -            521 18543                -            520         0 1065.2  18.8   1   1         0         0 1065.1  18.8     1   518     1   518     1   520 0.99 NODE_4_length_101830_cov_39.048283_60 # 67476 # 69038 # 1 # ID=4_60;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
NODE_26_length_34327_cov_44.144053:24668-25843|- -            392 18543                -            520   1.8e-30  103.4   3.1   2   2       2.4        96   -1.3   0.1    93   144   279   331   248   338 0.71 NODE_26_length_34327_cov_44.144053_25 # 24668 # 25843 # -1 # ID=26_25;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.416
NODE_6_length_99885_cov_29.307212:17356-18099|+  -            248 18543                -            520   3.3e-30  102.5   0.0   1   1   1.1e-31   4.3e-30  102.1   0.0     8   227     2   216     1   225 0.89 NODE_6_length_99885_cov_29.307212_15 # 17356 # 18099 # 1 # ID=6_15;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.366
NODE_31_length_29314_cov_34.815612:13396-14328|+ -            311 18543                -            520     1e-28   97.6   0.5   1   1   3.3e-30   1.3e-28   97.2   0.5     7   224     2   214     1   236 0.94 NODE_31_length_29314_cov_34.815612_15 # 13396 # 14328 # 1 # ID=31_15;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_16_length_53957_cov_35.398816:12418-13353|+ -            312 18543                -            520   1.3e-28   97.2   0.1   1   1   4.2e-30   1.7e-28   96.9   0.1     7   233     4   226     1   235 0.91 NODE_16_length_53957_cov_35.398816_13 # 12418 # 13353 # 1 # ID=16_13;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.409
NODE_19_length_49767_cov_34.796387:21014-21766|+ -            251 18543                -            520   4.1e-28   95.6   0.2   1   1   1.2e-29   4.7e-28   95.4   0.2     5   202     2   205     1   231 0.87 NODE_19_length_49767_cov_34.796387_25 # 21014 # 21766 # 1 # ID=19_25;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.396
NODE_2_length_109676_cov_33.984218:76832-77599|- -            256 18543                -            520   6.1e-28   95.0   0.2   1   1   1.8e-29   7.2e-28   94.8   0.2     6   219     3   220     1   236 0.85 NODE_2_length_109676_cov_33.984218_85 # 76832 # 77599 # -1 # ID=2_85;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
NODE_16_length_53957_cov_35.398816:6718-7635|+   -            306 18543                -            520   1.3e-27   93.9   1.3   1   1   1.2e-28   4.6e-27   92.1   1.2     5   229     6   219     3   231 0.91 NODE_16_length_53957_cov_35.398816_7 # 6718 # 7635 # 1 # ID=16_7;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.417
NODE_21_length_44893_cov_38.330769:3825-5240|+   -            472 18543                -            520     8e-27   91.4   4.7   1   2   9.2e-15   3.6e-13   46.3   0.2    22   226    18   223     1   236 0.79 NODE_21_length_44893_cov_38.330769_7 # 3825 # 5240 # 1 # ID=21_7;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NODE_21_length_44893_cov_38.330769:3825-5240|+   -            472 18543                -            520     8e-27   91.4   4.7   2   2   9.8e-15   3.9e-13   46.2   0.9    24   220   270   447   259   464 0.84 NODE_21_length_44893_cov_38.330769_7 # 3825 # 5240 # 1 # ID=21_7;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NODE_3_length_106498_cov_28.709525:33604-34290|- -            229 18543                -            520   2.4e-26   89.8   0.1   1   1   7.2e-28   2.8e-26   89.5   0.1     6   207     3   207     1   220 0.87 NODE_3_length_106498_cov_28.709525_31 # 33604 # 34290 # -1 # ID=3_31;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.364
NODE_19_length_49767_cov_34.796387:32152-32853|+ -            234 18543                -            520   4.6e-26   88.8   0.1   1   1   2.1e-27   8.3e-26   88.0   0.1    18   229    18   223     2   229 0.84 NODE_19_length_49767_cov_34.796387_34 # 32152 # 32853 # 1 # ID=19_34;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.396
NODE_1_length_114283_cov_31.103635:43041-43676|- -            212 18543                -            520   4.9e-26   88.8   0.1   1   1   1.4e-27   5.6e-26   88.6   0.1     8   212     2   203     1   208 0.91 NODE_1_length_114283_cov_31.103635_37 # 43041 # 43676 # -1 # ID=1_37;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.379
NODE_47_length_17117_cov_34.327980:425-1957|-    -            511 18543                -            520   9.2e-26   87.9   3.7   1   4   2.1e-11   8.1e-10   35.2   0.2     7    67     3    63     1    68 0.93 NODE_47_length_17117_cov_34.327980_1 # 425 # 1957 # -1 # ID=47_1;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_47_length_17117_cov_34.327980:425-1957|-    -            511 18543                -            520   9.2e-26   87.9   3.7   2   4   1.4e-07   5.6e-06   22.6   0.0   403   483   158   235   131   251 0.78 NODE_47_length_17117_cov_34.327980_1 # 425 # 1957 # -1 # ID=47_1;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_47_length_17117_cov_34.327980:425-1957|-    -            511 18543                -            520   9.2e-26   87.9   3.7   3   4   1.1e-06   4.5e-05   19.6   0.0    26    66   339   379   336   391 0.90 NODE_47_length_17117_cov_34.327980_1 # 425 # 1957 # -1 # ID=47_1;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_47_length_17117_cov_34.327980:425-1957|-    -            511 18543                -            520   9.2e-26   87.9   3.7   4   4    0.0024     0.096    8.6   0.0   400   443   433   476   403   507 0.78 NODE_47_length_17117_cov_34.327980_1 # 425 # 1957 # -1 # ID=47_1;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_3_length_106498_cov_28.709525:3244-4014|+   -            257 18543                -            520   3.4e-25   86.0   0.2   1   1   1.1e-26   4.3e-25   85.6   0.2    24   234    26   243    14   250 0.87 NODE_3_length_106498_cov_28.709525_5 # 3244 # 4014 # 1 # ID=3_5;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
NODE_75_length_7718_cov_38.049589:6549-7580|+    -            344 18543                -            520   1.1e-24   84.3   0.1   1   1     4e-26   1.6e-24   83.8   0.1    27   226    22   216     3   234 0.88 NODE_75_length_7718_cov_38.049589_9 # 6549 # 7580 # 1 # ID=75_9;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.435
NODE_14_length_56501_cov_33.217624:34213-35796|+ -            528 18543                -            520   1.7e-24   83.6   3.0   1   3   1.4e-14   5.4e-13   45.7   0.8   264   472     5   223     1   238 0.74 NODE_14_length_56501_cov_33.217624_28 # 34213 # 35796 # 1 # ID=14_28;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
NODE_14_length_56501_cov_33.217624:34213-35796|+ -            528 18543                -            520   1.7e-24   83.6   3.0   2   3   1.1e-06   4.5e-05   19.6   0.0     7    66   327   386   322   396 0.86 NODE_14_length_56501_cov_33.217624_28 # 34213 # 35796 # 1 # ID=14_28;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
NODE_14_length_56501_cov_33.217624:34213-35796|+ -            528 18543                -            520   1.7e-24   83.6   3.0   3   3   1.2e-05   0.00046   16.3   0.0   132   184   431   486   415   498 0.79 NODE_14_length_56501_cov_33.217624_28 # 34213 # 35796 # 1 # ID=14_28;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
NODE_14_length_56501_cov_33.217624:47220-47957|- -            246 18543                -            520   3.1e-24   82.8   0.1   1   1   9.3e-26   3.7e-24   82.6   0.1    10   220     5   210     1   220 0.93 NODE_14_length_56501_cov_33.217624_42 # 47220 # 47957 # -1 # ID=14_42;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.393
NODE_19_length_49767_cov_34.796387:10801-13137|- -            779 18543                -            520   4.5e-24   82.3   0.2   1   2   9.3e-25   3.7e-23   79.3   0.3    18   220    16   217     1   223 0.82 NODE_19_length_49767_cov_34.796387_14 # 10801 # 13137 # -1 # ID=19_14;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_19_length_49767_cov_34.796387:10801-13137|- -            779 18543                -            520   4.5e-24   82.3   0.2   2   2      0.73        29    0.4   0.0   254   312   442   496   432   527 0.76 NODE_19_length_49767_cov_34.796387_14 # 10801 # 13137 # -1 # ID=19_14;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_6_length_99885_cov_29.307212:65262-66161|+  -            300 18543                -            520   5.8e-24   81.9   0.4   1   1   3.1e-25   1.2e-23   80.8   0.4     8   231     2   217     1   256 0.91 NODE_6_length_99885_cov_29.307212_65 # 65262 # 66161 # 1 # ID=6_65;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.388
NODE_6_length_99885_cov_29.307212:55283-55951|+  -            223 18543                -            520     1e-23   81.1   0.3   1   1   3.1e-25   1.2e-23   80.8   0.3     7   208     3   206     1   217 0.87 NODE_6_length_99885_cov_29.307212_56 # 55283 # 55951 # 1 # ID=6_56;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.369
NODE_102_length_3832_cov_28.177919:1518-2174|+   -            219 18543                -            520   1.3e-23   80.8   2.7   1   1   3.1e-24   1.2e-22   77.5   2.7     7   226     3   211     1   217 0.85 NODE_102_length_3832_cov_28.177919_2 # 1518 # 2174 # 1 # ID=102_2;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.277
NODE_4_length_101830_cov_39.048283:37896-39518|- -            541 18543                -            520   1.4e-23   80.7   0.2   1   4   3.4e-12   1.3e-10   37.8   0.0     8    67     2    61     1   114 0.91 NODE_4_length_101830_cov_39.048283_32 # 37896 # 39518 # -1 # ID=4_32;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.375
NODE_4_length_101830_cov_39.048283:37896-39518|- -            541 18543                -            520   1.4e-23   80.7   0.2   2   4   8.7e-08   3.4e-06   23.3   0.0   402   483   153   231   126   266 0.86 NODE_4_length_101830_cov_39.048283_32 # 37896 # 39518 # -1 # ID=4_32;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.375
NODE_4_length_101830_cov_39.048283:37896-39518|- -            541 18543                -            520   1.4e-23   80.7   0.2   3   4     0.092       3.6    3.4   0.0     9    64   321   376   315   386 0.88 NODE_4_length_101830_cov_39.048283_32 # 37896 # 39518 # -1 # ID=4_32;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.375
NODE_4_length_101830_cov_39.048283:37896-39518|- -            541 18543                -            520   1.4e-23   80.7   0.2   4   4   0.00047     0.019   10.9   0.0   143   218   439   511   418   529 0.57 NODE_4_length_101830_cov_39.048283_32 # 37896 # 39518 # -1 # ID=4_32;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.375
NODE_44_length_19664_cov_36.992299:18598-19602|- -            335 18543                -            520   6.5e-23   78.4   0.3   1   1     2e-24   7.7e-23   78.2   0.3    19   230    22   244     1   248 0.78 NODE_44_length_19664_cov_36.992299_16 # 18598 # 19602 # -1 # ID=44_16;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.426
NODE_4_length_101830_cov_39.048283:96919-97788|+ -            290 18543                -            520     9e-23   78.0   0.0   1   1   3.1e-24   1.2e-22   77.5   0.0    22   229    22   232    14   239 0.83 NODE_4_length_101830_cov_39.048283_103 # 96919 # 97788 # 1 # ID=4_103;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
NODE_9_length_85202_cov_37.123657:23789-25543|+  -            585 18543                -            520   9.3e-23   77.9   0.3   1   1   3.5e-24   1.4e-22   77.4   0.3    24   224   367   565   363   575 0.87 NODE_9_length_85202_cov_37.123657_20 # 23789 # 25543 # 1 # ID=9_20;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.394
NODE_33_length_26464_cov_31.883600:5525-6610|+   -            362 18543                -            520   1.6e-22   77.1   0.1   1   1   6.2e-24   2.4e-22   76.6   0.1     7   224     5   217     2   243 0.88 NODE_33_length_26464_cov_31.883600_8 # 5525 # 6610 # 1 # ID=33_8;partial=00;start_type=GTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.397
NODE_7_length_86709_cov_33.100688:24626-25531|+  -            302 18543                -            520   1.5e-21   73.9   1.9   1   1     2e-22     8e-21   71.6   1.9     9   233     5   217     2   240 0.86 NODE_7_length_86709_cov_33.100688_26 # 24626 # 25531 # 1 # ID=7_26;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.401
NODE_22_length_43520_cov_30.536294:30199-30885|+ -            229 18543                -            520   1.7e-21   73.8   1.6   1   1   7.2e-23   2.8e-21   73.0   1.6     8   222     2   216     1   221 0.90 NODE_22_length_43520_cov_30.536294_35 # 30199 # 30885 # 1 # ID=22_35;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.419
NODE_44_length_19664_cov_36.992299:1683-2438|-   -            252 18543                -            520   2.1e-21   73.5   4.0   1   1   6.2e-23   2.4e-21   73.3   4.0     8   229     2   222     1   237 0.90 NODE_44_length_19664_cov_36.992299_3 # 1683 # 2438 # -1 # ID=44_3;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
NODE_6_length_99885_cov_29.307212:10945-12879|-  -            645 18543                -            520   2.3e-21   73.3   0.5   1   4   3.6e-10   1.4e-08   31.1   0.2     8    67     4    63     1    68 0.92 NODE_6_length_99885_cov_29.307212_9 # 10945 # 12879 # -1 # ID=6_9;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_6_length_99885_cov_29.307212:10945-12879|-  -            645 18543                -            520   2.3e-21   73.3   0.5   2   4   3.6e-05    0.0014   14.6   0.0   402   461   162   218   138   238 0.79 NODE_6_length_99885_cov_29.307212_9 # 10945 # 12879 # -1 # ID=6_9;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_6_length_99885_cov_29.307212:10945-12879|-  -            645 18543                -            520   2.3e-21   73.3   0.5   3   4   2.9e-05    0.0011   15.0   0.0     6    51   327   372   323   388 0.85 NODE_6_length_99885_cov_29.307212_9 # 10945 # 12879 # -1 # ID=6_9;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_6_length_99885_cov_29.307212:10945-12879|-  -            645 18543                -            520   2.3e-21   73.3   0.5   4   4    0.0051       0.2    7.5   0.0   401   461   442   499   432   552 0.81 NODE_6_length_99885_cov_29.307212_9 # 10945 # 12879 # -1 # ID=6_9;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_21_length_44893_cov_38.330769:7675-9417|+   -            581 18543                -            520     4e-21   72.5   0.2   1   1   1.5e-22   5.7e-21   72.0   0.2     6   224   328   545   325   555 0.86 NODE_21_length_44893_cov_38.330769_10 # 7675 # 9417 # 1 # ID=21_10;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.336
NODE_32_length_28108_cov_33.161872:15937-16683|- -            249 18543                -            520   8.1e-21   71.5   0.2   1   1   2.4e-22   9.3e-21   71.3   0.2     8   230     6   224     1   241 0.85 NODE_32_length_28108_cov_33.161872_17 # 15937 # 16683 # -1 # ID=32_17;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_29_length_31200_cov_30.116648:7105-7767|-   -            221 18543                -            520   5.8e-20   68.7   0.3   1   1   1.8e-21   7.2e-20   68.4   0.3    24   208    20   203    15   218 0.89 NODE_29_length_31200_cov_30.116648_7 # 7105 # 7767 # -1 # ID=29_7;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.380
NODE_4_length_101830_cov_39.048283:96104-96943|+ -            280 18543                -            520   6.8e-20   68.5   0.1   1   1     2e-21     8e-20   68.3   0.1    22   231    22   228     2   267 0.80 NODE_4_length_101830_cov_39.048283_102 # 96104 # 96943 # 1 # ID=4_102;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.413
NODE_11_length_80003_cov_31.743608:29672-31558|+ -            629 18543                -            520     9e-20   68.1   0.2   1   4   4.3e-05    0.0017   14.4   0.1    10    57     7    54     3   117 0.83 NODE_11_length_80003_cov_31.743608_31 # 29672 # 31558 # 1 # ID=11_31;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_11_length_80003_cov_31.743608:29672-31558|+ -            629 18543                -            520     9e-20   68.1   0.2   2   4   1.1e-06   4.4e-05   19.6   0.0   384   474   143   228   114   240 0.74 NODE_11_length_80003_cov_31.743608_31 # 29672 # 31558 # 1 # ID=11_31;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_11_length_80003_cov_31.743608:29672-31558|+ -            629 18543                -            520     9e-20   68.1   0.2   3   4     1e-06   3.9e-05   19.8   0.1    12    80   327   394   317   398 0.77 NODE_11_length_80003_cov_31.743608_31 # 29672 # 31558 # 1 # ID=11_31;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_11_length_80003_cov_31.743608:29672-31558|+ -            629 18543                -            520     9e-20   68.1   0.2   4   4    0.0018     0.071    9.0   0.0   141   216   442   514   434   532 0.78 NODE_11_length_80003_cov_31.743608_31 # 29672 # 31558 # 1 # ID=11_31;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_13_length_59599_cov_35.538241:12470-13150|+ -            227 18543                -            520   1.4e-19   67.5   0.0   1   1   4.1e-21   1.6e-19   67.3   0.0     8   214     4   209     1   218 0.86 NODE_13_length_59599_cov_35.538241_10 # 12470 # 13150 # 1 # ID=13_10;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.404
NODE_17_length_53451_cov_37.688722:31653-32459|+ -            269 18543                -            520   1.4e-19   67.4   1.1   1   1   4.1e-21   1.6e-19   67.3   1.1    11   235     8   242     1   265 0.81 NODE_17_length_53451_cov_37.688722_24 # 31653 # 32459 # 1 # ID=17_24;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.431
NODE_37_length_23788_cov_33.341002:18702-19922|+ -            407 18543                -            520   1.8e-19   67.1   1.3   1   2   1.3e-13   5.1e-12   42.5   0.2    19    70    39    90    28    98 0.91 NODE_37_length_23788_cov_33.341002_21 # 18702 # 19922 # 1 # ID=37_21;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.364
NODE_37_length_23788_cov_33.341002:18702-19922|+ -            407 18543                -            520   1.8e-19   67.1   1.3   2   2   7.3e-08   2.9e-06   23.5   0.1   378   494   122   237   104   260 0.80 NODE_37_length_23788_cov_33.341002_21 # 18702 # 19922 # 1 # ID=37_21;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.364
NODE_1_length_114283_cov_31.103635:28354-29424|- -            357 18543                -            520   4.5e-19   65.8   2.5   1   1   1.6e-20   6.2e-19   65.3   2.5     9   224     6   236     2   244 0.78 NODE_1_length_114283_cov_31.103635_26 # 28354 # 29424 # -1 # ID=1_26;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.424
NODE_1_length_114283_cov_31.103635:27411-28364|- -            318 18543                -            520   1.3e-18   64.3   0.3   1   2   8.3e-20   3.3e-18   62.9   0.2    19   222    22   231     3   242 0.83 NODE_1_length_114283_cov_31.103635_25 # 27411 # 28364 # -1 # ID=1_25;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_1_length_114283_cov_31.103635:27411-28364|- -            318 18543                -            520   1.3e-18   64.3   0.3   2   2       4.1   1.6e+02   -2.0   0.0   392   430   279   317   276   317 0.91 NODE_1_length_114283_cov_31.103635_25 # 27411 # 28364 # -1 # ID=1_25;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_7_length_86709_cov_33.100688:81579-82217|-  -            213 18543                -            520   1.3e-18   64.3   0.1   1   1   3.9e-20   1.5e-18   64.0   0.1    31   202    28   199    16   209 0.88 NODE_7_length_86709_cov_33.100688_79 # 81579 # 82217 # -1 # ID=7_79;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.355
NODE_1_length_114283_cov_31.103635:15385-16494|+ -            370 18543                -            520   1.6e-18   63.9   0.2   1   1   1.5e-19     6e-18   62.1   0.3    10   224     6   219     1   236 0.84 NODE_1_length_114283_cov_31.103635_14 # 15385 # 16494 # 1 # ID=1_14;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.397
NODE_10_length_83811_cov_29.795656:5747-6553|+   -            269 18543                -            520   2.1e-18   63.5   0.2   1   1   6.8e-20   2.7e-18   63.2   0.2    13   230     9   227     3   243 0.87 NODE_10_length_83811_cov_29.795656_7 # 5747 # 6553 # 1 # ID=10_7;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.385
