#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_55_length_14649_cov_31.139852:599-2104|-    -            502 21416                -            488    2e-290  961.0  13.1   1   1  8.5e-293  2.4e-290  960.8  13.1     2   487     7   495     6   496 0.99 NODE_55_length_14649_cov_31.139852_1 # 599 # 2104 # -1 # ID=55_1;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.365
NODE_4_length_101830_cov_39.048283:2888-4096|+   -            403 21416                -            488   1.9e-24   83.8   1.3   1   1   9.6e-27   2.7e-24   83.3   1.3   260   487   158   385   135   386 0.85 NODE_4_length_101830_cov_39.048283_2 # 2888 # 4096 # 1 # ID=4_2;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.391
NODE_89_length_5029_cov_112.108565:797-1939|+    -            381 21416                -            488     3e-21   73.2   6.0   1   1   1.5e-23   4.3e-21   72.7   6.0   180   486    66   369    50   371 0.82 NODE_89_length_5029_cov_112.108565_2 # 797 # 1939 # 1 # ID=89_2;partial=00;start_type=TTG;rbs_motif=GGxGG;rbs_spacer=11-12bp;gc_cont=0.415
NODE_12_length_78125_cov_33.572102:57578-58603|- -            342 21416                -            488     3e-16   56.7   0.4   1   1   2.2e-18   6.2e-16   55.7   0.3   386   487   232   333    98   334 0.86 NODE_12_length_78125_cov_33.572102_52 # 57578 # 58603 # -1 # ID=12_52;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_16_length_53957_cov_35.398816:9084-9980|+   -            299 21416                -            488   2.1e-14   50.6   2.4   1   1   8.8e-17   2.4e-14   50.4   2.4   262   485    74   293     2   296 0.71 NODE_16_length_53957_cov_35.398816_10 # 9084 # 9980 # 1 # ID=16_10;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.398
NODE_5_length_100374_cov_29.640417:8401-9186|-   -            262 21416                -            488    0.0027   14.0   1.0   1   2      0.75   2.1e+02   -2.1   0.1   305   349    50    94    29   109 0.62 NODE_5_length_100374_cov_29.640417_10 # 8401 # 9186 # -1 # ID=5_10;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_5_length_100374_cov_29.640417:8401-9186|-   -            262 21416                -            488    0.0027   14.0   1.0   2   2   1.2e-05    0.0032   13.8   0.1   384   486   144   246   119   248 0.81 NODE_5_length_100374_cov_29.640417_10 # 8401 # 9186 # -1 # ID=5_10;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.373
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/21416at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_illumina_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_illumina_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/21416at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/21416at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_illumina_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:12:35 2026
# [ok]
