#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_13_length_59599_cov_35.538241:32687-33586|+ -            300 18171                -            288  1.4e-162  537.6   0.0   1   1  6.2e-165  1.6e-162  537.4   0.0     1   288     4   294     4   294 0.98 NODE_13_length_59599_cov_35.538241_29 # 32687 # 33586 # 1 # ID=13_29;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.412
NODE_17_length_53451_cov_37.688722:31653-32459|+ -            269 18171                -            288    0.0047   14.0   0.1   1   1   3.2e-05    0.0082   13.2   0.1   152   182    36    66     4    83 0.80 NODE_17_length_53451_cov_37.688722_24 # 31653 # 32459 # 1 # ID=17_24;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.431
NODE_19_length_49767_cov_34.796387:32152-32853|+ -            234 18171                -            288    0.0053   13.9   0.0   1   1   2.7e-05     0.007   13.4   0.0   123   171     5    53     1    64 0.77 NODE_19_length_49767_cov_34.796387_34 # 32152 # 32853 # 1 # ID=19_34;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.396
NODE_11_length_80003_cov_31.743608:29672-31558|+ -            629 18171                -            288    0.0055   13.8   0.1   1   2      0.47   1.2e+02   -0.5   0.0   156   172    35    51    14    54 0.79 NODE_11_length_80003_cov_31.743608_31 # 29672 # 31558 # 1 # ID=11_31;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_11_length_80003_cov_31.743608:29672-31558|+ -            629 18171                -            288    0.0055   13.8   0.1   2   2   0.00013     0.034   11.2   0.0   151   183   349   380   310   399 0.74 NODE_11_length_80003_cov_31.743608_31 # 29672 # 31558 # 1 # ID=11_31;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_21_length_44893_cov_38.330769:3825-5240|+   -            472 18171                -            288     0.013   12.5   2.3   1   3   0.00057      0.15    9.1   0.0   147   170    25    48     4    62 0.71 NODE_21_length_44893_cov_38.330769_7 # 3825 # 5240 # 1 # ID=21_7;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NODE_21_length_44893_cov_38.330769:3825-5240|+   -            472 18171                -            288     0.013   12.5   2.3   2   3      0.18        46    0.9   0.1   152   172   280   300   234   314 0.69 NODE_21_length_44893_cov_38.330769_7 # 3825 # 5240 # 1 # ID=21_7;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NODE_21_length_44893_cov_38.330769:3825-5240|+   -            472 18171                -            288     0.013   12.5   2.3   3   3       0.8   2.1e+02   -1.2   0.0    75   108   420   452   406   469 0.77 NODE_21_length_44893_cov_38.330769_7 # 3825 # 5240 # 1 # ID=21_7;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NODE_19_length_49767_cov_34.796387:21014-21766|+ -            251 18171                -            288     0.013   12.5   0.1   1   1   7.4e-05     0.019   12.0   0.1   136   172    19    56     1    73 0.65 NODE_19_length_49767_cov_34.796387_25 # 21014 # 21766 # 1 # ID=19_25;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.396
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/18171at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_illumina_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_illumina_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/18171at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/18171at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_illumina_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:12:18 2026
# [ok]
