#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_1652082_cov_46.167482:1357067-1358629|- -            521 18543                -            519         0 1013.3  19.6   1   1         0         0 1013.2  19.6     2   514     3   515     2   520 0.99 NODE_1_length_1652082_cov_46.167482_1338 # 1357067 # 1358629 # -1 # ID=1_1338;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
NODE_1_length_1652082_cov_46.167482:1328317-1329186|- -            290 18543                -            519   4.9e-23   78.7   0.0   1   1   1.7e-24   6.6e-23   78.3   0.0    23   225    24   229    16   239 0.83 NODE_1_length_1652082_cov_46.167482_1295 # 1328317 # 1329186 # -1 # ID=1_1295;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
NODE_3_length_245057_cov_46.274867:179565-181319|+    -            585 18543                -            519   5.3e-23   78.6   0.5   1   1   2.2e-24   8.5e-23   78.0   0.5    23   225   367   567   363   575 0.87 NODE_3_length_245057_cov_46.274867_191 # 179565 # 181319 # 1 # ID=3_191;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.394
NODE_3_length_245057_cov_46.274867:128206-129789|+    -            528 18543                -            519     7e-23   78.2   3.3   1   3   5.7e-13   2.2e-11   40.3   1.0   274   466    17   218     1   236 0.77 NODE_3_length_245057_cov_46.274867_150 # 128206 # 129789 # 1 # ID=3_150;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
NODE_3_length_245057_cov_46.274867:128206-129789|+    -            528 18543                -            519     7e-23   78.2   3.3   2   3   3.7e-07   1.5e-05   21.1   0.0     9    66   330   387   323   398 0.84 NODE_3_length_245057_cov_46.274867_150 # 128206 # 129789 # 1 # ID=3_150;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
NODE_3_length_245057_cov_46.274867:128206-129789|+    -            528 18543                -            519     7e-23   78.2   3.3   3   3   8.6e-05    0.0034   13.3   0.0   133   183   433   486   417   496 0.81 NODE_3_length_245057_cov_46.274867_150 # 128206 # 129789 # 1 # ID=3_150;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
NODE_1_length_1652082_cov_46.167482:293732-294418|-   -            229 18543                -            519   7.9e-23   78.1   1.7   1   1   2.4e-24   9.5e-23   77.8   1.7     7   221     2   216     1   221 0.90 NODE_1_length_1652082_cov_46.167482_294 # 293732 # 294418 # -1 # ID=1_294;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.422
NODE_1_length_1652082_cov_46.167482:812152-813057|+   -            302 18543                -            519   1.6e-22   77.1   3.3   1   1   4.5e-23   1.8e-21   73.6   3.3     8   231     5   217     2   240 0.84 NODE_1_length_1652082_cov_46.167482_816 # 812152 # 813057 # 1 # ID=1_816;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.401
NODE_1_length_1652082_cov_46.167482:780720-781805|-   -            362 18543                -            519     2e-22   76.7   0.2   1   1   9.7e-24   3.8e-22   75.8   0.2     6   225     5   219     2   242 0.89 NODE_1_length_1652082_cov_46.167482_783 # 780720 # 781805 # -1 # ID=1_783;partial=00;start_type=GTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.398
NODE_1_length_1652082_cov_46.167482:1306562-1307566|- -            335 18543                -            519   5.3e-22   75.3   1.0   1   1     3e-23   1.2e-21   74.2   1.0    18   228    22   243     1   247 0.75 NODE_1_length_1652082_cov_46.167482_1276 # 1306562 # 1307566 # -1 # ID=1_1276;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.426
NODE_1_length_1652082_cov_46.167482:1329162-1330001|- -            280 18543                -            519   2.9e-21   72.9   0.2   1   1   8.3e-23   3.3e-21   72.7   0.2    21   230    22   228     2   272 0.81 NODE_1_length_1652082_cov_46.167482_1296 # 1329162 # 1330001 # -1 # ID=1_1296;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.413
NODE_1_length_1652082_cov_46.167482:516192-517301|+   -            370 18543                -            519   3.2e-21   72.7   0.3   1   2   2.6e-16     1e-14   51.3   0.0     8   169     5   162     1   162 0.85 NODE_1_length_1652082_cov_46.167482_507 # 516192 # 517301 # 1 # ID=1_507;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.397
NODE_1_length_1652082_cov_46.167482:516192-517301|+   -            370 18543                -            519   3.2e-21   72.7   0.3   2   2   4.7e-09   1.9e-07   27.3   0.0   401   502   133   235   126   242 0.85 NODE_1_length_1652082_cov_46.167482_507 # 516192 # 517301 # 1 # ID=1_507;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.397
NODE_1_length_1652082_cov_46.167482:1289647-1290402|- -            252 18543                -            519   4.1e-21   72.4   5.1   1   1   1.2e-22   4.7e-21   72.2   5.1     7   234     2   228     1   238 0.89 NODE_1_length_1652082_cov_46.167482_1263 # 1289647 # 1290402 # -1 # ID=1_1263;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
NODE_1_length_1652082_cov_46.167482:1492079-1493821|+ -            581 18543                -            519   4.2e-21   72.4   0.3   1   1   1.5e-22   6.1e-21   71.8   0.3     5   223   328   545   325   556 0.87 NODE_1_length_1652082_cov_46.167482_1447 # 1492079 # 1493821 # 1 # ID=1_1447;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.336
NODE_1_length_1652082_cov_46.167482:491355-492017|+   -            221 18543                -            519   8.6e-21   71.3   0.3   1   1   2.7e-22   1.1e-20   71.1   0.3    24   210    21   205    15   219 0.88 NODE_1_length_1652082_cov_46.167482_486 # 491355 # 492017 # 1 # ID=1_486;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.379
NODE_1_length_1652082_cov_46.167482:970224-970970|-   -            249 18543                -            519   2.2e-20   70.0   0.3   1   1   6.3e-22   2.5e-20   69.8   0.3     7   229     6   224     1   242 0.86 NODE_1_length_1652082_cov_46.167482_960 # 970224 # 970970 # -1 # ID=1_960;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_2_length_840748_cov_42.698360:598224-600110|-    -            629 18543                -            519   2.5e-20   69.8   0.1   1   4   4.4e-05    0.0017   14.2   0.0     8    56     6    54     3   113 0.83 NODE_2_length_840748_cov_42.698360_577 # 598224 # 600110 # -1 # ID=2_577;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_2_length_840748_cov_42.698360:598224-600110|-    -            629 18543                -            519   2.5e-20   69.8   0.1   2   4     4e-07   1.6e-05   21.0   0.0   400   460   158   215   115   245 0.77 NODE_2_length_840748_cov_42.698360_577 # 598224 # 600110 # -1 # ID=2_577;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_2_length_840748_cov_42.698360:598224-600110|-    -            629 18543                -            519   2.5e-20   69.8   0.1   3   4     3e-07   1.2e-05   21.4   0.1    10    74   326   389   318   397 0.76 NODE_2_length_840748_cov_42.698360_577 # 598224 # 600110 # -1 # ID=2_577;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_2_length_840748_cov_42.698360:598224-600110|-    -            629 18543                -            519   2.5e-20   69.8   0.1   4   4    0.0035      0.14    8.0   0.0   140   442   442   483   420   534 0.57 NODE_2_length_840748_cov_42.698360_577 # 598224 # 600110 # -1 # ID=2_577;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_2_length_840748_cov_42.698360:822604-823824|-    -            407 18543                -            519   5.7e-20   68.6   1.8   1   2   5.5e-15   2.2e-13   46.9   0.2    18    70    39    91    27    98 0.91 NODE_2_length_840748_cov_42.698360_779 # 822604 # 823824 # -1 # ID=2_779;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.364
NODE_2_length_840748_cov_42.698360:822604-823824|-    -            407 18543                -            519   5.7e-20   68.6   1.8   2   2   3.7e-07   1.5e-05   21.1   0.1   380   493   125   237   107   269 0.70 NODE_2_length_840748_cov_42.698360_779 # 822604 # 823824 # -1 # ID=2_779;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.364
NODE_1_length_1652082_cov_46.167482:1604957-1605637|+ -            227 18543                -            519   6.5e-20   68.5   0.0   1   1   2.2e-21   8.6e-20   68.0   0.0     7   216     4   213     2   218 0.86 NODE_1_length_1652082_cov_46.167482_1554 # 1604957 # 1605637 # 1 # ID=1_1554;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.404
NODE_1_length_1652082_cov_46.167482:433668-435428|-   -            587 18543                -            519   7.3e-20   68.3   0.4   1   1   2.8e-21   1.1e-19   67.7   0.4    24   223   363   560   359   569 0.89 NODE_1_length_1652082_cov_46.167482_437 # 433668 # 435428 # -1 # ID=1_437;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
NODE_1_length_1652082_cov_46.167482:529161-530231|-   -            357 18543                -            519   2.2e-19   66.7   4.8   1   1   1.8e-20     7e-19   65.0   4.9     7   223     5   236     1   242 0.64 NODE_1_length_1652082_cov_46.167482_519 # 529161 # 530231 # -1 # ID=1_519;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.424
NODE_1_length_1652082_cov_46.167482:869105-869743|-   -            213 18543                -            519     5e-19   65.5   0.1   1   1   1.6e-20   6.4e-19   65.2   0.1    31   201    29   199    17   208 0.89 NODE_1_length_1652082_cov_46.167482_869 # 869105 # 869743 # -1 # ID=1_869;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.355
NODE_1_length_1652082_cov_46.167482:1490341-1492095|+ -            585 18543                -            519   6.4e-19   65.2   0.6   1   1   2.6e-20     1e-18   64.5   0.6    13   223   342   550   331   566 0.80 NODE_1_length_1652082_cov_46.167482_1446 # 1490341 # 1492095 # 1 # ID=1_1446;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.318
