#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_1652082_cov_46.167482:53250-54698|-     -            483 23003                -            483  5.7e-236  781.5  18.8   1   1  2.9e-238  6.4e-236  781.4  18.8     1   481     1   481     1   482 1.00 NODE_1_length_1652082_cov_46.167482_70 # 53250 # 54698 # -1 # ID=1_70;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.369
NODE_4_length_212759_cov_102.864112:124686-126005|+   -            440 23003                -            483   1.7e-16   57.7  32.2   2   2   2.4e-17   5.3e-15   52.8  30.5    79   401    55   375    39   429 0.69 NODE_4_length_212759_cov_102.864112_122 # 124686 # 126005 # 1 # ID=4_122;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.208
NODE_2_length_840748_cov_42.698360:539935-540720|+    -            262 23003                -            483     1e-10   38.7   1.2   1   2      0.28        62   -0.2   0.0   138   171     8    41     2    48 0.86 NODE_2_length_840748_cov_42.698360_516 # 539935 # 540720 # 1 # ID=2_516;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.372
NODE_2_length_840748_cov_42.698360:539935-540720|+    -            262 23003                -            483     1e-10   38.7   1.2   2   2   2.4e-12   5.3e-10   36.3   0.3   347   481   115   252   107   254 0.74 NODE_2_length_840748_cov_42.698360_516 # 539935 # 540720 # 1 # ID=2_516;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.372
NODE_2_length_840748_cov_42.698360:504783-506234|+    -            484 23003                -            483     5e-05   19.9  12.2   1   2   0.00043     0.095    9.1   7.4   109   248   109   257    31   268 0.49 NODE_2_length_840748_cov_42.698360_483 # 504783 # 506234 # 1 # ID=2_483;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_2_length_840748_cov_42.698360:504783-506234|+    -            484 23003                -            483     5e-05   19.9  12.2   2   2     4e-05    0.0089   12.5   0.1   377   475   369   471   362   477 0.79 NODE_2_length_840748_cov_42.698360_483 # 504783 # 506234 # 1 # ID=2_483;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_2_length_840748_cov_42.698360:539072-539944|+    -            291 23003                -            483   0.00069   16.2   1.3   1   1   4.1e-06    0.0009   15.8   1.3    15   197    24   200    10   257 0.68 NODE_2_length_840748_cov_42.698360_515 # 539072 # 539944 # 1 # ID=2_515;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.363
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/23003at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_nanopore_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_nanopore_illumina_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/23003at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/23003at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_nanopore_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:18:41 2026
# [ok]
