#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2_length_840748_cov_42.698360:755622-756731|-    -            370 16872                -            369  3.9e-224  740.7   0.0   1   1  1.4e-226  4.4e-224  740.5   0.0     1   369     1   369     1   369 1.00 NODE_2_length_840748_cov_42.698360_713 # 755622 # 756731 # -1 # ID=2_713;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.402
NODE_2_length_840748_cov_42.698360:80462-83278|+      -            939 16872                -            369    0.0047   13.2   0.1   1   3       1.5   4.6e+02   -3.2   0.0   164   210    26    72    14    77 0.77 NODE_2_length_840748_cov_42.698360_78 # 80462 # 83278 # 1 # ID=2_78;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_2_length_840748_cov_42.698360:80462-83278|+      -            939 16872                -            369    0.0047   13.2   0.1   2   3   0.00016     0.051    9.8   0.0   162   199   629   665   592   694 0.82 NODE_2_length_840748_cov_42.698360_78 # 80462 # 83278 # 1 # ID=2_78;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_2_length_840748_cov_42.698360:80462-83278|+      -            939 16872                -            369    0.0047   13.2   0.1   3   3      0.17        52   -0.1   0.0   303   351   780   825   740   836 0.67 NODE_2_length_840748_cov_42.698360_78 # 80462 # 83278 # 1 # ID=2_78;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_2_length_840748_cov_42.698360:112005-112592|+    -            196 16872                -            369    0.0057   13.0   0.0   1   2   5.8e-05     0.018   11.3   0.0   167   223    26    78    14    92 0.86 NODE_2_length_840748_cov_42.698360_104 # 112005 # 112592 # 1 # ID=2_104;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.393
NODE_2_length_840748_cov_42.698360:112005-112592|+    -            196 16872                -            369    0.0057   13.0   0.0   2   2      0.33     1e+02   -1.0   0.0   100   116   134   150   100   192 0.69 NODE_2_length_840748_cov_42.698360_104 # 112005 # 112592 # 1 # ID=2_104;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.393
NODE_5_length_73637_cov_93.923133:12049-12399|+       -            117 16872                -            369     0.013   11.8   0.0   1   1   4.7e-05     0.015   11.6   0.0    12    62    60   110    49   116 0.88 NODE_5_length_73637_cov_93.923133_17 # 12049 # 12399 # 1 # ID=5_17;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.365
NODE_5_length_73637_cov_93.923133:1285-1635|+         -            117 16872                -            369     0.013   11.8   0.0   1   1   4.7e-05     0.015   11.6   0.0    12    62    60   110    49   116 0.88 NODE_5_length_73637_cov_93.923133_2 # 1285 # 1635 # 1 # ID=5_2;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.365
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/16872at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_nanopore_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_nanopore_illumina_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/16872at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/16872at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_nanopore_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:18:25 2026
# [ok]
