#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_1652082_cov_46.167482:246857-247285|- -            143 29046                -            140   1.9e-73  242.6   9.7   1   1   9.9e-76   2.2e-73  242.4   9.7     2   139     4   142     3   142 0.97 NODE_1_length_1652082_cov_46.167482_254 # 246857 # 247285 # -1 # ID=1_254;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.359
NODE_5_length_73637_cov_93.923133:5392-6072|-       -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0021      0.46    8.0   0.3    36    68    24    57     4    77 0.84 NODE_5_length_73637_cov_93.923133_8 # 5392 # 6072 # -1 # ID=5_8;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_5_length_73637_cov_93.923133:5392-6072|-       -            227 29046                -            140       0.1   10.1   3.6   2   2     0.087        19    2.7   0.1     4    35   137   170   134   205 0.72 NODE_5_length_73637_cov_93.923133_8 # 5392 # 6072 # -1 # ID=5_8;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_7_length_35882_cov_232.232618:17387-18067|+    -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0021      0.46    8.0   0.3    36    68    24    57     4    77 0.84 NODE_7_length_35882_cov_232.232618_22 # 17387 # 18067 # 1 # ID=7_22;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_7_length_35882_cov_232.232618:17387-18067|+    -            227 29046                -            140       0.1   10.1   3.6   2   2     0.087        19    2.7   0.1     4    35   137   170   134   205 0.72 NODE_7_length_35882_cov_232.232618_22 # 17387 # 18067 # 1 # ID=7_22;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_7_length_35882_cov_232.232618:22820-23500|+    -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0021      0.46    8.0   0.3    36    68    24    57     4    77 0.84 NODE_7_length_35882_cov_232.232618_30 # 22820 # 23500 # 1 # ID=7_30;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_7_length_35882_cov_232.232618:22820-23500|+    -            227 29046                -            140       0.1   10.1   3.6   2   2     0.087        19    2.7   0.1     4    35   137   170   134   205 0.72 NODE_7_length_35882_cov_232.232618_30 # 22820 # 23500 # 1 # ID=7_30;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_7_length_35882_cov_232.232618:28533-29213|-    -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0021      0.46    8.0   0.3    36    68    24    57     4    77 0.84 NODE_7_length_35882_cov_232.232618_36 # 28533 # 29213 # -1 # ID=7_36;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_7_length_35882_cov_232.232618:28533-29213|-    -            227 29046                -            140       0.1   10.1   3.6   2   2     0.087        19    2.7   0.1     4    35   137   170   134   205 0.72 NODE_7_length_35882_cov_232.232618_36 # 28533 # 29213 # -1 # ID=7_36;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_7_length_35882_cov_232.232618:33498-34178|-    -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0021      0.46    8.0   0.3    36    68    24    57     4    77 0.84 NODE_7_length_35882_cov_232.232618_42 # 33498 # 34178 # -1 # ID=7_42;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_7_length_35882_cov_232.232618:33498-34178|-    -            227 29046                -            140       0.1   10.1   3.6   2   2     0.087        19    2.7   0.1     4    35   137   170   134   205 0.72 NODE_7_length_35882_cov_232.232618_42 # 33498 # 34178 # -1 # ID=7_42;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_7_length_35882_cov_232.232618:6059-6739|-      -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0021      0.46    8.0   0.3    36    68    24    57     4    77 0.84 NODE_7_length_35882_cov_232.232618_9 # 6059 # 6739 # -1 # ID=7_9;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_7_length_35882_cov_232.232618:6059-6739|-      -            227 29046                -            140       0.1   10.1   3.6   2   2     0.087        19    2.7   0.1     4    35   137   170   134   205 0.72 NODE_7_length_35882_cov_232.232618_9 # 6059 # 6739 # -1 # ID=7_9;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_7_length_35882_cov_232.232618:8804-9484|-      -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0021      0.46    8.0   0.3    36    68    24    57     4    77 0.84 NODE_7_length_35882_cov_232.232618_12 # 8804 # 9484 # -1 # ID=7_12;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_7_length_35882_cov_232.232618:8804-9484|-      -            227 29046                -            140       0.1   10.1   3.6   2   2     0.087        19    2.7   0.1     4    35   137   170   134   205 0.72 NODE_7_length_35882_cov_232.232618_12 # 8804 # 9484 # -1 # ID=7_12;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/29046at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_nanopore_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_nanopore_illumina_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/29046at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/29046at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_nanopore_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:18:51 2026
# [ok]
