#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_1652082_cov_46.167482:1625174-1626073|+ -            300 28021                -            290  3.4e-152  503.5   0.0   1   1  2.9e-154  3.9e-152  503.3   0.0     2   289     5   294     4   295 0.98 NODE_1_length_1652082_cov_46.167482_1573 # 1625174 # 1626073 # 1 # ID=1_1573;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.412
NODE_1_length_1652082_cov_46.167482:1357067-1358629|- -            521 28021                -            290    0.0012   16.0   3.4   2   3     0.029       3.9    4.4   0.1   119   228   149   256   134   270 0.80 NODE_1_length_1652082_cov_46.167482_1338 # 1357067 # 1358629 # -1 # ID=1_1338;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
NODE_1_length_1652082_cov_46.167482:1357067-1358629|- -            521 28021                -            290    0.0012   16.0   3.4   3   3       6.1   8.1e+02   -3.2   0.1   153   183   287   317   273   327 0.77 NODE_1_length_1652082_cov_46.167482_1338 # 1357067 # 1358629 # -1 # ID=1_1338;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
NODE_1_length_1652082_cov_46.167482:1289647-1290402|- -            252 28021                -            290    0.0014   15.7   0.3   1   2   3.5e-05    0.0047   14.0   0.0   151   183    26    58     8    67 0.80 NODE_1_length_1652082_cov_46.167482_1263 # 1289647 # 1290402 # -1 # ID=1_1263;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
NODE_1_length_1652082_cov_46.167482:1289647-1290402|- -            252 28021                -            290    0.0014   15.7   0.3   2   2       1.3   1.8e+02   -1.1   0.1   112   153   165   205   142   228 0.73 NODE_1_length_1652082_cov_46.167482_1263 # 1289647 # 1290402 # -1 # ID=1_1263;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
NODE_2_length_840748_cov_42.698360:598224-600110|-    -            629 28021                -            290    0.0033   14.5   0.1   1   2      0.51        68    0.3   0.0   156   172    34    50    12    57 0.79 NODE_2_length_840748_cov_42.698360_577 # 598224 # 600110 # -1 # ID=2_577;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_2_length_840748_cov_42.698360:598224-600110|-    -            629 28021                -            290    0.0033   14.5   0.1   2   2   0.00025     0.034   11.2   0.0   156   184   352   380   313   398 0.81 NODE_2_length_840748_cov_42.698360_577 # 598224 # 600110 # -1 # ID=2_577;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_1_length_1652082_cov_46.167482:1450429-1451235|- -            269 28021                -            290    0.0034   14.5   0.1   1   1   4.6e-05    0.0062   13.6   0.1   153   192    36    72     6    86 0.80 NODE_1_length_1652082_cov_46.167482_1413 # 1450429 # 1451235 # -1 # ID=1_1413;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.430
NODE_8_length_9417_cov_147.340953:5103-5723|+         -            207 28021                -            290    0.0035   14.4   0.0   1   1   3.7e-05     0.005   13.9   0.0   151   176    27    52     8    97 0.83 NODE_8_length_9417_cov_147.340953_7 # 5103 # 5723 # 1 # ID=8_7;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.246
NODE_1_length_1652082_cov_46.167482:1482126-1482866|+ -            247 28021                -            290    0.0046   14.0   0.1   1   2   0.00097      0.13    9.3   0.0   150   173    25    48     7    72 0.78 NODE_1_length_1652082_cov_46.167482_1436 # 1482126 # 1482866 # 1 # ID=1_1436;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.305
NODE_1_length_1652082_cov_46.167482:1482126-1482866|+ -            247 28021                -            290    0.0046   14.0   0.1   2   2     0.096        13    2.7   0.0   113   154   164   204   136   213 0.83 NODE_1_length_1652082_cov_46.167482_1436 # 1482126 # 1482866 # 1 # ID=1_1436;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.305
NODE_1_length_1652082_cov_46.167482:1031990-1032742|- -            251 28021                -            290     0.005   13.9   0.0   1   1   5.5e-05    0.0074   13.3   0.0   151   174    34    57     3    73 0.80 NODE_1_length_1652082_cov_46.167482_1012 # 1031990 # 1032742 # -1 # ID=1_1012;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.394
NODE_3_length_245057_cov_46.274867:60491-62023|+      -            511 28021                -            290    0.0077   13.3   0.0   1   2    0.0047      0.63    7.0   0.0   157   175    34    52    15    82 0.86 NODE_3_length_245057_cov_46.274867_87 # 60491 # 62023 # 1 # ID=3_87;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_3_length_245057_cov_46.274867:60491-62023|+      -            511 28021                -            290    0.0077   13.3   0.0   2   2     0.048       6.4    3.7   0.0   152   177   347   371   329   377 0.80 NODE_3_length_245057_cov_46.274867_87 # 60491 # 62023 # 1 # ID=3_87;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_1_length_1652082_cov_46.167482:414447-416381|+   -            645 28021                -            290    0.0097   13.0   0.0   1   2     0.017       2.2    5.2   0.0   155   173    32    50     8    64 0.80 NODE_1_length_1652082_cov_46.167482_420 # 414447 # 416381 # 1 # ID=1_420;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.402
NODE_1_length_1652082_cov_46.167482:414447-416381|+   -            645 28021                -            290    0.0097   13.0   0.0   2   2     0.019       2.6    5.0   0.0   132   175   336   377   326   386 0.72 NODE_1_length_1652082_cov_46.167482_420 # 414447 # 416381 # 1 # ID=1_420;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.402
NODE_1_length_1652082_cov_46.167482:238834-239733|-   -            300 28021                -            290     0.012   12.6   0.0   1   1   0.00021     0.028   11.5   0.0   154   213     8    64     3    70 0.84 NODE_1_length_1652082_cov_46.167482_246 # 238834 # 239733 # -1 # ID=1_246;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_3_length_245057_cov_46.274867:48238-49431|-      -            398 28021                -            290     0.014   12.5   0.0   1   1   0.00023      0.03   11.3   0.0   151   173    52    74     2    89 0.82 NODE_3_length_245057_cov_46.274867_76 # 48238 # 49431 # -1 # ID=3_76;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.415
NODE_1_length_1652082_cov_46.167482:727405-728172|-   -            256 28021                -            290     0.014   12.4   0.0   1   1   0.00016     0.021   11.8   0.0   151   175    33    57     3   109 0.80 NODE_1_length_1652082_cov_46.167482_733 # 727405 # 728172 # -1 # ID=1_733;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
NODE_1_length_1652082_cov_46.167482:512899-514662|+   -            588 28021                -            290     0.015   12.3   0.0   1   1   0.00019     0.025   11.6   0.0   149   183   371   405   351   437 0.81 NODE_1_length_1652082_cov_46.167482_504 # 512899 # 514662 # 1 # ID=1_504;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.399
NODE_3_length_245057_cov_46.274867:128206-129789|+    -            528 28021                -            290     0.017   12.1   0.1   1   2     0.052         7    3.6   0.0   155   188    31    64    11   125 0.81 NODE_3_length_245057_cov_46.274867_150 # 128206 # 129789 # 1 # ID=3_150;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
NODE_3_length_245057_cov_46.274867:128206-129789|+    -            528 28021                -            290     0.017   12.1   0.1   2   2    0.0094       1.3    6.0   0.0   151   174   352   375   323   387 0.74 NODE_3_length_245057_cov_46.274867_150 # 128206 # 129789 # 1 # ID=3_150;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
NODE_1_length_1652082_cov_46.167482:287321-288127|-   -            269 28021                -            290     0.017   12.1   0.0   1   1   0.00019     0.026   11.6   0.0   149   174    44    69    20   102 0.80 NODE_1_length_1652082_cov_46.167482_288 # 287321 # 288127 # -1 # ID=1_288;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.400
NODE_1_length_1652082_cov_46.167482:1328317-1329186|- -            290 28021                -            290     0.025   11.6   0.0   1   1   0.00029     0.039   11.0   0.0   151   175    32    56    10    68 0.77 NODE_1_length_1652082_cov_46.167482_1295 # 1328317 # 1329186 # -1 # ID=1_1295;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/28021at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_nanopore_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_nanopore_illumina_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/28021at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/28021at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_nanopore_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:18:48 2026
# [ok]
