#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001_pilon:696084-697646|+   -            521 18543                -            519         0 1013.3  19.6   1   1         0         0 1013.2  19.6     2   514     3   515     2   520 0.99 tig00000001_pilon_631 # 696084 # 697646 # 1 # ID=1_631;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
tig00000001_pilon:196396-197589|-   -            398 18543                -            519   2.5e-30  102.8   0.5   1   2   6.4e-32   2.5e-30  102.8   0.5    11   223    32   245    21   282 0.85 tig00000001_pilon_212 # 196396 # 197589 # -1 # ID=1_212;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.415
tig00000001_pilon:196396-197589|-   -            398 18543                -            519   2.5e-30  102.8   0.5   2   2       7.1   2.8e+02   -2.9   0.1   446   485   335   378   296   383 0.70 tig00000001_pilon_212 # 196396 # 197589 # -1 # ID=1_212;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.415
tig00000001_pilon:508045-508962|-   -            306 18543                -            519   1.3e-29  100.4   2.2   1   1   7.9e-31   3.1e-29   99.2   2.2     4   230     6   221     3   283 0.86 tig00000001_pilon_475 # 508045 # 508962 # -1 # ID=1_475;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.418
tig00000001_pilon:226527-227459|-   -            311 18543                -            519   1.9e-29   99.9   0.5   1   1   6.3e-31   2.4e-29   99.5   0.5     6   223     2   214     1   229 0.93 tig00000001_pilon_243 # 226527 # 227459 # -1 # ID=1_243;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.395
tig00000001_pilon:502327-503262|-   -            312 18543                -            519   3.6e-29   99.0   0.1   1   1   1.1e-30   4.5e-29   98.7   0.1     6   231     4   225     1   235 0.90 tig00000001_pilon_469 # 502327 # 503262 # -1 # ID=1_469;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.409
tig00000001_pilon:1326545-1327312|+ -            256 18543                -            519     1e-28   97.5   0.5   1   1   2.9e-30   1.2e-28   97.3   0.5     5   216     3   218     1   240 0.84 tig00000001_pilon_1238 # 1326545 # 1327312 # 1 # ID=1_1238;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
tig00000001_pilon:1033111-1033812|+ -            234 18543                -            519   4.1e-28   95.5   0.2   1   1     2e-28   7.7e-27   91.3   0.2    17   219    18   215     2   226 0.83 tig00000001_pilon_968 # 1033111 # 1033812 # 1 # ID=1_968;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.396
tig00000001_pilon:2377368-2378054|+ -            229 18543                -            519   3.1e-27   92.6   0.1   1   1   9.4e-29   3.7e-27   92.4   0.1     5   206     3   207     1   219 0.88 tig00000001_pilon_2284 # 2377368 # 2378054 # 1 # ID=1_2284;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.364
tig00000001_pilon:564895-566310|-   -            472 18543                -            519   9.1e-27   91.1   6.2   1   2   8.4e-15   3.3e-13   46.3   0.2    21   226    18   224     1   238 0.79 tig00000001_pilon_524 # 564895 # 566310 # -1 # ID=1_524;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
tig00000001_pilon:564895-566310|-   -            472 18543                -            519   9.1e-27   91.1   6.2   2   2   4.8e-15   1.9e-13   47.1   1.3    23   219   270   447   254   465 0.84 tig00000001_pilon_524 # 564895 # 566310 # -1 # ID=1_524;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
tig00000002_pilon:141361-142392|-   -            344 18543                -            519   2.8e-26   89.4   0.3   1   1   2.4e-27   9.2e-26   87.7   0.3    26   226    22   217     3   230 0.90 tig00000002_pilon_134 # 141361 # 142392 # -1 # ID=2_134;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.433
tig00000001_pilon:208649-210181|+   -            511 18543                -            519   1.3e-25   87.3   4.1   1   4     7e-12   2.7e-10   36.7   0.2     6    66     3    63     1    70 0.93 tig00000001_pilon_223 # 208649 # 210181 # 1 # ID=1_223;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
tig00000001_pilon:208649-210181|+   -            511 18543                -            519   1.3e-25   87.3   4.1   2   4   8.3e-08   3.2e-06   23.3   0.0   402   483   158   236   134   267 0.83 tig00000001_pilon_223 # 208649 # 210181 # 1 # ID=1_223;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
tig00000001_pilon:208649-210181|+   -            511 18543                -            519   1.3e-25   87.3   4.1   3   4   2.9e-06   0.00011   18.1   0.0    25    66   339   380   335   391 0.90 tig00000001_pilon_223 # 208649 # 210181 # 1 # ID=1_223;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
tig00000001_pilon:208649-210181|+   -            511 18543                -            519   1.3e-25   87.3   4.1   4   4    0.0038      0.15    7.9   0.0   400   441   434   475   402   507 0.79 tig00000001_pilon_223 # 208649 # 210181 # 1 # ID=1_223;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
tig00000001_pilon:1510233-1510868|+ -            212 18543                -            519   2.3e-25   86.4   0.1   1   1   7.1e-27   2.8e-25   86.2   0.1     7   211     2   203     1   207 0.90 tig00000001_pilon_1442 # 1510233 # 1510868 # 1 # ID=1_1442;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.379
tig00000002_pilon:156602-157258|-   -            219 18543                -            519   8.9e-25   84.5   3.0   1   1   2.6e-25     1e-23   81.0   3.0     6   224     3   210     1   216 0.84 tig00000002_pilon_150 # 156602 # 157258 # -1 # ID=2_150;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.277
tig00000001_pilon:1682673-1683341|+ -            223 18543                -            519   1.2e-24   84.0   0.4   1   1   3.6e-26   1.4e-24   83.8   0.4     6   207     3   206     1   217 0.87 tig00000001_pilon_1600 # 1682673 # 1683341 # 1 # ID=1_1600;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.369
tig00000001_pilon:1011760-1014096|- -            779 18543                -            519   1.2e-24   84.0   0.4   1   2     1e-25     4e-24   82.3   0.4     9   219     4   217     1   223 0.81 tig00000001_pilon_948 # 1011760 # 1014096 # -1 # ID=1_948;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.387
tig00000001_pilon:1011760-1014096|- -            779 18543                -            519   1.2e-24   84.0   0.4   2   2       3.2   1.3e+02   -1.8   0.0   267   296   453   482   438   507 0.73 tig00000001_pilon_948 # 1011760 # 1014096 # -1 # ID=1_948;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.387
tig00000001_pilon:2407644-2408414|- -            257 18543                -            519   1.4e-24   83.9   0.2   1   1   4.5e-26   1.8e-24   83.5   0.2    23   236    26   246    17   251 0.85 tig00000001_pilon_2310 # 2407644 # 2408414 # -1 # ID=1_2310;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
tig00000001_pilon:289371-290108|-   -            246 18543                -            519   1.5e-24   83.7   0.1   1   1   5.2e-26     2e-24   83.3   0.1    10   219     6   210     2   218 0.93 tig00000001_pilon_300 # 289371 # 290108 # -1 # ID=1_300;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.393
tig00000001_pilon:1692652-1693551|+ -            300 18543                -            519   2.5e-24   83.0   0.9   1   1   8.6e-26   3.4e-24   82.6   0.9     7   229     2   216     1   255 0.93 tig00000001_pilon_1609 # 1692652 # 1693551 # 1 # ID=1_1609;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.388
tig00000001_pilon:666504-668126|-   -            541 18543                -            519   5.6e-24   81.9   0.1   1   4   4.4e-12   1.7e-10   37.4   0.0     7    67     2    62     1   103 0.91 tig00000001_pilon_603 # 666504 # 668126 # -1 # ID=1_603;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.375
tig00000001_pilon:666504-668126|-   -            541 18543                -            519   5.6e-24   81.9   0.1   2   4   2.4e-08   9.2e-07   25.0   0.0   394   481   146   230   125   265 0.84 tig00000001_pilon_603 # 666504 # 668126 # -1 # ID=1_603;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.375
tig00000001_pilon:666504-668126|-   -            541 18543                -            519   5.6e-24   81.9   0.1   3   4     0.038       1.5    4.6   0.0     8    64   321   377   316   393 0.85 tig00000001_pilon_603 # 666504 # 668126 # -1 # ID=1_603;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.375
tig00000001_pilon:666504-668126|-   -            541 18543                -            519   5.6e-24   81.9   0.1   4   4    0.0011     0.044    9.6   0.0   400   478   436   511   419   528 0.66 tig00000001_pilon_603 # 666504 # 668126 # -1 # ID=1_603;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.375
tig00000001_pilon:1638335-1640269|- -            645 18543                -            519   2.3e-23   79.8   0.6   1   4   7.4e-11   2.9e-09   33.3   0.2     7    66     4    63     1    72 0.92 tig00000001_pilon_1553 # 1638335 # 1640269 # -1 # ID=1_1553;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
tig00000001_pilon:1638335-1640269|- -            645 18543                -            519   2.3e-23   79.8   0.6   2   4   5.3e-06   0.00021   17.3   0.0   399   468   160   229   136   256 0.75 tig00000001_pilon_1553 # 1638335 # 1640269 # -1 # ID=1_1553;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
tig00000001_pilon:1638335-1640269|- -            645 18543                -            519   2.3e-23   79.8   0.6   3   4   8.5e-06   0.00033   16.6   0.0     5    50   327   372   324   390 0.88 tig00000001_pilon_1553 # 1638335 # 1640269 # -1 # ID=1_1553;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
tig00000001_pilon:1638335-1640269|- -            645 18543                -            519   2.3e-23   79.8   0.6   4   4    0.0045      0.18    7.6   0.0   403   462   445   501   426   560 0.77 tig00000001_pilon_1553 # 1638335 # 1640269 # -1 # ID=1_1553;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
tig00000001_pilon:725527-726396|+   -            290 18543                -            519   4.9e-23   78.7   0.0   1   1   1.7e-24   6.6e-23   78.3   0.0    23   225    24   229    16   239 0.83 tig00000001_pilon_674 # 725527 # 726396 # 1 # ID=1_674;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
tig00000001_pilon:327723-329477|+   -            585 18543                -            519   5.3e-23   78.6   0.5   1   1   2.2e-24   8.5e-23   78.0   0.5    23   225   367   567   363   575 0.87 tig00000001_pilon_327 # 327723 # 329477 # 1 # ID=1_327;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.394
tig00000001_pilon:276364-277947|+   -            528 18543                -            519     7e-23   78.2   3.3   1   3   5.8e-13   2.2e-11   40.3   1.0   274   466    17   218     1   236 0.77 tig00000001_pilon_286 # 276364 # 277947 # 1 # ID=1_286;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
tig00000001_pilon:276364-277947|+   -            528 18543                -            519     7e-23   78.2   3.3   2   3   3.8e-07   1.5e-05   21.1   0.0     9    66   330   387   323   398 0.84 tig00000001_pilon_286 # 276364 # 277947 # 1 # ID=1_286;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
tig00000001_pilon:276364-277947|+   -            528 18543                -            519     7e-23   78.2   3.3   3   3   8.7e-05    0.0034   13.3   0.0   133   183   433   486   417   496 0.81 tig00000001_pilon_286 # 276364 # 277947 # 1 # ID=1_286;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
tig00000001_pilon:1760298-1760984|+ -            229 18543                -            519   7.9e-23   78.1   1.7   1   1   2.4e-24   9.5e-23   77.8   1.7     7   221     2   216     1   221 0.90 tig00000001_pilon_1679 # 1760298 # 1760984 # 1 # ID=1_1679;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.419
tig00000001_pilon:1241660-1242565|- -            302 18543                -            519   1.6e-22   77.1   3.3   1   1   4.6e-23   1.8e-21   73.6   3.3     8   231     5   217     2   240 0.84 tig00000001_pilon_1155 # 1241660 # 1242565 # -1 # ID=1_1155;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.401
tig00000001_pilon:1272912-1273997|+ -            362 18543                -            519     2e-22   76.7   0.2   1   1   9.9e-24   3.8e-22   75.8   0.2     6   225     5   219     2   242 0.89 tig00000001_pilon_1188 # 1272912 # 1273997 # 1 # ID=1_1188;partial=00;start_type=GTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.397
tig00000001_pilon:747147-748151|+   -            335 18543                -            519   5.3e-22   75.3   1.0   1   1     3e-23   1.2e-21   74.2   1.0    18   228    22   243     1   247 0.75 tig00000001_pilon_693 # 747147 # 748151 # 1 # ID=1_693;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.426
tig00000001_pilon:724712-725551|+   -            280 18543                -            519   2.9e-21   72.9   0.2   1   1   8.5e-23   3.3e-21   72.7   0.2    21   230    22   228     2   272 0.81 tig00000001_pilon_673 # 724712 # 725551 # 1 # ID=1_673;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.413
tig00000001_pilon:1537415-1538524|- -            370 18543                -            519   3.2e-21   72.7   0.3   1   2   2.6e-16     1e-14   51.3   0.0     8   169     5   162     1   162 0.85 tig00000001_pilon_1465 # 1537415 # 1538524 # -1 # ID=1_1465;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.396
tig00000001_pilon:1537415-1538524|- -            370 18543                -            519   3.2e-21   72.7   0.3   2   2   4.8e-09   1.9e-07   27.3   0.0   401   502   133   235   126   242 0.85 tig00000001_pilon_1465 # 1537415 # 1538524 # -1 # ID=1_1465;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.396
tig00000001_pilon:764311-765066|+   -            252 18543                -            519   4.1e-21   72.4   5.1   1   1   1.2e-22   4.7e-21   72.2   5.1     7   234     2   228     1   238 0.89 tig00000001_pilon_706 # 764311 # 765066 # 1 # ID=1_706;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
tig00000001_pilon:560718-562460|-   -            581 18543                -            519   4.2e-21   72.4   0.3   1   1   1.6e-22   6.1e-21   71.8   0.3     5   223   328   545   325   556 0.87 tig00000001_pilon_521 # 560718 # 562460 # -1 # ID=1_521;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.336
tig00000001_pilon:1562699-1563361|- -            221 18543                -            519   8.6e-21   71.3   0.3   1   1   2.7e-22   1.1e-20   71.1   0.3    24   210    21   205    15   219 0.88 tig00000001_pilon_1486 # 1562699 # 1563361 # -1 # ID=1_1486;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.380
tig00000001_pilon:1083747-1084493|+ -            249 18543                -            519   2.2e-20   70.0   0.3   1   1   6.4e-22   2.5e-20   69.8   0.3     7   229     6   224     1   242 0.86 tig00000001_pilon_1011 # 1083747 # 1084493 # 1 # ID=1_1011;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.386
tig00000001_pilon:2658678-2660564|- -            629 18543                -            519   2.5e-20   69.8   0.1   1   4   4.5e-05    0.0017   14.2   0.0     8    56     6    54     3   113 0.83 tig00000001_pilon_2554 # 2658678 # 2660564 # -1 # ID=1_2554;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
tig00000001_pilon:2658678-2660564|- -            629 18543                -            519   2.5e-20   69.8   0.1   2   4     4e-07   1.6e-05   21.0   0.0   400   460   158   215   115   245 0.77 tig00000001_pilon_2554 # 2658678 # 2660564 # -1 # ID=1_2554;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
tig00000001_pilon:2658678-2660564|- -            629 18543                -            519   2.5e-20   69.8   0.1   3   4   3.1e-07   1.2e-05   21.4   0.1    10    74   326   389   318   397 0.76 tig00000001_pilon_2554 # 2658678 # 2660564 # -1 # ID=1_2554;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
tig00000001_pilon:2658678-2660564|- -            629 18543                -            519   2.5e-20   69.8   0.1   4   4    0.0036      0.14    8.0   0.0   140   442   442   483   420   534 0.57 tig00000001_pilon_2554 # 2658678 # 2660564 # -1 # ID=1_2554;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
tig00000001_pilon:118041-119261|-   -            407 18543                -            519   5.7e-20   68.6   1.8   1   2   5.6e-15   2.2e-13   46.9   0.2    18    70    39    91    27    98 0.91 tig00000001_pilon_104 # 118041 # 119261 # -1 # ID=1_104;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.364
tig00000001_pilon:118041-119261|-   -            407 18543                -            519   5.7e-20   68.6   1.8   2   2   3.8e-07   1.5e-05   21.1   0.1   380   493   125   237   107   269 0.70 tig00000001_pilon_104 # 118041 # 119261 # -1 # ID=1_104;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.364
tig00000001_pilon:448409-449089|-   -            227 18543                -            519   6.5e-20   68.5   0.0   1   1   2.2e-21   8.6e-20   68.0   0.0     7   216     4   213     2   218 0.86 tig00000001_pilon_414 # 448409 # 449089 # -1 # ID=1_414;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.404
tig00000001_pilon:1619288-1621048|+ -            587 18543                -            519   7.3e-20   68.3   0.4   1   1   2.9e-21   1.1e-19   67.7   0.4    24   223   363   560   359   569 0.89 tig00000001_pilon_1536 # 1619288 # 1621048 # 1 # ID=1_1536;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.400
tig00000001_pilon:1524485-1525555|+ -            357 18543                -            519   2.2e-19   66.7   4.8   1   1   1.8e-20     7e-19   65.0   4.9     7   223     5   236     1   242 0.64 tig00000001_pilon_1453 # 1524485 # 1525555 # 1 # ID=1_1453;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.422
tig00000001_pilon:1184974-1185612|+ -            213 18543                -            519     5e-19   65.5   0.1   1   1   1.6e-20   6.4e-19   65.2   0.1    31   201    29   199    17   208 0.89 tig00000001_pilon_1102 # 1184974 # 1185612 # 1 # ID=1_1102;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.355
tig00000001_pilon:562444-564198|-   -            585 18543                -            519   6.4e-19   65.2   0.6   1   1   2.6e-20     1e-18   64.5   0.6    13   223   342   550   331   566 0.80 tig00000001_pilon_522 # 562444 # 564198 # -1 # ID=1_522;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.318
tig00000001_pilon:603306-604112|+   -            269 18543                -            519   7.7e-19   64.9   1.5   1   1   2.2e-20   8.8e-19   64.7   1.5     7   234     5   242     1   265 0.78 tig00000001_pilon_556 # 603306 # 604112 # 1 # ID=1_556;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.431
tig00000001_pilon:382670-384439|-   -            590 18543                -            519   7.8e-19   64.9   3.6   1   1     3e-20   1.2e-18   64.3   3.6    24   222   368   564   362   574 0.86 tig00000001_pilon_365 # 382670 # 384439 # -1 # ID=1_365;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.385
tig00000001_pilon:1767411-1768169|+ -            253 18543                -            519   8.5e-19   64.8   0.0   1   1   8.3e-20   3.2e-18   62.8   0.0     5   229     4   234     1   250 0.75 tig00000001_pilon_1686 # 1767411 # 1768169 # 1 # ID=1_1686;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.381
tig00000001_pilon:1472393-1474030|+ -            546 18543                -            519   2.8e-18   63.1   0.1   1   1   1.1e-19   4.1e-18   62.5   0.1    24   225   321   520   302   534 0.82 tig00000001_pilon_1404 # 1472393 # 1474030 # 1 # ID=1_1404;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
tig00000001_pilon:1483444-1484121|- -            226 18543                -            519   3.4e-18   62.8   0.2   1   2   3.2e-07   1.2e-05   21.3   0.1     9    65     5    61     1    70 0.88 tig00000001_pilon_1413 # 1483444 # 1484121 # -1 # ID=1_1413;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.381
tig00000001_pilon:1483444-1484121|- -            226 18543                -            519   3.4e-18   62.8   0.2   2   2   8.1e-13   3.2e-11   39.8   0.0   120   221   105   206    96   215 0.90 tig00000001_pilon_1413 # 1483444 # 1484121 # -1 # ID=1_1413;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.381
tig00000001_pilon:2072912-2073718|+ -            269 18543                -            519   7.5e-18   61.6   0.2   1   1   2.3e-19   9.1e-18   61.4   0.2    11   233     8   231     3   252 0.86 tig00000001_pilon_1991 # 2072912 # 2073718 # 1 # ID=1_1991;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.385
tig00000001_pilon:1525545-1526498|+ -            318 18543                -            519   2.2e-17   60.1   0.7   1   1     3e-18   1.2e-16   57.7   0.7    18   220    22   230     4   239 0.80 tig00000001_pilon_1454 # 1525545 # 1526498 # 1 # ID=1_1454;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.389
