#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001_pilon:427973-428872|-   -            300 28021                -            290  3.4e-152  503.5   0.0   1   1  2.9e-154  3.9e-152  503.3   0.0     2   289     5   294     4   295 0.98 tig00000001_pilon_395 # 427973 # 428872 # -1 # ID=1_395;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.413
tig00000001_pilon:2407644-2408414|- -            257 28021                -            290   0.00098   16.2   0.6   2   2       4.3   5.7e+02   -2.7   0.0    90   122   173   205   161   244 0.63 tig00000001_pilon_2310 # 2407644 # 2408414 # -1 # ID=1_2310;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
tig00000001_pilon:696084-697646|+   -            521 28021                -            290    0.0012   16.0   3.4   1   3   0.00014     0.018   12.1   0.1   149   190    30    68     4    87 0.80 tig00000001_pilon_631 # 696084 # 697646 # 1 # ID=1_631;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
tig00000001_pilon:696084-697646|+   -            521 28021                -            290    0.0012   16.0   3.4   2   3     0.029       3.9    4.4   0.1   119   228   149   256   134   270 0.80 tig00000001_pilon_631 # 696084 # 697646 # 1 # ID=1_631;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
tig00000001_pilon:696084-697646|+   -            521 28021                -            290    0.0012   16.0   3.4   3   3       6.1   8.2e+02   -3.2   0.1   153   183   287   317   273   327 0.77 tig00000001_pilon_631 # 696084 # 697646 # 1 # ID=1_631;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
tig00000001_pilon:764311-765066|+   -            252 28021                -            290    0.0014   15.7   0.3   1   2   3.5e-05    0.0047   14.0   0.0   151   183    26    58     8    67 0.80 tig00000001_pilon_706 # 764311 # 765066 # 1 # ID=1_706;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
tig00000001_pilon:764311-765066|+   -            252 28021                -            290    0.0014   15.7   0.3   2   2       1.3   1.8e+02   -1.1   0.1   112   153   165   205   142   228 0.73 tig00000001_pilon_706 # 764311 # 765066 # 1 # ID=1_706;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
tig00000001_pilon:2658678-2660564|- -            629 28021                -            290    0.0033   14.5   0.1   1   2      0.51        69    0.3   0.0   156   172    34    50    12    57 0.79 tig00000001_pilon_2554 # 2658678 # 2660564 # -1 # ID=1_2554;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
tig00000001_pilon:2658678-2660564|- -            629 28021                -            290    0.0033   14.5   0.1   2   2   0.00025     0.034   11.2   0.0   156   184   352   380   313   398 0.81 tig00000001_pilon_2554 # 2658678 # 2660564 # -1 # ID=1_2554;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
tig00000001_pilon:603306-604112|+   -            269 28021                -            290    0.0034   14.5   0.1   1   1   4.6e-05    0.0062   13.6   0.1   153   192    36    72     6    86 0.80 tig00000001_pilon_556 # 603306 # 604112 # 1 # ID=1_556;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.431
tig00000010_pilon:6381-7001|-       -            207 28021                -            290    0.0035   14.4   0.0   1   1   3.7e-05     0.005   13.9   0.0   151   176    27    52     8    97 0.83 tig00000010_pilon_10 # 6381 # 7001 # -1 # ID=9_10;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.246
tig00000001_pilon:571675-572415|-   -            247 28021                -            290    0.0046   14.0   0.1   1   2   0.00097      0.13    9.3   0.0   150   173    25    48     7    72 0.78 tig00000001_pilon_533 # 571675 # 572415 # -1 # ID=1_533;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.305
tig00000001_pilon:571675-572415|-   -            247 28021                -            290    0.0046   14.0   0.1   2   2     0.096        13    2.7   0.0   113   154   164   204   136   213 0.83 tig00000001_pilon_533 # 571675 # 572415 # -1 # ID=1_533;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.305
tig00000001_pilon:1021973-1022725|+ -            251 28021                -            290     0.005   13.9   0.0   1   1   5.5e-05    0.0074   13.3   0.0   151   174    34    57     3    73 0.80 tig00000001_pilon_959 # 1021973 # 1022725 # 1 # ID=1_959;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.396
tig00000001_pilon:208649-210181|+   -            511 28021                -            290    0.0077   13.3   0.0   1   2    0.0047      0.63    7.0   0.0   157   175    34    52    15    82 0.86 tig00000001_pilon_223 # 208649 # 210181 # 1 # ID=1_223;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
tig00000001_pilon:208649-210181|+   -            511 28021                -            290    0.0077   13.3   0.0   2   2     0.048       6.4    3.7   0.0   152   177   347   371   329   377 0.80 tig00000001_pilon_223 # 208649 # 210181 # 1 # ID=1_223;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
tig00000001_pilon:1638335-1640269|- -            645 28021                -            290    0.0097   13.0   0.0   1   2     0.017       2.2    5.2   0.0   155   173    32    50     8    64 0.80 tig00000001_pilon_1553 # 1638335 # 1640269 # -1 # ID=1_1553;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
tig00000001_pilon:1638335-1640269|- -            645 28021                -            290    0.0097   13.0   0.0   2   2     0.019       2.6    5.0   0.0   132   175   336   377   326   386 0.72 tig00000001_pilon_1553 # 1638335 # 1640269 # -1 # ID=1_1553;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
tig00000001_pilon:1814983-1815882|+ -            300 28021                -            290     0.012   12.6   0.0   1   1   0.00021     0.028   11.5   0.0   154   213     8    64     3    70 0.84 tig00000001_pilon_1727 # 1814983 # 1815882 # 1 # ID=1_1727;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.408
tig00000001_pilon:196396-197589|-   -            398 28021                -            290     0.014   12.5   0.0   1   1   0.00023      0.03   11.3   0.0   151   173    52    74     2    89 0.82 tig00000001_pilon_212 # 196396 # 197589 # -1 # ID=1_212;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.415
tig00000001_pilon:1326545-1327312|+ -            256 28021                -            290     0.014   12.4   0.0   1   1   0.00016     0.021   11.8   0.0   151   175    33    57     3   109 0.80 tig00000001_pilon_1238 # 1326545 # 1327312 # 1 # ID=1_1238;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
tig00000001_pilon:1540054-1541817|- -            588 28021                -            290     0.015   12.3   0.0   1   1   0.00019     0.025   11.6   0.0   149   183   371   405   351   437 0.81 tig00000001_pilon_1468 # 1540054 # 1541817 # -1 # ID=1_1468;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.399
tig00000001_pilon:276364-277947|+   -            528 28021                -            290     0.017   12.1   0.1   1   2     0.052         7    3.6   0.0   155   188    31    64    11   125 0.81 tig00000001_pilon_286 # 276364 # 277947 # 1 # ID=1_286;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
tig00000001_pilon:276364-277947|+   -            528 28021                -            290     0.017   12.1   0.1   2   2    0.0094       1.3    6.0   0.0   151   174   352   375   323   387 0.74 tig00000001_pilon_286 # 276364 # 277947 # 1 # ID=1_286;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
tig00000001_pilon:1766589-1767395|+ -            269 28021                -            290     0.017   12.1   0.0   1   1   0.00019     0.026   11.6   0.0   149   174    44    69    20   102 0.80 tig00000001_pilon_1685 # 1766589 # 1767395 # 1 # ID=1_1685;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.401
tig00000001_pilon:725527-726396|+   -            290 28021                -            290     0.025   11.6   0.0   1   1   0.00029     0.039   11.0   0.0   151   175    32    56    10    68 0.77 tig00000001_pilon_674 # 725527 # 726396 # 1 # ID=1_674;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/28021at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_pilon_r1_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_pilon_r1_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/28021at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/28021at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_pilon_r1_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 00:57:57 2026
# [ok]
