#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001_pilon:1907403-1909139|- -            579 1614                 -            563  9.6e-216  715.1  16.0   1   1  6.4e-218  1.2e-215  714.9  16.0     9   562    10   577     2   578 0.94 tig00000001_pilon_1811 # 1907403 # 1909139 # -1 # ID=1_1811;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.408
tig00000001_pilon:631496-632704|+   -            403 1614                 -            563   4.5e-41  138.5   1.8   2   2   2.5e-43   4.5e-41  138.5   1.8   338   562   158   385   149   386 0.93 tig00000001_pilon_573 # 631496 # 632704 # 1 # ID=1_573;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.391
tig00000005_pilon:3617-4759|+       -            381 1614                 -            563   3.7e-39  132.1   0.1   1   3      0.66   1.2e+02   -1.6   0.2   156   178    12    34     2    72 0.51 tig00000005_pilon_7 # 3617 # 4759 # 1 # ID=5_7;partial=00;start_type=TTG;rbs_motif=GGxGG;rbs_spacer=11-12bp;gc_cont=0.415
tig00000005_pilon:3617-4759|+       -            381 1614                 -            563   3.7e-39  132.1   0.1   2   3     0.011         2    4.3   1.8   160   238    74   149    60   150 0.79 tig00000005_pilon_7 # 3617 # 4759 # 1 # ID=5_7;partial=00;start_type=TTG;rbs_motif=GGxGG;rbs_spacer=11-12bp;gc_cont=0.415
tig00000005_pilon:3617-4759|+       -            381 1614                 -            563   3.7e-39  132.1   0.1   3   3   2.1e-41   3.7e-39  132.1   0.1   341   562   148   370   145   371 0.93 tig00000005_pilon_7 # 3617 # 4759 # 1 # ID=5_7;partial=00;start_type=TTG;rbs_motif=GGxGG;rbs_spacer=11-12bp;gc_cont=0.415
tig00000001_pilon:1120443-1121468|+ -            342 1614                 -            563   1.6e-28   97.1   1.1   1   1   1.5e-30   2.7e-28   96.3   0.9   344   562   119   333   111   334 0.89 tig00000001_pilon_1047 # 1120443 # 1121468 # 1 # ID=1_1047;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.376
tig00000001_pilon:505700-506596|-   -            299 1614                 -            563   4.3e-23   79.1   2.7   1   2      0.24        43   -0.1   0.2    13   238     6    79     1    89 0.38 tig00000001_pilon_472 # 505700 # 506596 # -1 # ID=1_472;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.398
tig00000001_pilon:505700-506596|-   -            299 1614                 -            563   4.3e-23   79.1   2.7   2   2   2.4e-25   4.3e-23   79.1   2.7   350   545    87   281    73   295 0.87 tig00000001_pilon_472 # 505700 # 506596 # -1 # ID=1_472;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.398
tig00000005_pilon:36816-37181|+     -            122 1614                 -            563   1.3e-22   77.5   0.0   1   1   7.8e-25   1.4e-22   77.4   0.0   454   562     4   111     1   112 0.91 tig00000005_pilon_47 # 36816 # 37181 # 1 # ID=5_47;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.470
tig00000002_pilon:119759-121078|-   -            440 1614                 -            563     3e-16   56.5  12.8   1   3      0.69   1.2e+02   -1.6   3.8   154   221     9    76     2    98 0.59 tig00000002_pilon_119 # 119759 # 121078 # -1 # ID=2_119;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.208
tig00000002_pilon:119759-121078|-   -            440 1614                 -            563     3e-16   56.5  12.8   2   3    0.0016      0.29    7.1   9.3   144   232   128   217    41   225 0.62 tig00000002_pilon_119 # 119759 # 121078 # -1 # ID=2_119;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.208
tig00000002_pilon:119759-121078|-   -            440 1614                 -            563     3e-16   56.5  12.8   3   3   1.6e-18     3e-16   56.5  12.8   336   483   224   369   212   416 0.90 tig00000002_pilon_119 # 119759 # 121078 # -1 # ID=2_119;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.208
tig00000005_pilon:35356-36813|+     -            486 1614                 -            563   1.7e-10   37.5   0.3   1   3      0.27        49   -0.3   0.4   139   175   227   263   209   295 0.56 tig00000005_pilon_46 # 35356 # 36813 # 1 # ID=5_46;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.401
tig00000005_pilon:35356-36813|+     -            486 1614                 -            563   1.7e-10   37.5   0.3   2   3     0.016       2.9    3.7   1.9   160   238   302   377   288   379 0.79 tig00000005_pilon_46 # 35356 # 36813 # 1 # ID=5_46;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.401
tig00000005_pilon:35356-36813|+     -            486 1614                 -            563   1.7e-10   37.5   0.3   3   3   9.5e-13   1.7e-10   37.5   0.3   341   434   376   471   371   482 0.86 tig00000005_pilon_46 # 35356 # 36813 # 1 # ID=5_46;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.401
tig00000001_pilon:2206609-2208345|- -            579 1614                 -            563   2.5e-07   27.1  17.7   1   3       0.5        91   -1.2   0.3    49    53    52    56     3   112 0.49 tig00000001_pilon_2110 # 2206609 # 2208345 # -1 # ID=1_2110;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.378
tig00000001_pilon:2206609-2208345|- -            579 1614                 -            563   2.5e-07   27.1  17.7   2   3   3.6e-06   0.00066   15.8   3.1    77   242   203   374   145   384 0.67 tig00000001_pilon_2110 # 2206609 # 2208345 # -1 # ID=1_2110;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.378
tig00000001_pilon:2206609-2208345|- -            579 1614                 -            563   2.5e-07   27.1  17.7   3   3     3e-07   5.5e-05   19.4   1.7   414   562   433   568   394   569 0.77 tig00000001_pilon_2110 # 2206609 # 2208345 # -1 # ID=1_2110;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.378
tig00000001_pilon:2600389-2601174|+ -            262 1614                 -            563   9.5e-07   25.2   3.3   1   2       0.2        37    0.1   0.6   219   268    34    85    29   108 0.66 tig00000001_pilon_2493 # 2600389 # 2601174 # 1 # ID=1_2493;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.372
tig00000001_pilon:2600389-2601174|+ -            262 1614                 -            563   9.5e-07   25.2   3.3   2   2   5.2e-09   9.5e-07   25.2   3.3   448   563   132   248    77   248 0.79 tig00000001_pilon_2493 # 2600389 # 2601174 # 1 # ID=1_2493;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.372
tig00000001_pilon:94239-95306|-     -            356 1614                 -            563   5.3e-05   19.4   8.8   1   2   1.6e-06   0.00029   17.0   3.5   396   505   199   312   195   315 0.72 tig00000001_pilon_84 # 94239 # 95306 # -1 # ID=1_84;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.376
tig00000001_pilon:94239-95306|-     -            356 1614                 -            563   5.3e-05   19.4   8.8   2   2    0.0061       1.1    5.1   0.4   528   562   317   351   309   352 0.89 tig00000001_pilon_84 # 94239 # 95306 # -1 # ID=1_84;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.376
tig00000001_pilon:789910-792018|+   -            703 1614                 -            563   0.00092   15.3   1.6   1   2     6e-06    0.0011   15.1   0.2   459   511    25    75    10    81 0.90 tig00000001_pilon_733 # 789910 # 792018 # 1 # ID=1_733;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.409
tig00000001_pilon:789910-792018|+   -            703 1614                 -            563   0.00092   15.3   1.6   2   2       2.3   4.2e+02   -3.4   0.1   192   219   294   321   289   334 0.56 tig00000001_pilon_733 # 789910 # 792018 # 1 # ID=1_733;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.409
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/1614at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_pilon_r1_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_pilon_r1_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/1614at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/1614at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_pilon_r1_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 00:57:17 2026
# [ok]
