#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001_pilon:427973-428872|-   -            300 18171                -            288  1.4e-162  537.6   0.0   1   1  6.2e-165  1.6e-162  537.4   0.0     1   288     4   294     4   294 0.98 tig00000001_pilon_395 # 427973 # 428872 # -1 # ID=1_395;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.413
tig00000001_pilon:603306-604112|+   -            269 18171                -            288    0.0047   14.0   0.1   1   1   3.2e-05    0.0083   13.2   0.1   152   182    36    66     4    83 0.80 tig00000001_pilon_556 # 603306 # 604112 # 1 # ID=1_556;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.431
tig00000001_pilon:1033111-1033812|+ -            234 18171                -            288    0.0053   13.9   0.0   1   1   2.7e-05     0.007   13.4   0.0   123   171     5    53     1    64 0.77 tig00000001_pilon_968 # 1033111 # 1033812 # 1 # ID=1_968;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.396
tig00000001_pilon:2658678-2660564|- -            629 18171                -            288    0.0055   13.8   0.1   1   2      0.47   1.2e+02   -0.5   0.0   156   172    35    51    14    54 0.79 tig00000001_pilon_2554 # 2658678 # 2660564 # -1 # ID=1_2554;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
tig00000001_pilon:2658678-2660564|- -            629 18171                -            288    0.0055   13.8   0.1   2   2   0.00013     0.034   11.2   0.0   151   183   349   380   310   399 0.74 tig00000001_pilon_2554 # 2658678 # 2660564 # -1 # ID=1_2554;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
tig00000001_pilon:564895-566310|-   -            472 18171                -            288     0.013   12.5   2.3   1   3   0.00057      0.15    9.1   0.0   147   170    25    48     4    62 0.71 tig00000001_pilon_524 # 564895 # 566310 # -1 # ID=1_524;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
tig00000001_pilon:564895-566310|-   -            472 18171                -            288     0.013   12.5   2.3   2   3      0.18        46    0.9   0.1   152   172   280   300   234   314 0.69 tig00000001_pilon_524 # 564895 # 566310 # -1 # ID=1_524;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
tig00000001_pilon:564895-566310|-   -            472 18171                -            288     0.013   12.5   2.3   3   3       0.8   2.1e+02   -1.2   0.0    75   108   420   452   406   469 0.77 tig00000001_pilon_524 # 564895 # 566310 # -1 # ID=1_524;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
tig00000001_pilon:1021973-1022725|+ -            251 18171                -            288     0.013   12.5   0.1   1   1   7.4e-05     0.019   12.0   0.1   136   172    19    56     1    73 0.65 tig00000001_pilon_959 # 1021973 # 1022725 # 1 # ID=1_959;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.396
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/18171at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/canu_pacbio_pilon_r1_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/canu_pacbio_pilon_r1_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/18171at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/18171at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/canu_pacbio_pilon_r1_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 00:54:16 2026
# [ok]
