#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001_pilon:1807431-1807859|+ -            143 19279                -            138   1.5e-80  265.4  10.2   1   1   7.9e-83   1.7e-80  265.2  10.2     2   138     3   142     2   142 0.97 tig00000001_pilon_1719 # 1807431 # 1807859 # 1 # ID=1_1719;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.357
tig00000005_pilon:29596-30276|+     -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00059      0.13    9.7   0.3    36    69    23    57     3    92 0.85 tig00000005_pilon_39 # 29596 # 30276 # 1 # ID=5_39;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
tig00000005_pilon:29596-30276|+     -            227 19279                -            138     0.028   11.9   1.9   2   2      0.19        42    1.6   0.1     4    33   136   167   133   212 0.72 tig00000005_pilon_39 # 29596 # 30276 # 1 # ID=5_39;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
tig00000005_pilon:34561-35241|+     -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00059      0.13    9.7   0.3    36    69    23    57     3    92 0.85 tig00000005_pilon_45 # 34561 # 35241 # 1 # ID=5_45;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.373
tig00000005_pilon:34561-35241|+     -            227 19279                -            138     0.028   11.9   1.9   2   2      0.19        42    1.6   0.1     4    33   136   167   133   212 0.72 tig00000005_pilon_45 # 34561 # 35241 # 1 # ID=5_45;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.373
tig00000005_pilon:7850-8530|-       -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00059      0.13    9.7   0.3    36    69    23    57     3    92 0.85 tig00000005_pilon_11 # 7850 # 8530 # -1 # ID=5_11;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
tig00000005_pilon:7850-8530|-       -            227 19279                -            138     0.028   11.9   1.9   2   2      0.19        42    1.6   0.1     4    33   136   167   133   212 0.72 tig00000005_pilon_11 # 7850 # 8530 # -1 # ID=5_11;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
tig00000007_pilon:1122-1802|-       -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00059      0.13    9.7   0.3    36    69    23    57     3    92 0.85 tig00000007_pilon_2 # 1122 # 1802 # -1 # ID=7_2;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
tig00000007_pilon:1122-1802|-       -            227 19279                -            138     0.028   11.9   1.9   2   2      0.19        42    1.6   0.1     4    33   136   167   133   212 0.72 tig00000007_pilon_2 # 1122 # 1802 # -1 # ID=7_2;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
tig00000005_pilon:13283-13963|-     -            227 19279                -            138     0.031   11.8   2.2   1   2   0.00055      0.12    9.8   0.4    36    69    23    57     3    92 0.85 tig00000005_pilon_19 # 13283 # 13963 # -1 # ID=5_19;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.373
tig00000005_pilon:13283-13963|-     -            227 19279                -            138     0.031   11.8   2.2   2   2      0.19        42    1.6   0.1     4    33   136   167   133   212 0.72 tig00000005_pilon_19 # 13283 # 13963 # -1 # ID=5_19;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.373
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19279at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/canu_pacbio_pilon_r1_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/canu_pacbio_pilon_r1_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/19279at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19279at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/canu_pacbio_pilon_r1_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 00:54:26 2026
# [ok]
