#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP014529.1:2130115-2131620|- -            502 21416                -            489  6.1e-246  814.2  11.4   1   1  2.6e-248  7.2e-246  813.9  11.4     3   488     5   498     3   499 0.97 NZ_CP014529.1_2072 # 2130115 # 2131620 # -1 # ID=1_2072;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.365
NZ_CP014529.1:472041-473066|+   -            342 21416                -            489   4.7e-20   69.1   1.4   1   2      0.79   2.2e+02   -2.3   0.1    15    36     7    28     4    34 0.72 NZ_CP014529.1_459 # 472041 # 473066 # 1 # ID=1_459;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.376
NZ_CP014529.1:472041-473066|+   -            342 21416                -            489   4.7e-20   69.1   1.4   2   2   9.3e-22   2.6e-19   66.7   0.4   184   486    40   334    21   336 0.84 NZ_CP014529.1_459 # 472041 # 473066 # 1 # ID=1_459;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.376
NZ_CP014529.1:2622312-2623208|- -            299 21416                -            489     1e-16   58.1   5.1   1   1   4.3e-19   1.2e-16   57.9   5.1   194   483     5   293     1   297 0.80 NZ_CP014529.1_2536 # 2622312 # 2623208 # -1 # ID=1_2536;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.398
NZ_CP014529.1:1951982-1952767|+ -            262 21416                -            489   0.00028   17.1   0.7   1   1     1e-06   0.00028   17.1   0.7   381   487   143   249   132   251 0.82 NZ_CP014529.1_1905 # 1951982 # 1952767 # 1 # ID=1_1905;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.372
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/21416at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/reference_e745_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/reference_e745_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/21416at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/21416at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/reference_e745_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 12:23:38 2026
# [ok]
