#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP014529.1:1159030-1159458|+ -            143 29046                -            140   1.9e-73  242.6   9.7   1   1   9.9e-76   2.2e-73  242.4   9.7     2   139     4   142     3   142 0.97 NZ_CP014529.1_1130 # 1159030 # 1159458 # 1 # ID=1_1130;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.357
NZ_CP014531.1:10468-11148|-     -            227 29046                -            140       0.1   10.1   3.6   2   2     0.087        19    2.7   0.1     4    35   137   170   134   205 0.72 NZ_CP014531.1_14 # 10468 # 11148 # -1 # ID=3_14;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NZ_CP014531.1:15433-16113|-     -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0021      0.46    8.0   0.3    36    68    24    57     4    77 0.84 NZ_CP014531.1_20 # 15433 # 16113 # -1 # ID=3_20;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NZ_CP014531.1:15433-16113|-     -            227 29046                -            140       0.1   10.1   3.6   2   2     0.087        19    2.7   0.1     4    35   137   170   134   205 0.72 NZ_CP014531.1_20 # 15433 # 16113 # -1 # ID=3_20;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NZ_CP014531.1:20418-21098|-     -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0021      0.46    8.0   0.3    36    68    24    57     4    77 0.84 NZ_CP014531.1_27 # 20418 # 21098 # -1 # ID=3_27;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NZ_CP014531.1:20418-21098|-     -            227 29046                -            140       0.1   10.1   3.6   2   2     0.087        19    2.7   0.1     4    35   137   170   134   205 0.72 NZ_CP014531.1_27 # 20418 # 21098 # -1 # ID=3_27;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NZ_CP014531.1:23163-23843|-     -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0021      0.46    8.0   0.3    36    68    24    57     4    77 0.84 NZ_CP014531.1_30 # 23163 # 23843 # -1 # ID=3_30;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NZ_CP014531.1:23163-23843|-     -            227 29046                -            140       0.1   10.1   3.6   2   2     0.087        19    2.7   0.1     4    35   137   170   134   205 0.72 NZ_CP014531.1_30 # 23163 # 23843 # -1 # ID=3_30;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NZ_CP014531.1:4755-5435|+       -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0021      0.46    8.0   0.3    36    68    24    57     4    77 0.84 NZ_CP014531.1_8 # 4755 # 5435 # 1 # ID=3_8;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NZ_CP014531.1:4755-5435|+       -            227 29046                -            140       0.1   10.1   3.6   2   2     0.087        19    2.7   0.1     4    35   137   170   134   205 0.72 NZ_CP014531.1_8 # 4755 # 5435 # 1 # ID=3_8;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NZ_CP014531.1:31747-32394|+     -            216 29046                -            140      0.12    9.9   4.1   1   2    0.0021      0.46    8.0   0.9    36    68    24    57     4    90 0.84 NZ_CP014531.1_41 # 31747 # 32394 # 1 # ID=3_41;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
NZ_CP014531.1:31747-32394|+     -            216 29046                -            140      0.12    9.9   4.1   2   2      0.08        18    2.9   0.1     4    35   137   170   134   204 0.72 NZ_CP014531.1_41 # 31747 # 32394 # 1 # ID=3_41;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
NZ_CP014530.1:190228-190908|-   -            227 29046                -            140      0.17    9.4   3.9   1   2    0.0029      0.65    7.5   0.6    36    68    24    57     4    91 0.84 NZ_CP014530.1_190 # 190228 # 190908 # -1 # ID=2_190;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NZ_CP014530.1:190228-190908|-   -            227 29046                -            140      0.17    9.4   3.9   2   2     0.087        19    2.7   0.1     4    35   137   170   134   205 0.72 NZ_CP014530.1_190 # 190228 # 190908 # -1 # ID=2_190;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.373
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/29046at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/reference_e745_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/reference_e745_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/29046at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/29046at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/reference_e745_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 12:24:00 2026
# [ok]
