#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP014529.1:47684-49246|+     -            521 18543                -            519         0 1013.3  19.6   1   1         0         0 1013.2  19.6     2   514     3   515     2   520 0.99 NZ_CP014529.1_43 # 47684 # 49246 # 1 # ID=1_43;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
NZ_CP014529.1:2313005-2314198|- -            398 18543                -            519   2.5e-30  102.8   0.5   1   2   6.3e-32   2.5e-30  102.8   0.5    11   223    32   245    21   282 0.85 NZ_CP014529.1_2276 # 2313005 # 2314198 # -1 # ID=1_2276;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.415
NZ_CP014529.1:2313005-2314198|- -            398 18543                -            519   2.5e-30  102.8   0.5   2   2         7   2.8e+02   -2.9   0.1   446   485   335   378   296   383 0.70 NZ_CP014529.1_2276 # 2313005 # 2314198 # -1 # ID=1_2276;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.415
NZ_CP014529.1:2624657-2625574|- -            306 18543                -            519   1.3e-29  100.4   2.2   1   1   7.8e-31   3.1e-29   99.2   2.2     4   230     6   221     3   283 0.86 NZ_CP014529.1_2539 # 2624657 # 2625574 # -1 # ID=1_2539;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.418
NZ_CP014529.1:2343136-2344068|- -            311 18543                -            519   1.9e-29   99.9   0.5   1   1   6.2e-31   2.5e-29   99.5   0.5     6   223     2   214     1   229 0.93 NZ_CP014529.1_2307 # 2343136 # 2344068 # -1 # ID=1_2307;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.395
NZ_CP014529.1:2618939-2619874|- -            312 18543                -            519   3.6e-29   99.0   0.1   1   1   1.1e-30   4.5e-29   98.7   0.1     6   231     4   225     1   235 0.90 NZ_CP014529.1_2533 # 2618939 # 2619874 # -1 # ID=1_2533;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.409
NZ_CP014529.1:678143-678910|+   -            256 18543                -            519     1e-28   97.5   0.5   1   1   2.9e-30   1.2e-28   97.3   0.5     5   216     3   218     1   240 0.84 NZ_CP014529.1_650 # 678143 # 678910 # 1 # ID=1_650;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
NZ_CP014529.1:384709-385410|+   -            234 18543                -            519   4.1e-28   95.5   0.2   1   1     2e-28   7.8e-27   91.3   0.2    17   219    18   215     2   226 0.83 NZ_CP014529.1_380 # 384709 # 385410 # 1 # ID=1_380;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.396
NZ_CP014529.1:1728961-1729647|+ -            229 18543                -            519   3.1e-27   92.6   0.1   1   1   9.2e-29   3.7e-27   92.4   0.1     5   206     3   207     1   219 0.88 NZ_CP014529.1_1696 # 1728961 # 1729647 # 1 # ID=1_1696;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.364
NZ_CP014529.1:2681507-2682922|- -            472 18543                -            519   9.1e-27   91.1   6.2   1   2   8.3e-15   3.3e-13   46.3   0.2    21   226    18   224     1   238 0.79 NZ_CP014529.1_2588 # 2681507 # 2682922 # -1 # ID=1_2588;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NZ_CP014529.1:2681507-2682922|- -            472 18543                -            519   9.1e-27   91.1   6.2   2   2   4.7e-15   1.9e-13   47.1   1.3    23   219   270   447   254   465 0.84 NZ_CP014529.1_2588 # 2681507 # 2682922 # -1 # ID=1_2588;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NZ_CP014530.1:113065-114096|-   -            344 18543                -            519   2.8e-26   89.4   0.3   1   1   2.3e-27   9.3e-26   87.7   0.3    26   226    22   217     3   230 0.90 NZ_CP014530.1_108 # 113065 # 114096 # -1 # ID=2_108;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.433
NZ_CP014529.1:2325258-2326790|+ -            511 18543                -            519   1.3e-25   87.3   4.1   1   4   6.9e-12   2.7e-10   36.7   0.2     6    66     3    63     1    70 0.93 NZ_CP014529.1_2287 # 2325258 # 2326790 # 1 # ID=1_2287;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NZ_CP014529.1:2325258-2326790|+ -            511 18543                -            519   1.3e-25   87.3   4.1   2   4   8.2e-08   3.2e-06   23.3   0.0   402   483   158   236   134   267 0.83 NZ_CP014529.1_2287 # 2325258 # 2326790 # 1 # ID=1_2287;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NZ_CP014529.1:2325258-2326790|+ -            511 18543                -            519   1.3e-25   87.3   4.1   3   4   2.9e-06   0.00011   18.1   0.0    25    66   339   380   335   391 0.90 NZ_CP014529.1_2287 # 2325258 # 2326790 # 1 # ID=1_2287;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NZ_CP014529.1:2325258-2326790|+ -            511 18543                -            519   1.3e-25   87.3   4.1   4   4    0.0037      0.15    7.9   0.0   400   441   434   475   402   507 0.79 NZ_CP014529.1_2287 # 2325258 # 2326790 # 1 # ID=1_2287;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NZ_CP014529.1:861832-862467|+   -            212 18543                -            519   2.3e-25   86.4   0.1   1   1     7e-27   2.8e-25   86.2   0.1     7   211     2   203     1   207 0.90 NZ_CP014529.1_853 # 861832 # 862467 # 1 # ID=1_853;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.379
NZ_CP014530.1:128306-128962|-   -            219 18543                -            519   8.9e-25   84.5   3.0   1   1   2.5e-25     1e-23   81.0   3.0     6   224     3   210     1   216 0.84 NZ_CP014530.1_124 # 128306 # 128962 # -1 # ID=2_124;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.277
NZ_CP014529.1:1034272-1034940|+ -            223 18543                -            519   1.2e-24   84.0   0.4   1   1   3.6e-26   1.4e-24   83.8   0.4     6   207     3   206     1   217 0.87 NZ_CP014529.1_1011 # 1034272 # 1034940 # 1 # ID=1_1011;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.369
NZ_CP014529.1:363358-365694|-   -            779 18543                -            519   1.2e-24   84.0   0.4   1   2     1e-25     4e-24   82.3   0.4     9   219     4   217     1   223 0.81 NZ_CP014529.1_360 # 363358 # 365694 # -1 # ID=1_360;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.387
NZ_CP014529.1:363358-365694|-   -            779 18543                -            519   1.2e-24   84.0   0.4   2   2       3.2   1.3e+02   -1.8   0.0   267   296   453   482   438   507 0.73 NZ_CP014529.1_360 # 363358 # 365694 # -1 # ID=1_360;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.387
NZ_CP014529.1:1759237-1760007|- -            257 18543                -            519   1.4e-24   83.9   0.2   1   1   4.5e-26   1.8e-24   83.5   0.2    23   236    26   246    17   251 0.85 NZ_CP014529.1_1722 # 1759237 # 1760007 # -1 # ID=1_1722;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
NZ_CP014529.1:2405980-2406717|- -            246 18543                -            519   1.5e-24   83.7   0.1   1   1   5.1e-26     2e-24   83.3   0.1    10   219     6   210     2   218 0.93 NZ_CP014529.1_2364 # 2405980 # 2406717 # -1 # ID=1_2364;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.393
NZ_CP014529.1:1044251-1045150|+ -            300 18543                -            519   2.5e-24   83.0   0.9   1   1   8.5e-26   3.4e-24   82.6   0.9     7   229     2   216     1   255 0.93 NZ_CP014529.1_1020 # 1044251 # 1045150 # 1 # ID=1_1020;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.388
NZ_CP014529.1:18104-19726|-     -            541 18543                -            519   5.6e-24   81.9   0.1   1   4   4.3e-12   1.7e-10   37.4   0.0     7    67     2    62     1   103 0.91 NZ_CP014529.1_15 # 18104 # 19726 # -1 # ID=1_15;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.375
NZ_CP014529.1:18104-19726|-     -            541 18543                -            519   5.6e-24   81.9   0.1   2   4   2.3e-08   9.3e-07   25.0   0.0   394   481   146   230   125   265 0.84 NZ_CP014529.1_15 # 18104 # 19726 # -1 # ID=1_15;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.375
NZ_CP014529.1:18104-19726|-     -            541 18543                -            519   5.6e-24   81.9   0.1   3   4     0.037       1.5    4.6   0.0     8    64   321   377   316   393 0.85 NZ_CP014529.1_15 # 18104 # 19726 # -1 # ID=1_15;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.375
NZ_CP014529.1:18104-19726|-     -            541 18543                -            519   5.6e-24   81.9   0.1   4   4    0.0011     0.044    9.6   0.0   400   478   436   511   419   528 0.66 NZ_CP014529.1_15 # 18104 # 19726 # -1 # ID=1_15;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.375
NZ_CP014529.1:989934-991868|-   -            645 18543                -            519   2.3e-23   79.8   0.6   1   4   7.3e-11   2.9e-09   33.3   0.2     7    66     4    63     1    72 0.92 NZ_CP014529.1_964 # 989934 # 991868 # -1 # ID=1_964;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
NZ_CP014529.1:989934-991868|-   -            645 18543                -            519   2.3e-23   79.8   0.6   2   4   5.2e-06   0.00021   17.3   0.0   399   468   160   229   136   256 0.75 NZ_CP014529.1_964 # 989934 # 991868 # -1 # ID=1_964;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
NZ_CP014529.1:989934-991868|-   -            645 18543                -            519   2.3e-23   79.8   0.6   3   4   8.4e-06   0.00033   16.6   0.0     5    50   327   372   324   390 0.88 NZ_CP014529.1_964 # 989934 # 991868 # -1 # ID=1_964;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
NZ_CP014529.1:989934-991868|-   -            645 18543                -            519   2.3e-23   79.8   0.6   4   4    0.0045      0.18    7.6   0.0   403   462   445   501   426   560 0.77 NZ_CP014529.1_964 # 989934 # 991868 # -1 # ID=1_964;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
NZ_CP014529.1:77127-77996|+     -            290 18543                -            519   4.9e-23   78.7   0.0   1   1   1.7e-24   6.7e-23   78.3   0.0    23   225    24   229    16   239 0.83 NZ_CP014529.1_86 # 77127 # 77996 # 1 # ID=1_86;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
NZ_CP014529.1:2444332-2446086|+ -            585 18543                -            519   5.3e-23   78.6   0.5   1   1   2.2e-24   8.6e-23   78.0   0.5    23   225   367   567   363   575 0.87 NZ_CP014529.1_2391 # 2444332 # 2446086 # 1 # ID=1_2391;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.394
NZ_CP014529.1:2392973-2394556|+ -            528 18543                -            519     7e-23   78.2   3.3   1   3   5.7e-13   2.3e-11   40.3   1.0   274   466    17   218     1   236 0.77 NZ_CP014529.1_2350 # 2392973 # 2394556 # 1 # ID=1_2350;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
NZ_CP014529.1:2392973-2394556|+ -            528 18543                -            519     7e-23   78.2   3.3   2   3   3.7e-07   1.5e-05   21.1   0.0     9    66   330   387   323   398 0.84 NZ_CP014529.1_2350 # 2392973 # 2394556 # 1 # ID=1_2350;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
NZ_CP014529.1:2392973-2394556|+ -            528 18543                -            519     7e-23   78.2   3.3   3   3   8.6e-05    0.0034   13.3   0.0   133   183   433   486   417   496 0.81 NZ_CP014529.1_2350 # 2392973 # 2394556 # 1 # ID=1_2350;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
NZ_CP014529.1:1111897-1112583|+ -            229 18543                -            519   7.9e-23   78.1   1.7   1   1   2.4e-24   9.6e-23   77.8   1.7     7   221     2   216     1   221 0.90 NZ_CP014529.1_1090 # 1111897 # 1112583 # 1 # ID=1_1090;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.419
NZ_CP014529.1:593258-594163|-   -            302 18543                -            519   1.6e-22   77.1   3.3   1   1   4.5e-23   1.8e-21   73.6   3.3     8   231     5   217     2   240 0.84 NZ_CP014529.1_567 # 593258 # 594163 # -1 # ID=1_567;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.401
NZ_CP014529.1:624510-625595|+   -            362 18543                -            519     2e-22   76.7   0.2   1   1   9.7e-24   3.9e-22   75.8   0.2     6   225     5   219     2   242 0.89 NZ_CP014529.1_600 # 624510 # 625595 # 1 # ID=1_600;partial=00;start_type=GTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.397
NZ_CP014529.1:98747-99751|+     -            335 18543                -            519   5.3e-22   75.3   1.0   1   1     3e-23   1.2e-21   74.2   1.0    18   228    22   243     1   247 0.75 NZ_CP014529.1_105 # 98747 # 99751 # 1 # ID=1_105;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.426
NZ_CP014529.1:76312-77151|+     -            280 18543                -            519   2.9e-21   72.9   0.2   1   1   8.3e-23   3.3e-21   72.7   0.2    21   230    22   228     2   272 0.81 NZ_CP014529.1_85 # 76312 # 77151 # 1 # ID=1_85;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.413
NZ_CP014529.1:889014-890123|-   -            370 18543                -            519   3.3e-21   72.7   0.3   1   2   2.6e-16     1e-14   51.3   0.0     8   169     5   162     1   162 0.85 NZ_CP014529.1_876 # 889014 # 890123 # -1 # ID=1_876;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.396
NZ_CP014529.1:889014-890123|-   -            370 18543                -            519   3.3e-21   72.7   0.3   2   2   4.7e-09   1.9e-07   27.3   0.0   401   502   133   235   126   242 0.85 NZ_CP014529.1_876 # 889014 # 890123 # -1 # ID=1_876;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.396
NZ_CP014529.1:115911-116666|+   -            252 18543                -            519   4.1e-21   72.4   5.1   1   1   1.2e-22   4.8e-21   72.2   5.1     7   234     2   228     1   238 0.89 NZ_CP014529.1_118 # 115911 # 116666 # 1 # ID=1_118;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
NZ_CP014529.1:2677330-2679072|- -            581 18543                -            519   4.2e-21   72.4   0.3   1   1   1.5e-22   6.1e-21   71.8   0.3     5   223   328   545   325   556 0.87 NZ_CP014529.1_2585 # 2677330 # 2679072 # -1 # ID=1_2585;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.336
NZ_CP014529.1:914298-914960|-   -            221 18543                -            519   8.7e-21   71.3   0.3   1   1   2.7e-22   1.1e-20   71.1   0.3    24   210    21   205    15   219 0.88 NZ_CP014529.1_897 # 914298 # 914960 # -1 # ID=1_897;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.380
NZ_CP014529.1:435345-436091|+   -            249 18543                -            519   2.2e-20   70.0   0.3   1   1   6.3e-22   2.5e-20   69.8   0.3     7   229     6   224     1   242 0.86 NZ_CP014529.1_423 # 435345 # 436091 # 1 # ID=1_423;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.386
NZ_CP014529.1:2010271-2012157|- -            629 18543                -            519   2.5e-20   69.8   0.1   1   4   4.4e-05    0.0017   14.2   0.0     8    56     6    54     3   113 0.83 NZ_CP014529.1_1966 # 2010271 # 2012157 # -1 # ID=1_1966;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
NZ_CP014529.1:2010271-2012157|- -            629 18543                -            519   2.5e-20   69.8   0.1   2   4     4e-07   1.6e-05   21.0   0.0   400   460   158   215   115   245 0.77 NZ_CP014529.1_1966 # 2010271 # 2012157 # -1 # ID=1_1966;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
NZ_CP014529.1:2010271-2012157|- -            629 18543                -            519   2.5e-20   69.8   0.1   3   4     3e-07   1.2e-05   21.4   0.1    10    74   326   389   318   397 0.76 NZ_CP014529.1_1966 # 2010271 # 2012157 # -1 # ID=1_1966;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
NZ_CP014529.1:2010271-2012157|- -            629 18543                -            519   2.5e-20   69.8   0.1   4   4    0.0035      0.14    8.0   0.0   140   442   442   483   420   534 0.57 NZ_CP014529.1_1966 # 2010271 # 2012157 # -1 # ID=1_1966;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
NZ_CP014529.1:2234650-2235870|- -            407 18543                -            519   5.8e-20   68.6   1.8   1   2   5.5e-15   2.2e-13   46.9   0.2    18    70    39    91    27    98 0.91 NZ_CP014529.1_2168 # 2234650 # 2235870 # -1 # ID=1_2168;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.364
NZ_CP014529.1:2234650-2235870|- -            407 18543                -            519   5.8e-20   68.6   1.8   2   2   3.7e-07   1.5e-05   21.1   0.1   380   493   125   237   107   269 0.70 NZ_CP014529.1_2168 # 2234650 # 2235870 # -1 # ID=1_2168;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.364
NZ_CP014529.1:2565021-2565701|- -            227 18543                -            519   6.5e-20   68.5   0.0   1   1   2.2e-21   8.6e-20   68.0   0.0     7   216     4   213     2   218 0.86 NZ_CP014529.1_2478 # 2565021 # 2565701 # -1 # ID=1_2478;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.404
NZ_CP014529.1:970887-972647|+   -            587 18543                -            519   7.3e-20   68.3   0.4   1   1   2.8e-21   1.1e-19   67.7   0.4    24   223   363   560   359   569 0.89 NZ_CP014529.1_947 # 970887 # 972647 # 1 # ID=1_947;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.400
NZ_CP014529.1:876084-877154|+   -            357 18543                -            519   2.2e-19   66.7   4.8   1   1   1.8e-20   7.1e-19   65.0   4.9     7   223     5   236     1   242 0.64 NZ_CP014529.1_864 # 876084 # 877154 # 1 # ID=1_864;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.422
NZ_CP014529.1:536572-537210|+   -            213 18543                -            519     5e-19   65.5   0.1   1   1   1.6e-20   6.4e-19   65.2   0.1    31   201    29   199    17   208 0.89 NZ_CP014529.1_514 # 536572 # 537210 # 1 # ID=1_514;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.355
NZ_CP014529.1:2679056-2680810|- -            585 18543                -            519   6.4e-19   65.2   0.6   1   1   2.6e-20     1e-18   64.5   0.6    13   223   342   550   331   566 0.80 NZ_CP014529.1_2586 # 2679056 # 2680810 # -1 # ID=1_2586;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.318
NZ_CP014529.1:2719916-2720722|+ -            269 18543                -            519   7.7e-19   64.9   1.5   1   1   2.2e-20   8.8e-19   64.7   1.5     7   234     5   242     1   265 0.78 NZ_CP014529.1_2619 # 2719916 # 2720722 # 1 # ID=1_2619;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.431
NZ_CP014529.1:2499279-2501048|- -            590 18543                -            519   7.9e-19   64.9   3.6   1   1     3e-20   1.2e-18   64.3   3.6    24   222   368   564   362   574 0.86 NZ_CP014529.1_2429 # 2499279 # 2501048 # -1 # ID=1_2429;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.385
NZ_CP014529.1:1119010-1119768|+ -            253 18543                -            519   8.6e-19   64.8   0.0   1   1   8.2e-20   3.3e-18   62.8   0.0     5   229     4   234     1   250 0.75 NZ_CP014529.1_1097 # 1119010 # 1119768 # 1 # ID=1_1097;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.381
NZ_CP014529.1:823992-825629|+   -            546 18543                -            519   2.8e-18   63.1   0.1   1   1     1e-19   4.2e-18   62.5   0.1    24   225   321   520   302   534 0.82 NZ_CP014529.1_815 # 823992 # 825629 # 1 # ID=1_815;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
NZ_CP014529.1:835043-835720|-   -            226 18543                -            519   3.4e-18   62.8   0.2   1   2   3.1e-07   1.2e-05   21.3   0.1     9    65     5    61     1    70 0.88 NZ_CP014529.1_824 # 835043 # 835720 # -1 # ID=1_824;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.381
NZ_CP014529.1:835043-835720|-   -            226 18543                -            519   3.4e-18   62.8   0.2   2   2     8e-13   3.2e-11   39.8   0.0   120   221   105   206    96   215 0.90 NZ_CP014529.1_824 # 835043 # 835720 # -1 # ID=1_824;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.381
NZ_CP014529.1:1424505-1425311|+ -            269 18543                -            519   7.5e-18   61.6   0.2   1   1   2.3e-19   9.2e-18   61.4   0.2    11   233     8   231     3   252 0.86 NZ_CP014529.1_1403 # 1424505 # 1425311 # 1 # ID=1_1403;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.385
