#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP014529.1:2167668-2168777|- -            370 16872                -            369  3.9e-224  740.7   0.0   1   1  1.1e-226  4.4e-224  740.5   0.0     1   369     1   369     1   369 1.00 NZ_CP014529.1_2102 # 2167668 # 2168777 # -1 # ID=1_2102;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.402
NZ_CP014529.1:1492509-1495325|+ -            939 16872                -            369    0.0047   13.2   0.1   1   3       1.2   4.6e+02   -3.2   0.0   164   210    26    72    14    77 0.77 NZ_CP014529.1_1467 # 1492509 # 1495325 # 1 # ID=1_1467;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NZ_CP014529.1:1492509-1495325|+ -            939 16872                -            369    0.0047   13.2   0.1   2   3   0.00013     0.051    9.8   0.0   162   199   629   665   592   694 0.82 NZ_CP014529.1_1467 # 1492509 # 1495325 # 1 # ID=1_1467;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NZ_CP014529.1:1492509-1495325|+ -            939 16872                -            369    0.0047   13.2   0.1   3   3      0.13        52   -0.1   0.0   303   351   780   825   740   836 0.67 NZ_CP014529.1_1467 # 1492509 # 1495325 # 1 # ID=1_1467;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NZ_CP014529.1:1524052-1524639|+ -            196 16872                -            369    0.0057   13.0   0.0   1   2   4.6e-05     0.018   11.3   0.0   167   223    26    78    14    92 0.86 NZ_CP014529.1_1493 # 1524052 # 1524639 # 1 # ID=1_1493;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.393
NZ_CP014529.1:1524052-1524639|+ -            196 16872                -            369    0.0057   13.0   0.0   2   2      0.27     1e+02   -1.0   0.0   100   116   134   150   100   192 0.69 NZ_CP014529.1_1493 # 1524052 # 1524639 # 1 # ID=1_1493;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.393
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/16872at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/reference_e745_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/reference_e745_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/16872at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/16872at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/reference_e745_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 12:23:15 2026
# [ok]
