#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP014529.1:669346-669990|+   -            215 28730                -            213  6.4e-116  382.9   0.1   1   1  2.3e-118  7.2e-116  382.7   0.1     1   212     1   212     1   213 0.99 NZ_CP014529.1_641 # 669346 # 669990 # 1 # ID=1_641;partial=00;start_type=GTG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.420
NZ_CP014529.1:557708-558409|+   -            234 28730                -            213    0.0038   14.4   0.3   2   2   0.00028     0.088    9.9   0.1   127   163   122   157   105   210 0.82 NZ_CP014529.1_537 # 557708 # 558409 # 1 # ID=1_537;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.376
NZ_CP014529.1:678143-678910|+   -            256 28730                -            213    0.0044   14.1   0.1   1   2   4.1e-05     0.013   12.7   0.1     2    24    33    55    32    78 0.85 NZ_CP014529.1_650 # 678143 # 678910 # 1 # ID=1_650;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
NZ_CP014529.1:678143-678910|+   -            256 28730                -            213    0.0044   14.1   0.1   2   2       2.4   7.6e+02   -3.0   0.0    17    40   181   204   161   215 0.51 NZ_CP014529.1_650 # 678143 # 678910 # 1 # ID=1_650;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
NZ_CP014529.1:1759237-1760007|- -            257 28730                -            213     0.009   13.1   0.0   1   1   4.5e-05     0.014   12.5   0.0     2    30    34    62    33   115 0.86 NZ_CP014529.1_1722 # 1759237 # 1760007 # -1 # ID=1_1722;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
NZ_CP014529.1:2719916-2720722|+ -            269 28730                -            213     0.013   12.6   0.0   1   1   6.9e-05     0.021   11.9   0.0     3    42    35    74    33   106 0.80 NZ_CP014529.1_2619 # 2719916 # 2720722 # 1 # ID=1_2619;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.431
NZ_CP014529.1:970887-972647|+   -            587 28730                -            213     0.014   12.5   0.4   1   2    0.0011      0.35    7.9   0.1     3    25   371   393   369   409 0.85 NZ_CP014529.1_947 # 970887 # 972647 # 1 # ID=1_947;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.400
NZ_CP014529.1:970887-972647|+   -            587 28730                -            213     0.014   12.5   0.4   2   2      0.06        19    2.3   0.0    52    76   502   526   492   539 0.88 NZ_CP014529.1_947 # 970887 # 972647 # 1 # ID=1_947;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.400
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/28730at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/reference_e745_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/reference_e745_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/28730at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/28730at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/reference_e745_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 12:23:59 2026
# [ok]
