#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP014529.1:2544585-2545484|- -            300 28021                -            290  3.4e-152  503.5   0.0   1   1  2.9e-154  3.9e-152  503.3   0.0     2   289     5   294     4   295 0.98 NZ_CP014529.1_2459 # 2544585 # 2545484 # -1 # ID=1_2459;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.413
NZ_CP014529.1:1759237-1760007|- -            257 28021                -            290   0.00099   16.2   0.6   1   2   1.2e-05    0.0016   15.5   0.1   154   184    38    67    16    75 0.83 NZ_CP014529.1_1722 # 1759237 # 1760007 # -1 # ID=1_1722;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
NZ_CP014529.1:1759237-1760007|- -            257 28021                -            290   0.00099   16.2   0.6   2   2       4.3   5.7e+02   -2.7   0.0    90   122   173   205   161   244 0.63 NZ_CP014529.1_1722 # 1759237 # 1760007 # -1 # ID=1_1722;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
NZ_CP014529.1:47684-49246|+     -            521 28021                -            290    0.0012   16.0   3.4   1   3   0.00014     0.018   12.1   0.1   149   190    30    68     4    87 0.80 NZ_CP014529.1_43 # 47684 # 49246 # 1 # ID=1_43;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
NZ_CP014529.1:47684-49246|+     -            521 28021                -            290    0.0012   16.0   3.4   2   3     0.029       3.9    4.4   0.1   119   228   149   256   134   270 0.80 NZ_CP014529.1_43 # 47684 # 49246 # 1 # ID=1_43;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
NZ_CP014529.1:47684-49246|+     -            521 28021                -            290    0.0012   16.0   3.4   3   3       6.1   8.2e+02   -3.2   0.1   153   183   287   317   273   327 0.77 NZ_CP014529.1_43 # 47684 # 49246 # 1 # ID=1_43;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
NZ_CP014529.1:115911-116666|+   -            252 28021                -            290    0.0014   15.7   0.3   1   2   3.5e-05    0.0047   14.0   0.0   151   183    26    58     8    67 0.80 NZ_CP014529.1_118 # 115911 # 116666 # 1 # ID=1_118;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
NZ_CP014529.1:115911-116666|+   -            252 28021                -            290    0.0014   15.7   0.3   2   2       1.3   1.8e+02   -1.1   0.1   112   153   165   205   142   228 0.73 NZ_CP014529.1_118 # 115911 # 116666 # 1 # ID=1_118;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
NZ_CP014529.1:2010271-2012157|- -            629 28021                -            290    0.0033   14.5   0.1   1   2      0.51        69    0.3   0.0   156   172    34    50    12    57 0.79 NZ_CP014529.1_1966 # 2010271 # 2012157 # -1 # ID=1_1966;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
NZ_CP014529.1:2010271-2012157|- -            629 28021                -            290    0.0033   14.5   0.1   2   2   0.00025     0.034   11.2   0.0   156   184   352   380   313   398 0.81 NZ_CP014529.1_1966 # 2010271 # 2012157 # -1 # ID=1_1966;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
NZ_CP014532.1:8188-8790|+       -            201 28021                -            290    0.0034   14.5   0.0   1   1   3.5e-05    0.0048   14.0   0.0   151   176    27    52     8    97 0.83 NZ_CP014532.1_11 # 8188 # 8790 # 1 # ID=4_11;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.250
NZ_CP014529.1:2719916-2720722|+ -            269 28021                -            290    0.0034   14.5   0.1   1   1   4.6e-05    0.0062   13.6   0.1   153   192    36    72     6    86 0.80 NZ_CP014529.1_2619 # 2719916 # 2720722 # 1 # ID=1_2619;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.431
NZ_CP014529.1:2688285-2689025|- -            247 28021                -            290    0.0046   14.0   0.1   1   2   0.00097      0.13    9.3   0.0   150   173    25    48     7    72 0.78 NZ_CP014529.1_2596 # 2688285 # 2689025 # -1 # ID=1_2596;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.305
NZ_CP014529.1:2688285-2689025|- -            247 28021                -            290    0.0046   14.0   0.1   2   2     0.096        13    2.7   0.0   113   154   164   204   136   213 0.83 NZ_CP014529.1_2596 # 2688285 # 2689025 # -1 # ID=1_2596;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.305
NZ_CP014529.1:373571-374323|+   -            251 28021                -            290    0.0051   13.9   0.0   1   1   5.5e-05    0.0074   13.3   0.0   151   174    34    57     3    73 0.80 NZ_CP014529.1_371 # 373571 # 374323 # 1 # ID=1_371;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.396
NZ_CP014529.1:2325258-2326790|+ -            511 28021                -            290    0.0077   13.3   0.0   1   2    0.0047      0.64    7.0   0.0   157   175    34    52    15    82 0.86 NZ_CP014529.1_2287 # 2325258 # 2326790 # 1 # ID=1_2287;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NZ_CP014529.1:2325258-2326790|+ -            511 28021                -            290    0.0077   13.3   0.0   2   2     0.048       6.4    3.7   0.0   152   177   347   371   329   377 0.80 NZ_CP014529.1_2287 # 2325258 # 2326790 # 1 # ID=1_2287;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NZ_CP014529.1:989934-991868|-   -            645 28021                -            290    0.0097   13.0   0.0   1   2     0.017       2.2    5.2   0.0   155   173    32    50     8    64 0.80 NZ_CP014529.1_964 # 989934 # 991868 # -1 # ID=1_964;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
NZ_CP014529.1:989934-991868|-   -            645 28021                -            290    0.0097   13.0   0.0   2   2     0.019       2.6    5.0   0.0   132   175   336   377   326   386 0.72 NZ_CP014529.1_964 # 989934 # 991868 # -1 # ID=1_964;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
NZ_CP014529.1:1166582-1167481|+ -            300 28021                -            290     0.012   12.6   0.0   1   1   0.00021     0.028   11.5   0.0   154   213     8    64     3    70 0.84 NZ_CP014529.1_1138 # 1166582 # 1167481 # 1 # ID=1_1138;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.408
NZ_CP014529.1:2313005-2314198|- -            398 28021                -            290     0.014   12.5   0.0   1   1   0.00023      0.03   11.3   0.0   151   173    52    74     2    89 0.82 NZ_CP014529.1_2276 # 2313005 # 2314198 # -1 # ID=1_2276;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.415
NZ_CP014529.1:678143-678910|+   -            256 28021                -            290     0.014   12.4   0.0   1   1   0.00016     0.021   11.8   0.0   151   175    33    57     3   109 0.80 NZ_CP014529.1_650 # 678143 # 678910 # 1 # ID=1_650;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
NZ_CP014529.1:891653-893416|-   -            588 28021                -            290     0.015   12.3   0.0   1   1   0.00019     0.025   11.6   0.0   149   183   371   405   351   437 0.81 NZ_CP014529.1_879 # 891653 # 893416 # -1 # ID=1_879;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.399
NZ_CP014529.1:2392973-2394556|+ -            528 28021                -            290     0.017   12.1   0.1   1   2     0.052         7    3.6   0.0   155   188    31    64    11   125 0.81 NZ_CP014529.1_2350 # 2392973 # 2394556 # 1 # ID=1_2350;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
NZ_CP014529.1:2392973-2394556|+ -            528 28021                -            290     0.017   12.1   0.1   2   2    0.0094       1.3    6.0   0.0   151   174   352   375   323   387 0.74 NZ_CP014529.1_2350 # 2392973 # 2394556 # 1 # ID=1_2350;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
NZ_CP014529.1:1118188-1118994|+ -            269 28021                -            290     0.017   12.1   0.0   1   1   0.00019     0.026   11.6   0.0   149   174    44    69    20   102 0.80 NZ_CP014529.1_1096 # 1118188 # 1118994 # 1 # ID=1_1096;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.401
NZ_CP014529.1:77127-77996|+     -            290 28021                -            290     0.025   11.6   0.0   1   1   0.00029     0.039   11.0   0.0   151   175    32    56    10    68 0.77 NZ_CP014529.1_86 # 77127 # 77996 # 1 # ID=1_86;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/28021at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/reference_e745_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/reference_e745_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/28021at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/28021at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/reference_e745_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 12:23:54 2026
# [ok]
