#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2_length_109676_cov_33.984218:85752-86396|- -            215 28730                -            213  6.4e-116  382.9   0.1   1   1  2.3e-118  7.1e-116  382.7   0.1     1   212     1   212     1   213 0.99 NODE_2_length_109676_cov_33.984218_94 # 85752 # 86396 # -1 # ID=2_94;partial=00;start_type=GTG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.419
NODE_7_length_86709_cov_33.100688:60380-61081|-  -            234 28730                -            213    0.0037   14.4   0.3   2   2   0.00028     0.087    9.9   0.1   127   163   122   157   105   210 0.82 NODE_7_length_86709_cov_33.100688_56 # 60380 # 61081 # -1 # ID=7_56;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.375
NODE_2_length_109676_cov_33.984218:76832-77599|- -            256 28730                -            213    0.0044   14.1   0.1   1   2   4.1e-05     0.012   12.7   0.1     2    24    33    55    32    78 0.85 NODE_2_length_109676_cov_33.984218_85 # 76832 # 77599 # -1 # ID=2_85;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
NODE_2_length_109676_cov_33.984218:76832-77599|- -            256 28730                -            213    0.0044   14.1   0.1   2   2       2.4   7.5e+02   -3.0   0.0    17    40   181   204   161   215 0.51 NODE_2_length_109676_cov_33.984218_85 # 76832 # 77599 # -1 # ID=2_85;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
NODE_3_length_106498_cov_28.709525:3244-4014|+   -            257 28730                -            213     0.009   13.1   0.0   1   1   4.5e-05     0.014   12.5   0.0     2    30    34    62    33   115 0.86 NODE_3_length_106498_cov_28.709525_5 # 3244 # 4014 # 1 # ID=3_5;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
NODE_17_length_53451_cov_37.688722:31653-32459|+ -            269 28730                -            213     0.013   12.6   0.0   1   1   6.9e-05     0.021   11.9   0.0     3    42    35    74    33   106 0.80 NODE_17_length_53451_cov_37.688722_24 # 31653 # 32459 # 1 # ID=17_24;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.431
NODE_28_length_32648_cov_29.742705:25501-27261|+ -            587 28730                -            213     0.014   12.5   0.4   1   2    0.0011      0.35    7.9   0.1     3    25   371   393   369   409 0.85 NODE_28_length_32648_cov_29.742705_23 # 25501 # 27261 # 1 # ID=28_23;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.400
NODE_28_length_32648_cov_29.742705:25501-27261|+ -            587 28730                -            213     0.014   12.5   0.4   2   2      0.06        18    2.3   0.0    52    76   502   526   492   539 0.88 NODE_28_length_32648_cov_29.742705_23 # 25501 # 27261 # 1 # ID=28_23;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.400
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/28730at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_illumina_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/28730at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/28730at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:18:12 2026
# [ok]
