#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_11_length_80003_cov_31.743608:39509-40369|+ -            287 20420                -            282  3.5e-156  516.0   0.3   1   1  1.2e-158    4e-156  515.8   0.3     1   281     1   281     1   282 1.00 NODE_11_length_80003_cov_31.743608_43 # 39509 # 40369 # 1 # ID=11_43;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.418
NODE_47_length_17117_cov_34.327980:9824-11956|+  -            711 20420                -            282   0.00029   17.5   0.1   2   3      0.23        78   -0.3   0.1    46   105    99   160    74   164 0.68 NODE_47_length_17117_cov_34.327980_9 # 9824 # 11956 # 1 # ID=47_9;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.409
NODE_47_length_17117_cov_34.327980:9824-11956|+  -            711 20420                -            282   0.00029   17.5   0.1   3   3      0.67   2.3e+02   -1.8   0.1    72   107   198   235   184   239 0.65 NODE_47_length_17117_cov_34.327980_9 # 9824 # 11956 # 1 # ID=47_9;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.409
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/20420at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_illumina_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/20420at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/20420at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:17:58 2026
# [ok]
