#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_4_length_101830_cov_39.048283:8984-10084|-  -            367 19956                -            366  1.2e-235  778.5   6.6   1   1  3.4e-238  1.3e-235  778.3   6.6     1   366     1   366     1   366 1.00 NODE_4_length_101830_cov_39.048283_6 # 8984 # 10084 # -1 # ID=4_6;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.407
NODE_18_length_49813_cov_28.127015:22044-22943|- -            300 19956                -            366    0.0071   12.6   0.1   2   2      0.28   1.1e+02   -1.2   0.0    60   105    47    94    27   120 0.77 NODE_18_length_49813_cov_28.127015_21 # 22044 # 22943 # -1 # ID=18_21;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_11_length_80003_cov_31.743608:39509-40369|+ -            287 19956                -            366    0.0093   12.2   0.0   1   1   3.7e-05     0.014   11.6   0.0     2    33   120   152   119   158 0.78 NODE_11_length_80003_cov_31.743608_43 # 39509 # 40369 # 1 # ID=11_43;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.418
NODE_47_length_17117_cov_34.327980:9824-11956|+  -            711 19956                -            366     0.017   11.3   0.0   1   1   6.4e-05     0.025   10.8   0.0     6    54     4    53     1    65 0.83 NODE_47_length_17117_cov_34.327980_9 # 9824 # 11956 # 1 # ID=47_9;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.409
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/19956at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_illumina_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/19956at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/19956at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:17:57 2026
# [ok]
