#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_13_length_59599_cov_35.538241:32687-33586|+ -            300 28021                -            290  3.4e-152  503.5   0.0   1   1  2.9e-154  3.9e-152  503.3   0.0     2   289     5   294     4   295 0.98 NODE_13_length_59599_cov_35.538241_29 # 32687 # 33586 # 1 # ID=13_29;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.412
NODE_3_length_106498_cov_28.709525:3244-4014|+   -            257 28021                -            290   0.00098   16.2   0.6   1   2   1.2e-05    0.0016   15.5   0.1   154   184    38    67    16    75 0.83 NODE_3_length_106498_cov_28.709525_5 # 3244 # 4014 # 1 # ID=3_5;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
NODE_3_length_106498_cov_28.709525:3244-4014|+   -            257 28021                -            290   0.00098   16.2   0.6   2   2       4.3   5.7e+02   -2.7   0.0    90   122   173   205   161   244 0.63 NODE_3_length_106498_cov_28.709525_5 # 3244 # 4014 # 1 # ID=3_5;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
NODE_4_length_101830_cov_39.048283:67476-69038|+ -            521 28021                -            290    0.0012   16.0   3.4   1   3   0.00014     0.018   12.1   0.1   149   190    30    68     4    87 0.80 NODE_4_length_101830_cov_39.048283_60 # 67476 # 69038 # 1 # ID=4_60;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
NODE_4_length_101830_cov_39.048283:67476-69038|+ -            521 28021                -            290    0.0012   16.0   3.4   2   3     0.029       3.8    4.4   0.1   119   228   149   256   134   270 0.80 NODE_4_length_101830_cov_39.048283_60 # 67476 # 69038 # 1 # ID=4_60;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
NODE_4_length_101830_cov_39.048283:67476-69038|+ -            521 28021                -            290    0.0012   16.0   3.4   3   3       6.1   8.1e+02   -3.2   0.1   153   183   287   317   273   327 0.77 NODE_4_length_101830_cov_39.048283_60 # 67476 # 69038 # 1 # ID=4_60;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
NODE_44_length_19664_cov_36.992299:1683-2438|-   -            252 28021                -            290    0.0014   15.7   0.3   1   2   3.5e-05    0.0047   14.0   0.0   151   183    26    58     8    67 0.80 NODE_44_length_19664_cov_36.992299_3 # 1683 # 2438 # -1 # ID=44_3;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
NODE_44_length_19664_cov_36.992299:1683-2438|-   -            252 28021                -            290    0.0014   15.7   0.3   2   2       1.3   1.8e+02   -1.1   0.1   112   153   165   205   142   228 0.73 NODE_44_length_19664_cov_36.992299_3 # 1683 # 2438 # -1 # ID=44_3;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
NODE_11_length_80003_cov_31.743608:29672-31558|+ -            629 28021                -            290    0.0033   14.5   0.1   1   2      0.51        68    0.3   0.0   156   172    34    50    12    57 0.79 NODE_11_length_80003_cov_31.743608_31 # 29672 # 31558 # 1 # ID=11_31;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_11_length_80003_cov_31.743608:29672-31558|+ -            629 28021                -            290    0.0033   14.5   0.1   2   2   0.00025     0.034   11.2   0.0   156   184   352   380   313   398 0.81 NODE_11_length_80003_cov_31.743608_31 # 29672 # 31558 # 1 # ID=11_31;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_17_length_53451_cov_37.688722:31653-32459|+ -            269 28021                -            290    0.0034   14.5   0.1   1   1   4.6e-05    0.0061   13.6   0.1   153   192    36    72     6    86 0.80 NODE_17_length_53451_cov_37.688722_24 # 31653 # 32459 # 1 # ID=17_24;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.431
NODE_69_length_9373_cov_143.739214:3677-4297|-   -            207 28021                -            290    0.0035   14.4   0.0   1   1   3.7e-05     0.005   13.9   0.0   151   176    27    52     8    97 0.83 NODE_69_length_9373_cov_143.739214_5 # 3677 # 4297 # -1 # ID=69_5;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.246
NODE_17_length_53451_cov_37.688722:22-762|-      -            247 28021                -            290    0.0046   14.0   0.1   1   2   0.00097      0.13    9.3   0.0   150   173    25    48     7    72 0.78 NODE_17_length_53451_cov_37.688722_1 # 22 # 762 # -1 # ID=17_1;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.305
NODE_17_length_53451_cov_37.688722:22-762|-      -            247 28021                -            290    0.0046   14.0   0.1   2   2     0.096        13    2.7   0.0   113   154   164   204   136   213 0.83 NODE_17_length_53451_cov_37.688722_1 # 22 # 762 # -1 # ID=17_1;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.305
NODE_19_length_49767_cov_34.796387:21014-21766|+ -            251 28021                -            290     0.005   13.9   0.0   1   1   5.5e-05    0.0074   13.3   0.0   151   174    34    57     3    73 0.80 NODE_19_length_49767_cov_34.796387_25 # 21014 # 21766 # 1 # ID=19_25;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.396
NODE_47_length_17117_cov_34.327980:425-1957|-    -            511 28021                -            290    0.0076   13.3   0.0   1   2    0.0047      0.63    7.0   0.0   157   175    34    52    15    82 0.86 NODE_47_length_17117_cov_34.327980_1 # 425 # 1957 # -1 # ID=47_1;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_47_length_17117_cov_34.327980:425-1957|-    -            511 28021                -            290    0.0076   13.3   0.0   2   2     0.048       6.4    3.7   0.0   152   177   347   371   329   377 0.80 NODE_47_length_17117_cov_34.327980_1 # 425 # 1957 # -1 # ID=47_1;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_6_length_99885_cov_29.307212:10945-12879|-  -            645 28021                -            290    0.0096   13.0   0.0   1   2     0.017       2.2    5.2   0.0   155   173    32    50     8    64 0.80 NODE_6_length_99885_cov_29.307212_9 # 10945 # 12879 # -1 # ID=6_9;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_6_length_99885_cov_29.307212:10945-12879|-  -            645 28021                -            290    0.0096   13.0   0.0   2   2     0.019       2.6    5.0   0.0   132   175   336   377   326   386 0.72 NODE_6_length_99885_cov_29.307212_9 # 10945 # 12879 # -1 # ID=6_9;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_18_length_49813_cov_28.127015:22044-22943|- -            300 28021                -            290     0.012   12.6   0.0   1   1   0.00021     0.028   11.5   0.0   154   213     8    64     3    70 0.84 NODE_18_length_49813_cov_28.127015_21 # 22044 # 22943 # -1 # ID=18_21;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_47_length_17117_cov_34.327980:13017-14210|+ -            398 28021                -            290     0.014   12.5   0.0   1   1   0.00023      0.03   11.3   0.0   151   173    52    74     2    89 0.82 NODE_47_length_17117_cov_34.327980_12 # 13017 # 14210 # 1 # ID=47_12;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.414
NODE_2_length_109676_cov_33.984218:76832-77599|- -            256 28021                -            290     0.014   12.4   0.0   1   1   0.00016     0.021   11.8   0.0   151   175    33    57     3   109 0.80 NODE_2_length_109676_cov_33.984218_85 # 76832 # 77599 # -1 # ID=2_85;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
NODE_1_length_114283_cov_31.103635:12092-13855|+ -            588 28021                -            290     0.015   12.3   0.0   1   1   0.00019     0.025   11.6   0.0   149   183   371   405   351   437 0.81 NODE_1_length_114283_cov_31.103635_11 # 12092 # 13855 # 1 # ID=1_11;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.399
NODE_14_length_56501_cov_33.217624:34213-35796|+ -            528 28021                -            290     0.017   12.1   0.1   1   2     0.052         7    3.6   0.0   155   188    31    64    11   125 0.81 NODE_14_length_56501_cov_33.217624_28 # 34213 # 35796 # 1 # ID=14_28;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
NODE_14_length_56501_cov_33.217624:34213-35796|+ -            528 28021                -            290     0.017   12.1   0.1   2   2    0.0094       1.3    6.0   0.0   151   174   352   375   323   387 0.74 NODE_14_length_56501_cov_33.217624_28 # 34213 # 35796 # 1 # ID=14_28;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
NODE_22_length_43520_cov_30.536294:36490-37296|+ -            269 28021                -            290     0.017   12.1   0.0   1   1   0.00019     0.026   11.6   0.0   149   174    44    69    20   102 0.80 NODE_22_length_43520_cov_30.536294_41 # 36490 # 37296 # 1 # ID=22_41;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.401
NODE_4_length_101830_cov_39.048283:96919-97788|+ -            290 28021                -            290     0.025   11.6   0.0   1   1   0.00029     0.039   11.0   0.0   151   175    32    56    10    68 0.77 NODE_4_length_101830_cov_39.048283_103 # 96919 # 97788 # 1 # ID=4_103;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/28021at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_illumina_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/28021at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/28021at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:18:10 2026
# [ok]
