#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_1_pilon:224858-227578|+   -            907 27467                -            825  5.4e-229  759.7  98.0   1   1  2.1e-230    8e-228  755.8  98.0     1   825     1   897     1   897 0.87 contig_1_pilon_185 # 224858 # 227578 # 1 # ID=1_185;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.371
contig_1_pilon:37609-39087|+     -            493 27467                -            825     0.022   10.0  21.2   3   3   0.00071      0.27    6.5   0.1    19    44   318   344   314   346 0.73 contig_1_pilon_43 # 37609 # 39087 # 1 # ID=1_43;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
contig_2_pilon:1144681-1144866|+ -             62 27467                -            825      0.03    9.6   2.2   1   1   8.8e-05     0.033    9.5   2.2   389   438    10    59     2    60 0.87 contig_2_pilon_1098 # 1144681 # 1144866 # 1 # ID=5_1098;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.376
contig_1_pilon:569857-572523|+   -            889 27467                -            825      0.07    8.4   4.1   1   2   0.00028      0.11    7.8   2.1   339   438     4   108     1   125 0.74 contig_1_pilon_539 # 569857 # 572523 # 1 # ID=1_539;partial=00;start_type=TTG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.408
contig_1_pilon:569857-572523|+   -            889 27467                -            825      0.07    8.4   4.1   2   2     0.068        26   -0.1   0.0   697   715   584   602   576   609 0.88 contig_1_pilon_539 # 569857 # 572523 # 1 # ID=1_539;partial=00;start_type=TTG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.408
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/27467at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/27467at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/27467at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 00:58:43 2026
# [ok]
