#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_1_pilon:635071-635931|+   -            287 20420                -            282  3.4e-156  516.0   0.3   1   1  1.2e-158  3.9e-156  515.8   0.3     1   281     1   281     1   282 1.00 contig_1_pilon_600 # 635071 # 635931 # 1 # ID=1_600;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.418
contig_2_pilon:1108530-1109759|+ -            410 20420                -            282   3.7e-05   20.4   3.2   1   2   8.5e-06    0.0029   14.2   0.1    91   143   161   216   153   226 0.71 contig_2_pilon_1060 # 1108530 # 1109759 # 1 # ID=5_1060;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.415
contig_2_pilon:1108530-1109759|+ -            410 20420                -            282   3.7e-05   20.4   3.2   2   2    0.0035       1.2    5.6   0.4     3    67   252   322   250   358 0.69 contig_2_pilon_1060 # 1108530 # 1109759 # 1 # ID=5_1060;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.415
contig_2_pilon:120990-122090|-   -            367 20420                -            282     9e-05   19.2   0.2   1   2   2.1e-06   0.00069   16.3   0.1   121   155     3    36     1    40 0.84 contig_2_pilon_95 # 120990 # 122090 # -1 # ID=5_95;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.407
contig_2_pilon:120990-122090|-   -            367 20420                -            282     9e-05   19.2   0.2   2   2      0.13        44    0.5   0.0    49   103   198   257   191   275 0.70 contig_2_pilon_95 # 120990 # 122090 # -1 # ID=5_95;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.407
contig_1_pilon:320000-322132|+   -            711 20420                -            282   0.00028   17.5   0.1   1   3   8.4e-07   0.00028   17.5   0.1   124   176     4    57     1    75 0.83 contig_1_pilon_275 # 320000 # 322132 # 1 # ID=1_275;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.409
contig_1_pilon:320000-322132|+   -            711 20420                -            282   0.00028   17.5   0.1   2   3      0.23        77   -0.3   0.1    46   105    99   160    74   164 0.68 contig_1_pilon_275 # 320000 # 322132 # 1 # ID=1_275;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.409
contig_1_pilon:320000-322132|+   -            711 20420                -            282   0.00028   17.5   0.1   3   3      0.67   2.2e+02   -1.8   0.1    72   107   198   235   184   239 0.65 contig_1_pilon_275 # 320000 # 322132 # 1 # ID=1_275;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.409
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/20420at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/20420at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/20420at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 00:58:35 2026
# [ok]
