#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_2_pilon:801144-801788|+   -            215 28730                -            213  6.3e-116  382.9   0.1   1   1  2.3e-118    7e-116  382.7   0.1     1   212     1   212     1   213 0.99 contig_2_pilon_747 # 801144 # 801788 # 1 # ID=5_747;partial=00;start_type=GTG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.420
contig_2_pilon:689506-690207|+   -            234 28730                -            213    0.0037   14.4   0.3   2   2   0.00028     0.086    9.9   0.1   127   163   122   157   105   210 0.82 contig_2_pilon_643 # 689506 # 690207 # 1 # ID=5_643;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.376
contig_2_pilon:809941-810708|+   -            256 28730                -            213    0.0043   14.1   0.1   1   2   4.1e-05     0.012   12.7   0.1     2    24    33    55    32    78 0.85 contig_2_pilon_756 # 809941 # 810708 # 1 # ID=5_756;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
contig_2_pilon:809941-810708|+   -            256 28730                -            213    0.0043   14.1   0.1   2   2       2.4   7.4e+02   -3.0   0.0    17    40   181   204   161   215 0.51 contig_2_pilon_756 # 809941 # 810708 # 1 # ID=5_756;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
contig_1_pilon:877384-878154|+   -            257 28730                -            213    0.0088   13.1   0.0   1   1   4.5e-05     0.014   12.5   0.0     2    30    34    62    33   115 0.86 contig_1_pilon_832 # 877384 # 878154 # 1 # ID=1_832;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
contig_2_pilon:86704-87510|+     -            269 28730                -            213     0.013   12.6   0.0   1   1   6.9e-05     0.021   11.9   0.0     3    42    35    74    33   106 0.80 contig_2_pilon_74 # 86704 # 87510 # 1 # ID=5_74;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.431
contig_2_pilon:1102685-1104445|+ -            587 28730                -            213     0.014   12.5   0.4   1   2    0.0011      0.35    7.9   0.1     3    25   371   393   369   409 0.85 contig_2_pilon_1053 # 1102685 # 1104445 # 1 # ID=5_1053;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.400
contig_2_pilon:1102685-1104445|+ -            587 28730                -            213     0.014   12.5   0.4   2   2      0.06        18    2.3   0.0    52    76   502   526   492   539 0.88 contig_2_pilon_1053 # 1102685 # 1104445 # 1 # ID=5_1053;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.400
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/28730at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/28730at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/28730at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 00:58:49 2026
# [ok]
