#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_8_length_123234_cov_76.327838:121153-122658|+  -            502 21416                -            489  6.2e-246  814.2  11.4   1   1  2.6e-248  7.3e-246  813.9  11.4     3   488     5   498     3   499 0.97 NODE_8_length_123234_cov_76.327838_114 # 121153 # 122658 # 1 # ID=8_114;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.365
NODE_27_length_31036_cov_54.470116:19501-20526|+    -            342 21416                -            489   4.8e-20   69.1   1.4   1   2      0.79   2.3e+02   -2.3   0.1    15    36     7    28     4    34 0.72 NODE_27_length_31036_cov_54.470116_20 # 19501 # 20526 # 1 # ID=27_20;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_27_length_31036_cov_54.470116:19501-20526|+    -            342 21416                -            489   4.8e-20   69.1   1.4   2   2   9.3e-22   2.7e-19   66.7   0.4   184   486    40   334    21   336 0.84 NODE_27_length_31036_cov_54.470116_20 # 19501 # 20526 # 1 # ID=27_20;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_12_length_79680_cov_63.087599:43955-44851|-    -            299 21416                -            489     1e-16   58.1   5.1   1   1   4.3e-19   1.2e-16   57.9   5.1   194   483     5   293     1   297 0.80 NODE_12_length_79680_cov_63.087599_49 # 43955 # 44851 # -1 # ID=12_49;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.398
NODE_9_length_122393_cov_61.758630:4935-5720|+      -            262 21416                -            489   0.00029   17.1   0.7   1   1     1e-06   0.00029   17.1   0.7   381   487   143   249   132   251 0.82 NODE_9_length_122393_cov_61.758630_6 # 4935 # 5720 # 1 # ID=9_6;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.372
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/21416at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_pacbio_illumina_isolate_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_pacbio_illumina_isolate_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/21416at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/21416at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_pacbio_illumina_isolate_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:17:23 2026
# [ok]
