#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_8_length_123234_cov_76.327838:83996-85105|+   -            370 16872                -            369    4e-224  740.7   0.0   1   1  1.3e-226  4.4e-224  740.5   0.0     1   369     1   369     1   369 1.00 NODE_8_length_123234_cov_76.327838_84 # 83996 # 85105 # 1 # ID=8_84;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.401
NODE_2_length_252901_cov_71.242866:103204-106020|+ -            939 16872                -            369    0.0048   13.2   0.1   1   3       1.4   4.7e+02   -3.2   0.0   164   210    26    72    14    77 0.77 NODE_2_length_252901_cov_71.242866_105 # 103204 # 106020 # 1 # ID=2_105;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_2_length_252901_cov_71.242866:103204-106020|+ -            939 16872                -            369    0.0048   13.2   0.1   2   3   0.00015     0.052    9.8   0.0   162   199   629   665   592   694 0.82 NODE_2_length_252901_cov_71.242866_105 # 103204 # 106020 # 1 # ID=2_105;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_2_length_252901_cov_71.242866:103204-106020|+ -            939 16872                -            369    0.0048   13.2   0.1   3   3      0.15        53   -0.1   0.0   303   351   780   825   740   836 0.67 NODE_2_length_252901_cov_71.242866_105 # 103204 # 106020 # 1 # ID=2_105;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_2_length_252901_cov_71.242866:134747-135334|+ -            196 16872                -            369    0.0058   13.0   0.0   1   2   5.2e-05     0.018   11.3   0.0   167   223    26    78    14    92 0.86 NODE_2_length_252901_cov_71.242866_131 # 134747 # 135334 # 1 # ID=2_131;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.393
NODE_2_length_252901_cov_71.242866:134747-135334|+ -            196 16872                -            369    0.0058   13.0   0.0   2   2       0.3   1.1e+02   -1.0   0.0   100   116   134   150   100   192 0.69 NODE_2_length_252901_cov_71.242866_131 # 134747 # 135334 # 1 # ID=2_131;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.393
NODE_45_length_8408_cov_87.541134:4784-5134|+      -            117 16872                -            369     0.013   11.8   0.0   1   1   4.3e-05     0.015   11.6   0.0    12    62    60   110    49   116 0.88 NODE_45_length_8408_cov_87.541134_7 # 4784 # 5134 # 1 # ID=45_7;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.365
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/16872at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_pacbio_illumina_isolate_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_pacbio_illumina_isolate_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/16872at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/16872at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_pacbio_illumina_isolate_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:17:09 2026
# [ok]
