#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_18_length_59342_cov_60.374412:32456-33355|+   -            300 28021                -            290  3.5e-152  503.5   0.0   1   1  2.9e-154    4e-152  503.3   0.0     2   289     5   294     4   295 0.98 NODE_18_length_59342_cov_60.374412_29 # 32456 # 33355 # 1 # ID=18_29;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.412
NODE_1_length_304474_cov_63.252055:186884-187654|+ -            257 28021                -            290     0.001   16.2   0.6   1   2   1.2e-05    0.0016   15.5   0.1   154   184    38    67    16    75 0.83 NODE_1_length_304474_cov_63.252055_177 # 186884 # 187654 # 1 # ID=1_177;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
NODE_1_length_304474_cov_63.252055:186884-187654|+ -            257 28021                -            290     0.001   16.2   0.6   2   2       4.3   5.8e+02   -2.7   0.0    90   122   173   205   161   244 0.63 NODE_1_length_304474_cov_63.252055_177 # 186884 # 187654 # 1 # ID=1_177;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
NODE_17_length_62801_cov_60.881707:30713-32275|+   -            521 28021                -            290    0.0012   16.0   3.4   1   3   0.00014     0.019   12.1   0.1   149   190    30    68     4    87 0.80 NODE_17_length_62801_cov_60.881707_30 # 30713 # 32275 # 1 # ID=17_30;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
NODE_17_length_62801_cov_60.881707:30713-32275|+   -            521 28021                -            290    0.0012   16.0   3.4   2   3     0.029       3.9    4.4   0.1   119   228   149   256   134   270 0.80 NODE_17_length_62801_cov_60.881707_30 # 30713 # 32275 # 1 # ID=17_30;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
NODE_17_length_62801_cov_60.881707:30713-32275|+   -            521 28021                -            290    0.0012   16.0   3.4   3   3       6.1   8.3e+02   -3.2   0.1   153   183   287   317   273   327 0.77 NODE_17_length_62801_cov_60.881707_30 # 30713 # 32275 # 1 # ID=17_30;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
NODE_10_length_113754_cov_99.095655:77382-78137|-  -            252 28021                -            290    0.0014   15.7   0.3   1   2   3.5e-05    0.0048   14.0   0.0   151   183    26    58     8    67 0.80 NODE_10_length_113754_cov_99.095655_76 # 77382 # 78137 # -1 # ID=10_76;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
NODE_10_length_113754_cov_99.095655:77382-78137|-  -            252 28021                -            290    0.0014   15.7   0.3   2   2       1.3   1.8e+02   -1.1   0.1   112   153   165   205   142   228 0.73 NODE_10_length_113754_cov_99.095655_76 # 77382 # 78137 # -1 # ID=10_76;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
NODE_9_length_122393_cov_61.758630:63224-65110|-   -            629 28021                -            290    0.0034   14.5   0.1   1   2      0.51        70    0.3   0.0   156   172    34    50    12    57 0.79 NODE_9_length_122393_cov_61.758630_67 # 63224 # 65110 # -1 # ID=9_67;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_9_length_122393_cov_61.758630:63224-65110|-   -            629 28021                -            290    0.0034   14.5   0.1   2   2   0.00025     0.035   11.2   0.0   156   184   352   380   313   398 0.81 NODE_9_length_122393_cov_61.758630_67 # 63224 # 65110 # -1 # ID=9_67;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_24_length_39856_cov_62.007358:11707-12513|-   -            269 28021                -            290    0.0035   14.5   0.1   1   1   4.6e-05    0.0063   13.6   0.1   153   192    36    72     6    86 0.80 NODE_24_length_39856_cov_62.007358_11 # 11707 # 12513 # -1 # ID=24_11;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.430
NODE_44_length_9088_cov_241.874324:2984-3604|-     -            207 28021                -            290    0.0035   14.4   0.0   1   1   3.7e-05    0.0051   13.9   0.0   151   176    27    52     8    97 0.83 NODE_44_length_9088_cov_241.874324_5 # 2984 # 3604 # -1 # ID=44_5;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.246
NODE_26_length_32562_cov_63.418796:3366-4106|+     -            247 28021                -            290    0.0047   14.0   0.1   1   2   0.00097      0.13    9.3   0.0   150   173    25    48     7    72 0.78 NODE_26_length_32562_cov_63.418796_4 # 3366 # 4106 # 1 # ID=26_4;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.305
NODE_26_length_32562_cov_63.418796:3366-4106|+     -            247 28021                -            290    0.0047   14.0   0.1   2   2     0.096        13    2.7   0.0   113   154   164   204   136   213 0.83 NODE_26_length_32562_cov_63.418796_4 # 3366 # 4106 # 1 # ID=26_4;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.305
NODE_14_length_67873_cov_82.007916:48684-49436|-   -            251 28021                -            290    0.0051   13.9   0.0   1   1   5.5e-05    0.0076   13.3   0.0   151   174    34    57     3    73 0.80 NODE_14_length_67873_cov_82.007916_39 # 48684 # 49436 # -1 # ID=14_39;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.394
NODE_3_length_193524_cov_75.578528:60470-62002|+   -            511 28021                -            290    0.0078   13.3   0.0   1   2    0.0047      0.65    7.0   0.0   157   175    34    52    15    82 0.86 NODE_3_length_193524_cov_75.578528_87 # 60470 # 62002 # 1 # ID=3_87;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_3_length_193524_cov_75.578528:60470-62002|+   -            511 28021                -            290    0.0078   13.3   0.0   2   2     0.048       6.6    3.7   0.0   152   177   347   371   329   377 0.80 NODE_3_length_193524_cov_75.578528_87 # 60470 # 62002 # 1 # ID=3_87;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_20_length_58283_cov_65.610712:25856-27790|+   -            645 28021                -            290    0.0099   13.0   0.0   1   2     0.017       2.3    5.2   0.0   155   173    32    50     8    64 0.80 NODE_20_length_58283_cov_65.610712_34 # 25856 # 27790 # 1 # ID=20_34;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.402
NODE_20_length_58283_cov_65.610712:25856-27790|+   -            645 28021                -            290    0.0099   13.0   0.0   2   2     0.019       2.6    5.0   0.0   132   175   336   377   326   386 0.72 NODE_20_length_58283_cov_65.610712_34 # 25856 # 27790 # 1 # ID=20_34;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.402
NODE_4_length_185058_cov_63.073482:41337-42236|-   -            300 28021                -            290     0.012   12.6   0.0   1   1   0.00021     0.028   11.5   0.0   154   213     8    64     3    70 0.84 NODE_4_length_185058_cov_63.073482_39 # 41337 # 42236 # -1 # ID=4_39;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_3_length_193524_cov_75.578528:48216-49409|-   -            398 28021                -            290     0.014   12.5   0.0   1   1   0.00023     0.031   11.3   0.0   151   173    52    74     2    89 0.82 NODE_3_length_193524_cov_75.578528_76 # 48216 # 49409 # -1 # ID=3_76;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.415
NODE_11_length_94214_cov_54.858857:15208-15975|+   -            256 28021                -            290     0.014   12.4   0.0   1   1   0.00016     0.022   11.8   0.0   151   175    33    57     3   109 0.80 NODE_11_length_94214_cov_54.858857_16 # 15208 # 15975 # 1 # ID=11_16;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
NODE_6_length_133129_cov_71.626923:65869-67632|+   -            588 28021                -            290     0.015   12.3   0.0   1   1   0.00019     0.026   11.6   0.0   149   183   371   405   351   437 0.81 NODE_6_length_133129_cov_71.626923_59 # 65869 # 67632 # 1 # ID=6_59;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.399
NODE_3_length_193524_cov_75.578528:128185-129768|+ -            528 28021                -            290     0.018   12.1   0.1   1   2     0.052       7.1    3.6   0.0   155   188    31    64    11   125 0.81 NODE_3_length_193524_cov_75.578528_150 # 128185 # 129768 # 1 # ID=3_150;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
NODE_3_length_193524_cov_75.578528:128185-129768|+ -            528 28021                -            290     0.018   12.1   0.1   2   2    0.0094       1.3    6.0   0.0   151   174   352   375   323   387 0.74 NODE_3_length_193524_cov_75.578528_150 # 128185 # 129768 # 1 # ID=3_150;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
NODE_4_length_185058_cov_63.073482:89823-90629|-   -            269 28021                -            290     0.018   12.1   0.0   1   1   0.00019     0.026   11.6   0.0   149   174    44    69    20   102 0.80 NODE_4_length_185058_cov_63.073482_81 # 89823 # 90629 # -1 # ID=4_81;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.400
NODE_17_length_62801_cov_60.881707:60156-61025|+   -            290 28021                -            290     0.025   11.6   0.0   1   1   0.00029      0.04   11.0   0.0   151   175    32    56    10    68 0.77 NODE_17_length_62801_cov_60.881707_73 # 60156 # 61025 # 1 # ID=17_73;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/28021at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_isolate_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_isolate_auto/run_enterococcaceae_odb12/hmmer_output/28021at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/28021at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_isolate_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 22 11:45:50 2026
# [ok]
