#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_33_length_26158_cov_60.272498:24117-25217|+   -            367 19956                -            366  1.2e-235  778.5   6.6   1   1  3.4e-238  1.3e-235  778.3   6.6     1   366     1   366     1   366 1.00 NODE_33_length_26158_cov_60.272498_24 # 24117 # 25217 # 1 # ID=33_24;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.408
NODE_9_length_122393_cov_61.758630:54413-55273|-   -            287 19956                -            366    0.0096   12.2   0.0   1   1   3.7e-05     0.015   11.6   0.0     2    33   120   152   119   158 0.78 NODE_9_length_122393_cov_61.758630_55 # 54413 # 55273 # -1 # ID=9_55;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.418
NODE_3_length_193524_cov_75.578528:50470-52602|-   -            711 19956                -            366     0.017   11.3   0.0   1   1   6.4e-05     0.025   10.8   0.0     6    54     4    53     1    65 0.83 NODE_3_length_193524_cov_75.578528_79 # 50470 # 52602 # -1 # ID=3_79;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.410
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/19956at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_isolate_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_isolate_auto/run_enterococcaceae_odb12/hmmer_output/19956at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/19956at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_isolate_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 22 11:45:36 2026
# [ok]
