#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_4_length_185058_cov_63.073482:49360-49788|-   -            143 29046                -            140   1.9e-73  242.6   9.7   1   1   7.8e-76   2.2e-73  242.4   9.7     2   139     4   142     3   142 0.97 NODE_4_length_185058_cov_63.073482_47 # 49360 # 49788 # -1 # ID=4_47;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.359
NODE_46_length_7598_cov_438.447455:4243-4923|-     -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0016      0.47    8.0   0.3    36    68    24    57     4    77 0.84 NODE_46_length_7598_cov_438.447455_6 # 4243 # 4923 # -1 # ID=46_6;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_46_length_7598_cov_438.447455:4243-4923|-     -            227 29046                -            140       0.1   10.1   3.6   2   2     0.069        20    2.7   0.1     4    35   137   170   134   205 0.72 NODE_46_length_7598_cov_438.447455_6 # 4243 # 4923 # -1 # ID=46_6;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_5_length_181677_cov_163.395180:2089-2769|+    -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0016      0.47    8.0   0.3    36    68    24    57     4    77 0.84 NODE_5_length_181677_cov_163.395180_3 # 2089 # 2769 # 1 # ID=5_3;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_5_length_181677_cov_163.395180:2089-2769|+    -            227 29046                -            140       0.1   10.1   3.6   2   2     0.069        20    2.7   0.1     4    35   137   170   134   205 0.72 NODE_5_length_181677_cov_163.395180_3 # 2089 # 2769 # 1 # ID=5_3;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_5_length_181677_cov_163.395180:21942-22622|-  -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0016      0.47    8.0   0.3    36    68    24    57     4    77 0.84 NODE_5_length_181677_cov_163.395180_24 # 21942 # 22622 # -1 # ID=5_24;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_5_length_181677_cov_163.395180:21942-22622|-  -            227 29046                -            140       0.1   10.1   3.6   2   2     0.069        20    2.7   0.1     4    35   137   170   134   205 0.72 NODE_5_length_181677_cov_163.395180_24 # 21942 # 22622 # -1 # ID=5_24;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_5_length_181677_cov_163.395180:28980-29660|-  -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0016      0.47    8.0   0.3    36    68    24    57     4    77 0.84 NODE_5_length_181677_cov_163.395180_32 # 28980 # 29660 # -1 # ID=5_32;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_5_length_181677_cov_163.395180:28980-29660|-  -            227 29046                -            140       0.1   10.1   3.6   2   2     0.069        20    2.7   0.1     4    35   137   170   134   205 0.72 NODE_5_length_181677_cov_163.395180_32 # 28980 # 29660 # -1 # ID=5_32;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/29046at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_isolate_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_isolate_auto/run_enterococcaceae_odb12/hmmer_output/29046at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/29046at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_isolate_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 22 11:45:54 2026
# [ok]
