gene_id	gene	Preferred_name	product	Description	direction	log2FoldChange	padj	COG_category	KEGG_Pathway
EFM745_02612	purK	purK	N5-carboxyaminoimidazole ribonucleotide synthase	Catalyzes the ATP-dependent conversion of 5- aminoimidazole ribonucleotide (AIR) and HCO(3)(-) to N5- carboxyaminoimidazole ribonucleotide (N5-CAIR)	up_in_serum	3.47394807771356	0	F	ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130
EFM745_00320	adeC	ade	Adenine deaminase	Adenine deaminase C-terminal domain	up_in_serum	2.86391089469057	0	F	ko00230,ko01100,map00230,map01100
EFM745_01223	ndk	ndk	Nucleoside diphosphate kinase	Major role in the synthesis of nucleoside triphosphates other than ATP. The ATP gamma phosphate is transferred to the NDP beta phosphate via a ping-pong mechanism, using a phosphorylated active-site intermediate	up_in_serum	2.52926388838591	1.32933968620683e-292	F	ko00230,ko00240,ko00983,ko01100,ko01110,ko01130,ko04016,map00230,map00240,map00983,map01100,map01110,map01130,map04016
EFM745_01897		adk	hypothetical protein	adenylate kinase activity	up_in_serum	1.91810505231226	3.0826603348705e-15	F	ko00230,ko00730,ko01100,ko01110,ko01130,map00230,map00730,map01100,map01110,map01130
EFM745_00325	hit	hit	Protein hit	Scavenger mRNA decapping enzyme C-term binding	up_in_serum	1.91033176913224	8.99695134324118e-148	FG	
EFM745_02459	carA	carA	Carbamoyl-phosphate synthase small chain	Belongs to the CarA family	up_in_serum	1.74742815305348	8.47975998951704e-19	F	ko00240,ko00250,ko01100,map00240,map00250,map01100
EFM745_00680	purA	purA	Adenylosuccinate synthetase	Plays an important role in the de novo pathway of purine nucleotide biosynthesis. Catalyzes the first committed step in the biosynthesis of AMP from IMP	up_in_serum	1.69451279353898	4.86147449526117e-220	F	ko00230,ko00250,ko01100,map00230,map00250,map01100
EFM745_02463	pyrR	pyrR	Bifunctional protein pyrR	Also displays a weak uracil phosphoribosyltransferase activity which is not physiologically significant	up_in_serum	1.68691165033457	1.40806195637788e-45	F	ko00240,ko01100,map00240,map01100
EFM745_02460	pyrC	pyrC	Dihydroorotase	Belongs to the metallo-dependent hydrolases superfamily. DHOase family. Class I DHOase subfamily	up_in_serum	1.64314519002496	7.29364000032241e-46	F	ko00240,ko01100,map00240,map01100
EFM745_02458	carB	carB	Carbamoyl-phosphate synthase large chain	carbamoyl-phosphate synthetase ammonia chain	up_in_serum	1.61152266956613	9.70469843228678e-62	EF	ko00240,ko00250,ko01100,map00240,map00250,map01100
EFM745_02615	xpt	xpt	Xanthine phosphoribosyltransferase	Converts the preformed base xanthine, a product of nucleic acid breakdown, to xanthosine 5'-monophosphate (XMP), so it can be reused for RNA or DNA synthesis	up_in_serum	1.49848984884379	4.66665341104889e-149	F	ko00230,ko01100,ko01110,map00230,map01100,map01110
EFM745_02461	pyrB	pyrB	Aspartate carbamoyltransferase	Belongs to the ATCase OTCase family	up_in_serum	1.49717509567187	9.45011653586722e-14	F	ko00240,ko00250,ko01100,map00240,map00250,map01100
EFM745_02455	pyrDB	pyrD	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit	Belongs to the dihydroorotate dehydrogenase family. Type 1 subfamily	up_in_serum	1.306869875217	1.01053541612124e-40	F	ko00240,ko01100,map00240,map01100
EFM745_02453	pyrE	pyrE	Orotate phosphoribosyltransferase	Catalyzes the transfer of a ribosyl phosphate group from 5-phosphoribose 1-diphosphate to orotate, leading to the formation of orotidine monophosphate (OMP)	up_in_serum	1.30094967798563	4.593402380406e-40	F	ko00240,ko00983,ko01100,map00240,map00983,map01100
EFM745_02462	pyrP	pyrP	Uracil permease	Permease family	up_in_serum	1.20983414140182	9.68030942607367e-10	F	
EFM745_01557			hypothetical protein	NUDIX domain	up_in_serum	1.19660480108864	1.27357155959961e-81	F	ko00230,map00230
EFM745_00654	guaB	guaB	Inosine-5'-monophosphate dehydrogenase	Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth	up_in_serum	1.19444466949274	6.75766011659599e-101	F	ko00230,ko00983,ko01100,ko01110,map00230,map00983,map01100,map01110
EFM745_02614		pbuX	Nucleobase transporter PlUacP	Permease family	up_in_serum	1.15393723792582	5.80415974353695e-70	F	
EFM745_00708	deoC	deoC	Deoxyribose-phosphate aldolase	Catalyzes a reversible aldol reaction between acetaldehyde and D-glyceraldehyde 3-phosphate to generate 2-deoxy- D-ribose 5-phosphate	down_in_bhi_relative	-1.08383292958944	1.46158811196862e-55	F	ko00030,ko00051,ko00520,ko01100,ko01110,ko01130,map00030,map00051,map00520,map01100,map01110,map01130
EFM745_00709	cdd	cdd	Cytidine deaminase	This enzyme scavenges exogenous and endogenous cytidine and 2'-deoxycytidine for UMP synthesis	down_in_bhi_relative	-1.10561345843742	8.2347110802616e-26	F	ko00240,ko00983,ko01100,map00240,map00983,map01100
EFM745_02945	guaA_2	guaA	GMP synthase [glutamine-hydrolyzing]	Catalyzes the synthesis of GMP from XMP	down_in_bhi_relative	-1.14292846690147	1.90066001193664e-21	F	ko00230,ko00983,ko01100,map00230,map00983,map01100
EFM745_00857	ddl	ddl	D-alanine--D-alanine ligase	Belongs to the D-alanine--D-alanine ligase family	down_in_bhi_relative	-1.16702669511754	1.06444961669695e-84	F	ko00473,ko00550,ko01100,ko01502,map00473,map00550,map01100,map01502
EFM745_02148	pyrH	pyrH	Uridylate kinase	Catalyzes the reversible phosphorylation of UMP to UDP	down_in_bhi_relative	-1.36529169665089	3.21697675811349e-81	F	ko00240,ko01100,map00240,map01100
EFM745_00033	pfkA	pfkA	ATP-dependent 6-phosphofructokinase	Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis	down_in_bhi_relative	-1.40412247123775	3.27692099967255e-125	F	ko00010,ko00030,ko00051,ko00052,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko03018,ko04152,ko05230,map00010,map00030,map00051,map00052,map00680,map01100,map01110,map01120,map01130,map01200,map01230,map03018,map04152,map05230
EFM745_02238	aroK	aroK	Shikimate kinase	Catalyzes the specific phosphorylation of the 3-hydroxyl group of shikimic acid using ATP as a cosubstrate	down_in_bhi_relative	-1.4694111604383	2.22293014280525e-49	F	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230
EFM745_00848	udk	udk	Uridine kinase	Phosphoribulokinase / Uridine kinase family	down_in_bhi_relative	-1.49563406435091	6.62584961467735e-107	F	ko00240,ko00983,ko01100,map00240,map00983,map01100
EFM745_01674	endA		DNA-entry nuclease	DNA/RNA non-specific endonuclease	down_in_bhi_relative	-1.50870553176153	3.50162205298184e-107	F	
EFM745_01526	tdk	tdk	Thymidine kinase	Thymidine kinase	down_in_bhi_relative	-1.58885314398491	2.18052691637527e-94	F	ko00240,ko00983,ko01100,map00240,map00983,map01100
EFM745_00900		dak	Deoxyguanosine kinase	Deoxynucleoside kinase	down_in_bhi_relative	-1.72438916366502	5.4484806406828e-105	F	ko00230,ko00240,ko01100,map00230,map00240,map01100
EFM745_00859	cshA	cshA	ATP-dependent RNA helicase CshA	DEAD-box RNA helicase possibly involved in RNA degradation. Unwinds dsRNA in both 5'- and 3'-directions, has RNA- dependent ATPase activity	down_in_bhi_relative	-1.90773226936918	2.0355669511067e-289	F	ko03018,map03018
EFM745_00707	pdp	pdp	Pyrimidine-nucleoside phosphorylase	Pyrimidine nucleoside phosphorylase C-terminal domain	down_in_bhi_relative	-1.99461723923234	1.24999830592684e-174	F	ko00240,ko00983,ko01100,ko05219,map00240,map00983,map01100,map05219
EFM745_00879	tgt	tgt	Queuine tRNA-ribosyltransferase	Catalyzes the base-exchange of a guanine (G) residue with the queuine precursor 7-aminomethyl-7-deazaguanine (PreQ1) at position 34 (anticodon wobble position) in tRNAs with GU(N) anticodons (tRNA-Asp, -Asn, -His and -Tyr). Catalysis occurs through a double-displacement mechanism. The nucleophile active site attacks the C1' of nucleotide 34 to detach the guanine base from the RNA, forming a covalent enzyme-RNA intermediate. The proton acceptor active site deprotonates the incoming PreQ1, allowing a nucleophilic attack on the C1' of the ribose to form the product. After dissociation, two additional enzymatic reactions on the tRNA convert PreQ1 to queuine (Q), resulting in the hypermodified nucleoside queuosine (7-(((4,5-cis-dihydroxy-2- cyclopenten-1-yl)amino)methyl)-7-deazaguanosine)	down_in_bhi_relative	-2.04255383382797	4.23313305152704e-120	F	
EFM745_01064		dak	Deoxyguanosine kinase	Deoxynucleoside kinase	down_in_bhi_relative	-2.07083294267943	3.66698715515027e-194	F	ko00230,ko00240,ko01100,map00230,map00240,map01100
EFM745_02708	cmk	cmk	Cytidylate kinase	Belongs to the cytidylate kinase family. Type 1 subfamily	down_in_bhi_relative	-2.23201391338807	1.89098635252302e-189	F	ko00240,ko00400,ko00410,ko00740,ko00770,ko00900,ko01100,ko01110,ko01130,ko01230,ko03010,map00240,map00400,map00410,map00740,map00770,map00900,map01100,map01110,map01130,map01230,map03010
EFM745_02508	apt	apt	Adenine phosphoribosyltransferase	Catalyzes a salvage reaction resulting in the formation of AMP, that is energically less costly than de novo synthesis	down_in_bhi_relative	-2.29023225582553	1.78342403197053e-243	F	ko00230,ko01100,map00230,map01100
EFM745_01304	pyrG	pyrG	CTP synthase	Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen. Regulates intracellular CTP levels through interactions with the four ribonucleotide triphosphates	down_in_bhi_relative	-2.3175461187844	1.52580650538067e-314	F	ko00240,ko01100,map00240,map01100
EFM745_00311	ackA	ackA	Acetate kinase	Catalyzes the formation of acetyl phosphate from acetate and ATP. Can also catalyze the reverse reaction	down_in_bhi_relative	-2.43310091692854	0	F	ko00430,ko00620,ko00640,ko00680,ko00720,ko01100,ko01120,ko01200,map00430,map00620,map00640,map00680,map00720,map01100,map01120,map01200
EFM745_00746	adk	adk	Adenylate kinase	Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism	down_in_bhi_relative	-2.94939606323178	0	F	ko00230,ko00730,ko01100,ko01110,ko01130,map00230,map00730,map01100,map01110,map01130
EFM745_02394	nupC	nupC	Nucleoside permease NupC	Na+ dependent nucleoside transporter C-terminus	down_in_bhi_relative	-3.07985013566628	0	F	
EFM745_01215		dak	Deoxyguanosine kinase	Deoxynucleoside kinase	down_in_bhi_relative	-3.70922235950837	0	F	ko00230,ko00240,ko01100,map00230,map00240,map01100
EFM745_02393	gmk_2	gmk2	Guanylate kinase	Guanylate kinase homologues.	down_in_bhi_relative	-4.08080463897016	2.47995813155367e-169	F	ko00230,ko01100,map00230,map01100
EFM745_01214			hypothetical protein	Nucleoside 2-deoxyribosyltransferase	down_in_bhi_relative	-4.16864028828697	0	F	ko00240,map00240
