#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_18_length_59342_cov_60.374412:32456-33355|+   -            300 18171                -            288  1.4e-162  537.6   0.0   1   1  6.2e-165  1.6e-162  537.4   0.0     1   288     4   294     4   294 0.98 NODE_18_length_59342_cov_60.374412_29 # 32456 # 33355 # 1 # ID=18_29;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.412
NODE_26_length_32562_cov_63.418796:9469-10884|+    -            472 18171                -            288     0.014   12.5   2.3   1   3   0.00057      0.15    9.1   0.0   147   170    25    48     4    62 0.71 NODE_26_length_32562_cov_63.418796_12 # 9469 # 10884 # 1 # ID=26_12;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NODE_26_length_32562_cov_63.418796:9469-10884|+    -            472 18171                -            288     0.014   12.5   2.3   2   3      0.18        47    0.9   0.1   152   172   280   300   234   314 0.69 NODE_26_length_32562_cov_63.418796_12 # 9469 # 10884 # 1 # ID=26_12;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NODE_26_length_32562_cov_63.418796:9469-10884|+    -            472 18171                -            288     0.014   12.5   2.3   3   3       0.8   2.1e+02   -1.2   0.0    75   108   420   452   406   469 0.77 NODE_26_length_32562_cov_63.418796_12 # 9469 # 10884 # 1 # ID=26_12;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NODE_14_length_67873_cov_82.007916:48684-49436|-   -            251 18171                -            288     0.014   12.5   0.1   1   1   7.4e-05     0.019   12.0   0.1   136   172    19    56     1    73 0.65 NODE_14_length_67873_cov_82.007916_39 # 48684 # 49436 # -1 # ID=14_39;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.394
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/18171at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_pacbio_illumina_isolate_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_pacbio_illumina_isolate_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/18171at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/18171at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_pacbio_illumina_isolate_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:11:28 2026
# [ok]
