#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2_length_252901_cov_71.242866:39618-40580|+    -            321 19602                -            320  5.1e-198  654.1   7.0   1   1  1.3e-200  5.7e-198  653.9   7.0     1   319     1   319     1   320 1.00 NODE_2_length_252901_cov_71.242866_47 # 39618 # 40580 # 1 # ID=2_47;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.421
NODE_5_length_181677_cov_163.395180:153526-154398|+ -            291 19602                -            320   3.4e-19   66.5   0.1   1   2   3.3e-19   1.5e-16   57.8   0.1    54   193    42   187     4   204 0.80 NODE_5_length_181677_cov_163.395180_145 # 153526 # 154398 # 1 # ID=5_145;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.463
NODE_5_length_181677_cov_163.395180:153526-154398|+ -            291 19602                -            320   3.4e-19   66.5   0.1   2   2     0.001      0.47    6.9   0.0   247   318   212   285   205   287 0.77 NODE_5_length_181677_cov_163.395180_145 # 153526 # 154398 # 1 # ID=5_145;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.463
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19602at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_pacbio_illumina_isolate_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_pacbio_illumina_isolate_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/19602at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19602at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_pacbio_illumina_isolate_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:11:35 2026
# [ok]
