#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_8_length_123234_cov_76.327838:121153-122658|+  -            502 21416                -            488  2.1e-290  961.0  13.1   1   1  8.5e-293  2.4e-290  960.8  13.1     2   487     7   495     6   496 0.99 NODE_8_length_123234_cov_76.327838_114 # 121153 # 122658 # 1 # ID=8_114;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.365
NODE_42_length_10417_cov_270.845628:8501-9643|-     -            381 21416                -            488   3.1e-21   73.2   6.0   1   1   1.5e-23   4.4e-21   72.7   6.0   180   486    66   369    50   371 0.82 NODE_42_length_10417_cov_270.845628_12 # 8501 # 9643 # -1 # ID=42_12;partial=00;start_type=TTG;rbs_motif=GGxGG;rbs_spacer=11-12bp;gc_cont=0.413
NODE_27_length_31036_cov_54.470116:19501-20526|+    -            342 21416                -            488   3.1e-16   56.7   0.4   1   1   2.2e-18   6.4e-16   55.7   0.3   386   487   232   333    98   334 0.86 NODE_27_length_31036_cov_54.470116_20 # 19501 # 20526 # 1 # ID=27_20;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_12_length_79680_cov_63.087599:43955-44851|-    -            299 21416                -            488   2.2e-14   50.6   2.4   1   1   8.8e-17   2.5e-14   50.4   2.4   262   485    74   293     2   296 0.71 NODE_12_length_79680_cov_63.087599_49 # 43955 # 44851 # -1 # ID=12_49;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.398
NODE_9_length_122393_cov_61.758630:4935-5720|+      -            262 21416                -            488    0.0027   14.0   1.0   1   2      0.75   2.1e+02   -2.1   0.1   305   349    50    94    29   109 0.62 NODE_9_length_122393_cov_61.758630_6 # 4935 # 5720 # 1 # ID=9_6;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.372
NODE_9_length_122393_cov_61.758630:4935-5720|+      -            262 21416                -            488    0.0027   14.0   1.0   2   2   1.2e-05    0.0033   13.8   0.1   384   486   144   246   119   248 0.81 NODE_9_length_122393_cov_61.758630_6 # 4935 # 5720 # 1 # ID=9_6;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.372
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/21416at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_pacbio_illumina_isolate_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_pacbio_illumina_isolate_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/21416at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/21416at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_pacbio_illumina_isolate_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:11:45 2026
# [ok]
