#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2_length_840748_cov_42.698360:144750-145259|+    -            170 22970                -            165     7e-64  212.3   0.5   1   1   2.5e-66   7.8e-64  212.1   0.5     1   165     1   166     1   166 0.98 NODE_2_length_840748_cov_42.698360_130 # 144750 # 145259 # 1 # ID=2_130;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_1_length_1652082_cov_46.167482:847906-848607|-   -            234 22970                -            165    0.0064   14.0   0.2   1   2   0.00072      0.22    9.0   0.0     1    28     1    28     1    38 0.86 NODE_1_length_1652082_cov_46.167482_846 # 847906 # 848607 # -1 # ID=1_846;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.375
NODE_1_length_1652082_cov_46.167482:847906-848607|-   -            234 22970                -            165    0.0064   14.0   0.2   2   2      0.06        18    2.8   0.1    94   140   127   174   122   189 0.76 NODE_1_length_1652082_cov_46.167482_846 # 847906 # 848607 # -1 # ID=1_846;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.375
NODE_1_length_1652082_cov_46.167482:800259-800732|-   -            158 22970                -            165    0.0073   13.8   1.2   1   2     6e-05     0.019   12.5   0.7     3    29    26    52    24    65 0.90 NODE_1_length_1652082_cov_46.167482_801 # 800259 # 800732 # -1 # ID=1_801;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.399
NODE_1_length_1652082_cov_46.167482:800259-800732|-   -            158 22970                -            165    0.0073   13.8   1.2   2   2       1.1   3.4e+02   -1.4   0.0    27    52    72    97    51   116 0.70 NODE_1_length_1652082_cov_46.167482_801 # 800259 # 800732 # -1 # ID=1_801;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.399
NODE_2_length_840748_cov_42.698360:85676-86560|+      -            295 22970                -            165    0.0094   13.5   1.6   1   3      0.22        69    0.9   0.1     4    17     8    21     5    35 0.77 NODE_2_length_840748_cov_42.698360_81 # 85676 # 86560 # 1 # ID=2_81;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.407
NODE_2_length_840748_cov_42.698360:85676-86560|+      -            295 22970                -            165    0.0094   13.5   1.6   2   3   0.00033       0.1   10.1   0.1    86   161    81   154    74   158 0.77 NODE_2_length_840748_cov_42.698360_81 # 85676 # 86560 # 1 # ID=2_81;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.407
NODE_2_length_840748_cov_42.698360:85676-86560|+      -            295 22970                -            165    0.0094   13.5   1.6   3   3     0.029         9    3.8   0.1    29    57   139   167   132   169 0.80 NODE_2_length_840748_cov_42.698360_81 # 85676 # 86560 # 1 # ID=2_81;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.407
NODE_5_length_73637_cov_93.923133:40869-42893|+       -            675 22970                -            165     0.011   13.3   0.2   1   1   0.00013     0.039   11.5   0.2     4    24   270   290   267   296 0.88 NODE_5_length_73637_cov_93.923133_47 # 40869 # 42893 # 1 # ID=5_47;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.384
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/22970at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_nanopore_illumina_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_nanopore_illumina_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/22970at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/22970at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_nanopore_illumina_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:13:32 2026
# [ok]
