#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_1652082_cov_46.167482:246857-247285|- -            143 19279                -            138   1.5e-80  265.4  10.2   1   1   7.9e-83   1.7e-80  265.2  10.2     2   138     3   142     2   142 0.97 NODE_1_length_1652082_cov_46.167482_254 # 246857 # 247285 # -1 # ID=1_254;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.359
NODE_7_length_35882_cov_232.232618:17387-18067|+    -            227 19279                -            138     0.028   11.9   1.9   2   2      0.19        42    1.6   0.1     4    33   136   167   133   212 0.72 NODE_7_length_35882_cov_232.232618_22 # 17387 # 18067 # 1 # ID=7_22;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_7_length_35882_cov_232.232618:22820-23500|+    -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00059      0.13    9.7   0.3    36    69    23    57     3    92 0.85 NODE_7_length_35882_cov_232.232618_30 # 22820 # 23500 # 1 # ID=7_30;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_7_length_35882_cov_232.232618:22820-23500|+    -            227 19279                -            138     0.028   11.9   1.9   2   2      0.19        42    1.6   0.1     4    33   136   167   133   212 0.72 NODE_7_length_35882_cov_232.232618_30 # 22820 # 23500 # 1 # ID=7_30;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_7_length_35882_cov_232.232618:28533-29213|-    -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00059      0.13    9.7   0.3    36    69    23    57     3    92 0.85 NODE_7_length_35882_cov_232.232618_36 # 28533 # 29213 # -1 # ID=7_36;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_7_length_35882_cov_232.232618:28533-29213|-    -            227 19279                -            138     0.028   11.9   1.9   2   2      0.19        42    1.6   0.1     4    33   136   167   133   212 0.72 NODE_7_length_35882_cov_232.232618_36 # 28533 # 29213 # -1 # ID=7_36;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_7_length_35882_cov_232.232618:33498-34178|-    -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00059      0.13    9.7   0.3    36    69    23    57     3    92 0.85 NODE_7_length_35882_cov_232.232618_42 # 33498 # 34178 # -1 # ID=7_42;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_7_length_35882_cov_232.232618:33498-34178|-    -            227 19279                -            138     0.028   11.9   1.9   2   2      0.19        42    1.6   0.1     4    33   136   167   133   212 0.72 NODE_7_length_35882_cov_232.232618_42 # 33498 # 34178 # -1 # ID=7_42;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_7_length_35882_cov_232.232618:6059-6739|-      -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00059      0.13    9.7   0.3    36    69    23    57     3    92 0.85 NODE_7_length_35882_cov_232.232618_9 # 6059 # 6739 # -1 # ID=7_9;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_7_length_35882_cov_232.232618:6059-6739|-      -            227 19279                -            138     0.028   11.9   1.9   2   2      0.19        42    1.6   0.1     4    33   136   167   133   212 0.72 NODE_7_length_35882_cov_232.232618_9 # 6059 # 6739 # -1 # ID=7_9;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_7_length_35882_cov_232.232618:8804-9484|-      -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00059      0.13    9.7   0.3    36    69    23    57     3    92 0.85 NODE_7_length_35882_cov_232.232618_12 # 8804 # 9484 # -1 # ID=7_12;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_7_length_35882_cov_232.232618:8804-9484|-      -            227 19279                -            138     0.028   11.9   1.9   2   2      0.19        42    1.6   0.1     4    33   136   167   133   212 0.72 NODE_7_length_35882_cov_232.232618_12 # 8804 # 9484 # -1 # ID=7_12;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19279at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_nanopore_illumina_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_nanopore_illumina_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/19279at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19279at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_nanopore_illumina_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:13:14 2026
# [ok]
