#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_1652082_cov_46.167482:580686-582323|-   -            546 1507                 -            615         0 1028.2  18.0   1   1         0         0 1027.9  18.0    85   614    14   543     4   544 0.99 NODE_1_length_1652082_cov_46.167482_568 # 580686 # 582323 # -1 # ID=1_568;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.400
NODE_3_length_245057_cov_46.274867:220533-222254|+    -            574 1507                 -            615   1.3e-87  292.0   9.5   1   1   4.3e-89   1.7e-87  291.7   9.5    91   609    52   571     4   572 0.89 NODE_3_length_245057_cov_46.274867_221 # 220533 # 222254 # 1 # ID=3_221;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.400
NODE_3_length_245057_cov_46.274867:179565-181319|+    -            585 1507                 -            615   2.8e-86  287.7   6.2   1   1   8.4e-88   3.3e-86  287.5   6.2   101   607    77   583    31   584 0.91 NODE_3_length_245057_cov_46.274867_191 # 179565 # 181319 # 1 # ID=3_191;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.394
NODE_1_length_1652082_cov_46.167482:1492079-1493821|+ -            581 1507                 -            615   1.9e-84  281.6   5.9   1   1   6.9e-86   2.7e-84  281.1   5.9   125   606    86   562    62   570 0.88 NODE_1_length_1652082_cov_46.167482_1447 # 1492079 # 1493821 # 1 # ID=1_1447;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.336
NODE_1_length_1652082_cov_46.167482:1490341-1492095|+ -            585 1507                 -            615   8.6e-68  226.6  14.3   1   1     4e-69   1.6e-67  225.7  14.3   108   606    69   567     1   575 0.82 NODE_1_length_1652082_cov_46.167482_1446 # 1490341 # 1492095 # 1 # ID=1_1446;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.318
NODE_2_length_840748_cov_42.698360:75958-76695|-      -            246 1507                 -            615   7.3e-31  104.6   0.0   1   1   2.5e-32   9.7e-31  104.2   0.0   377   597     8   228     2   235 0.87 NODE_2_length_840748_cov_42.698360_75 # 75958 # 76695 # -1 # ID=2_75;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.393
NODE_2_length_840748_cov_42.698360:433920-434657|-    -            246 1507                 -            615   6.9e-30  101.4   0.1   1   1   2.1e-31   8.2e-30  101.2   0.1   372   590     2   220     1   231 0.88 NODE_2_length_840748_cov_42.698360_418 # 433920 # 434657 # -1 # ID=2_418;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.396
NODE_1_length_1652082_cov_46.167482:1249009-1249749|+ -            247 1507                 -            615   8.6e-30  101.1   0.0   1   1   2.6e-31     1e-29  100.9   0.0   373   596     5   228     1   232 0.88 NODE_1_length_1652082_cov_46.167482_1222 # 1249009 # 1249749 # 1 # ID=1_1222;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
NODE_3_length_245057_cov_46.274867:48238-49431|-      -            398 1507                 -            615   8.7e-30  101.1   0.0   1   1   3.5e-31   1.4e-29  100.4   0.0   390   598    43   254    36   265 0.88 NODE_3_length_245057_cov_46.274867_76 # 48238 # 49431 # -1 # ID=3_76;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.415
NODE_2_length_840748_cov_42.698360:500865-502391|-    -            509 1507                 -            615   7.7e-29   97.9   0.4   1   2   5.3e-20   2.1e-18   63.5   0.1   393   593    24   228    19   239 0.86 NODE_2_length_840748_cov_42.698360_480 # 500865 # 502391 # -1 # ID=2_480;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_2_length_840748_cov_42.698360:500865-502391|-    -            509 1507                 -            615   7.7e-29   97.9   0.4   2   2   1.2e-10   4.6e-09   32.6   0.0   362   589   250   487   231   500 0.78 NODE_2_length_840748_cov_42.698360_480 # 500865 # 502391 # -1 # ID=2_480;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_2_length_840748_cov_42.698360:558747-559439|-    -            231 1507                 -            615   6.5e-28   94.9   0.0   1   1   1.8e-29     7e-28   94.8   0.0   373   594     4   225     1   230 0.89 NODE_2_length_840748_cov_42.698360_538 # 558747 # 559439 # -1 # ID=2_538;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_1_length_1652082_cov_46.167482:1357067-1358629|- -            521 1507                 -            615   1.3e-27   93.9   3.7   1   2   1.8e-18     7e-17   58.4   0.7   392   587    25   222    11   236 0.84 NODE_1_length_1652082_cov_46.167482_1338 # 1357067 # 1358629 # -1 # ID=1_1338;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
NODE_1_length_1652082_cov_46.167482:1357067-1358629|- -            521 1507                 -            615   1.3e-27   93.9   3.7   2   2   8.9e-12   3.5e-10   36.3   0.1   390   587   276   483   246   498 0.82 NODE_1_length_1652082_cov_46.167482_1338 # 1357067 # 1358629 # -1 # ID=1_1338;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
NODE_1_length_1652082_cov_46.167482:896486-897529|-   -            348 1507                 -            615   1.6e-27   93.6   0.1   1   1   6.9e-29   2.7e-27   92.9   0.1   389   591    25   229     5   237 0.83 NODE_1_length_1652082_cov_46.167482_892 # 896486 # 897529 # -1 # ID=1_892;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.422
NODE_1_length_1652082_cov_46.167482:1203916-1205091|+ -            392 1507                 -            615   2.8e-27   92.8   0.3   1   1   9.4e-29   3.7e-27   92.4   0.3   373   597     1   225     1   234 0.88 NODE_1_length_1652082_cov_46.167482_1179 # 1203916 # 1205091 # 1 # ID=1_1179;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.415
NODE_1_length_1652082_cov_46.167482:780720-781805|-   -            362 1507                 -            615     4e-27   92.3   0.1   1   2   2.4e-28   9.5e-27   91.0   0.0   374   592     6   220     2   233 0.85 NODE_1_length_1652082_cov_46.167482_783 # 780720 # 781805 # -1 # ID=1_783;partial=00;start_type=GTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.398
NODE_1_length_1652082_cov_46.167482:780720-781805|-   -            362 1507                 -            615     4e-27   92.3   0.1   2   2       4.1   1.6e+02   -2.2   0.0   452   474   292   314   284   326 0.79 NODE_1_length_1652082_cov_46.167482_783 # 780720 # 781805 # -1 # ID=1_783;partial=00;start_type=GTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.398
NODE_1_length_1652082_cov_46.167482:1488229-1489644|+ -            472 1507                 -            615   1.4e-26   90.5   2.2   1   2   8.9e-17   3.5e-15   52.8   0.2   374   589     2   222     1   249 0.83 NODE_1_length_1652082_cov_46.167482_1444 # 1488229 # 1489644 # 1 # ID=1_1444;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NODE_1_length_1652082_cov_46.167482:1488229-1489644|+ -            472 1507                 -            615   1.4e-26   90.5   2.2   2   2   1.8e-11   7.2e-10   35.3   0.1   387   588   266   450   241   464 0.82 NODE_1_length_1652082_cov_46.167482_1444 # 1488229 # 1489644 # 1 # ID=1_1444;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NODE_1_length_1652082_cov_46.167482:833295-834368|-   -            358 1507                 -            615   2.5e-26   89.7   0.1   1   1   8.8e-28   3.5e-26   89.2   0.1   390   594    21   227     1   233 0.84 NODE_1_length_1652082_cov_46.167482_834 # 833295 # 834368 # -1 # ID=1_834;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.383
NODE_1_length_1652082_cov_46.167482:293732-294418|-   -            229 1507                 -            615   1.1e-25   87.5   0.2   1   1   5.3e-27   2.1e-25   86.6   0.2   374   588     2   217     1   224 0.87 NODE_1_length_1652082_cov_46.167482_294 # 293732 # 294418 # -1 # ID=1_294;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.422
NODE_1_length_1652082_cov_46.167482:1450429-1451235|- -            269 1507                 -            615   7.8e-25   84.7   0.5   1   1   2.6e-26     1e-24   84.4   0.5   382   589    17   233     5   243 0.89 NODE_1_length_1652082_cov_46.167482_1413 # 1450429 # 1451235 # -1 # ID=1_1413;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.430
NODE_1_length_1652082_cov_46.167482:287321-288127|-   -            269 1507                 -            615   3.4e-24   82.6   0.1   1   1   1.1e-25   4.2e-24   82.3   0.1   371   571    19   225     3   256 0.80 NODE_1_length_1652082_cov_46.167482_288 # 287321 # 288127 # -1 # ID=1_288;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.400
NODE_1_length_1652082_cov_46.167482:1329162-1330001|- -            280 1507                 -            615   5.7e-24   81.9   0.0   1   1     2e-25   7.7e-24   81.4   0.0   374   597     5   229     1   237 0.83 NODE_1_length_1652082_cov_46.167482_1296 # 1329162 # 1330001 # -1 # ID=1_1296;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.413
NODE_1_length_1652082_cov_46.167482:286547-287305|-   -            253 1507                 -            615   8.8e-24   81.2   0.0   1   1   2.8e-25   1.1e-23   81.0   0.0   383   591    15   230     2   240 0.81 NODE_1_length_1652082_cov_46.167482_287 # 286547 # 287305 # -1 # ID=1_287;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.381
NODE_1_length_1652082_cov_46.167482:516192-517301|+   -            370 1507                 -            615   1.4e-23   80.6   0.3   1   1   5.1e-25     2e-23   80.1   0.3   385   595    16   223     2   230 0.86 NODE_1_length_1652082_cov_46.167482_507 # 516192 # 517301 # 1 # ID=1_507;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.397
NODE_1_length_1652082_cov_46.167482:1040619-1042955|+ -            779 1507                 -            615   3.7e-22   75.9   0.1   1   1   2.3e-23     9e-22   74.6   0.1   392   588    23   220     9   228 0.86 NODE_1_length_1652082_cov_46.167482_1023 # 1040619 # 1042955 # 1 # ID=1_1023;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_1_length_1652082_cov_46.167482:727405-728172|-   -            256 1507                 -            615   3.8e-22   75.8   0.0   1   1   1.3e-23     5e-22   75.5   0.0   390   595    24   235     2   240 0.80 NODE_1_length_1652082_cov_46.167482_733 # 727405 # 728172 # -1 # ID=1_733;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
NODE_2_length_840748_cov_42.698360:347190-347960|-    -            257 1507                 -            615   5.2e-22   75.4   0.2   1   1   1.6e-23   6.4e-22   75.1   0.2   379   589    14   233     6   245 0.88 NODE_2_length_840748_cov_42.698360_333 # 347190 # 347960 # -1 # ID=2_333;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
NODE_1_length_1652082_cov_46.167482:543848-544483|-   -            212 1507                 -            615   8.6e-22   74.7   0.0   1   1   2.6e-23     1e-21   74.4   0.0   375   569     3   194     1   206 0.85 NODE_1_length_1652082_cov_46.167482_530 # 543848 # 544483 # -1 # ID=1_530;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.379
NODE_1_length_1652082_cov_46.167482:1289647-1290402|- -            252 1507                 -            615   5.7e-21   71.9   3.1   1   1   1.7e-22   6.8e-21   71.7   3.1   374   606     2   233     1   238 0.90 NODE_1_length_1652082_cov_46.167482_1263 # 1289647 # 1290402 # -1 # ID=1_1263;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
NODE_1_length_1652082_cov_46.167482:582323-582577|-   -             85 1507                 -            615   1.1e-20   71.0   0.0   1   1   3.2e-22   1.2e-20   70.9   0.0    11    70    17    76     7    81 0.93 NODE_1_length_1652082_cov_46.167482_569 # 582323 # 582577 # -1 # ID=1_569;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.459
NODE_1_length_1652082_cov_46.167482:1328317-1329186|- -            290 1507                 -            615   1.2e-20   70.9   0.0   1   1     4e-22   1.6e-20   70.5   0.0   374   597     3   235     1   240 0.83 NODE_1_length_1652082_cov_46.167482_1295 # 1328317 # 1329186 # -1 # ID=1_1295;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
NODE_4_length_212759_cov_102.864112:103372-104403|+   -            344 1507                 -            615   1.2e-20   70.9   0.1   1   1   6.9e-22   2.7e-20   69.7   0.1   385   597    14   222     4   233 0.81 NODE_4_length_212759_cov_102.864112_107 # 103372 # 104403 # 1 # ID=4_107;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.435
NODE_2_length_840748_cov_42.698360:12458-13264|+      -            269 1507                 -            615   1.3e-20   70.7   0.2   1   1   7.5e-22   2.9e-20   69.6   0.2   378   600     8   232     2   238 0.83 NODE_2_length_840748_cov_42.698360_14 # 12458 # 13264 # 1 # ID=2_14;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.385
NODE_1_length_1652082_cov_46.167482:528218-529171|-   -            318 1507                 -            615   3.5e-20   69.4   0.1   1   1   1.4e-21   5.3e-20   68.8   0.1   382   597    18   241     8   249 0.80 NODE_1_length_1652082_cov_46.167482_518 # 528218 # 529171 # -1 # ID=1_518;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_4_length_212759_cov_102.864112:88505-89161|+     -            219 1507                 -            615   6.6e-20   68.4   1.7   1   1   1.2e-19   4.5e-18   62.4   1.7   375   581     5   202     2   215 0.82 NODE_4_length_212759_cov_102.864112_90 # 88505 # 89161 # 1 # ID=4_90;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.277
NODE_1_length_1652082_cov_46.167482:371375-372043|-   -            223 1507                 -            615   1.1e-19   67.7   0.1   1   1   5.4e-21   2.1e-19   66.8   0.1   374   589     4   221     1   222 0.78 NODE_1_length_1652082_cov_46.167482_373 # 371375 # 372043 # -1 # ID=1_373;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
NODE_1_length_1652082_cov_46.167482:529161-530231|-   -            357 1507                 -            615   1.5e-19   67.2   0.2   1   1   6.1e-21   2.4e-19   66.6   0.2   389   596    23   243     6   249 0.79 NODE_1_length_1652082_cov_46.167482_519 # 529161 # 530231 # -1 # ID=1_519;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.424
NODE_1_length_1652082_cov_46.167482:1031990-1032742|- -            251 1507                 -            615   2.3e-18   63.3   0.1   1   1   9.6e-20   3.7e-18   62.7   0.1   388   589    23   226     2   243 0.79 NODE_1_length_1652082_cov_46.167482_1012 # 1031990 # 1032742 # -1 # ID=1_1012;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.394
NODE_1_length_1652082_cov_46.167482:812152-813057|+   -            302 1507                 -            615   8.2e-18   61.5   0.4   1   1   1.7e-18   6.6e-17   58.5   0.4   387   595    16   215     5   223 0.84 NODE_1_length_1652082_cov_46.167482_816 # 812152 # 813057 # 1 # ID=1_816;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.401
NODE_1_length_1652082_cov_46.167482:1020903-1021604|- -            234 1507                 -            615   8.7e-18   61.4   0.2   1   1   7.9e-19   3.1e-17   59.6   0.2   385   587    17   217     2   229 0.76 NODE_1_length_1652082_cov_46.167482_1003 # 1020903 # 1021604 # -1 # ID=1_1003;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_3_length_245057_cov_46.274867:128206-129789|+    -            528 1507                 -            615   1.9e-17   60.3   1.0   1   4   4.8e-06   0.00019   17.4   0.1   389   432    17    60    12    78 0.87 NODE_3_length_245057_cov_46.274867_150 # 128206 # 129789 # 1 # ID=3_150;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
NODE_3_length_245057_cov_46.274867:128206-129789|+    -            528 1507                 -            615   1.9e-17   60.3   1.0   2   4    0.0046      0.18    7.6   0.0   510   553   158   201   143   240 0.80 NODE_3_length_245057_cov_46.274867_150 # 128206 # 129789 # 1 # ID=3_150;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
NODE_3_length_245057_cov_46.274867:128206-129789|+    -            528 1507                 -            615   1.9e-17   60.3   1.0   3   4     1e-07   3.9e-06   23.0   0.0   379   432   333   385   312   392 0.83 NODE_3_length_245057_cov_46.274867_150 # 128206 # 129789 # 1 # ID=3_150;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
NODE_3_length_245057_cov_46.274867:128206-129789|+    -            528 1507                 -            615   1.9e-17   60.3   1.0   4   4    0.0037      0.14    7.9   0.0   500   552   432   484   424   517 0.83 NODE_3_length_245057_cov_46.274867_150 # 128206 # 129789 # 1 # ID=3_150;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
NODE_2_length_840748_cov_42.698360:316914-317600|+    -            229 1507                 -            615   3.3e-17   59.5   0.0   1   1   1.2e-18   4.6e-17   59.1   0.0   390   591    24   225     6   228 0.81 NODE_2_length_840748_cov_42.698360_307 # 316914 # 317600 # 1 # ID=2_307;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.364
NODE_1_length_1652082_cov_46.167482:414447-416381|+   -            645 1507                 -            615   3.6e-17   59.4   0.0   1   4   7.9e-05    0.0031   13.4   0.0   387   421    16    50     9    67 0.88 NODE_1_length_1652082_cov_46.167482_420 # 414447 # 416381 # 1 # ID=1_420;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.402
NODE_1_length_1652082_cov_46.167482:414447-416381|+   -            645 1507                 -            615   3.6e-17   59.4   0.0   2   4   1.2e-06   4.8e-05   19.4   0.0   506   547   160   201   142   216 0.85 NODE_1_length_1652082_cov_46.167482_420 # 414447 # 416381 # 1 # ID=1_420;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.402
NODE_1_length_1652082_cov_46.167482:414447-416381|+   -            645 1507                 -            615   3.6e-17   59.4   0.0   3   4   2.5e-05   0.00099   15.0   0.0   366   419   319   373   286   383 0.78 NODE_1_length_1652082_cov_46.167482_420 # 414447 # 416381 # 1 # ID=1_420;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.402
NODE_1_length_1652082_cov_46.167482:414447-416381|+   -            645 1507                 -            615   3.6e-17   59.4   0.0   4   4     0.013      0.51    6.1   0.0   511   598   446   533   440   541 0.78 NODE_1_length_1652082_cov_46.167482_420 # 414447 # 416381 # 1 # ID=1_420;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.402
NODE_3_length_245057_cov_46.274867:78369-79301|-      -            311 1507                 -            615   7.3e-17   58.4   0.0   1   1   2.6e-18     1e-16   57.9   0.0   387   595    15   220     4   226 0.88 NODE_3_length_245057_cov_46.274867_107 # 78369 # 79301 # -1 # ID=3_107;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_1_length_1652082_cov_46.167482:409227-409970|-   -            248 1507                 -            615   2.4e-16   56.7   0.0   1   1   1.3e-17   5.2e-16   55.6   0.0   373   597     1   221     1   232 0.84 NODE_1_length_1652082_cov_46.167482_414 # 409227 # 409970 # -1 # ID=1_414;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.366
NODE_1_length_1652082_cov_46.167482:491355-492017|+   -            221 1507                 -            615   1.5e-15   54.1   0.2   1   1   4.7e-17   1.8e-15   53.8   0.2   375   582     3   211     1   217 0.83 NODE_1_length_1652082_cov_46.167482_486 # 491355 # 492017 # 1 # ID=1_486;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.379
NODE_1_length_1652082_cov_46.167482:1305617-1306561|- -            315 1507                 -            615   1.5e-15   54.1   0.6   1   1   8.2e-16   3.2e-14   49.7   0.6   396   596    37   243    21   253 0.78 NODE_1_length_1652082_cov_46.167482_1275 # 1305617 # 1306561 # -1 # ID=1_1275;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.404
NODE_3_length_245057_cov_46.274867:141213-141950|-    -            246 1507                 -            615   3.2e-15   53.0   0.0   1   1   2.6e-16     1e-14   51.3   0.0   376   595     5   220     2   226 0.83 NODE_3_length_245057_cov_46.274867_164 # 141213 # 141950 # -1 # ID=3_164;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.393
NODE_1_length_1652082_cov_46.167482:1306562-1307566|- -            335 1507                 -            615     5e-15   52.3   0.1   1   1     2e-16   7.6e-15   51.7   0.1   389   608    25   259     2   265 0.76 NODE_1_length_1652082_cov_46.167482_1276 # 1306562 # 1307566 # -1 # ID=1_1276;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.426
NODE_1_length_1652082_cov_46.167482:1550785-1551720|+ -            312 1507                 -            615   1.1e-14   51.2   0.3   1   1   1.4e-15   5.5e-14   48.9   0.3   391   600    22   228     5   237 0.82 NODE_1_length_1652082_cov_46.167482_1499 # 1550785 # 1551720 # 1 # ID=1_1499;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.409
