#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_3_length_245057_cov_46.274867:142515-142859|+    -            115 14868                -            115   7.3e-52  171.9   0.4   1   1   2.3e-54   7.9e-52  171.8   0.4     1   112     1   112     1   114 0.98 NODE_3_length_245057_cov_46.274867_166 # 142515 # 142859 # 1 # ID=3_166;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_1_length_1652082_cov_46.167482:449850-451571|-   -            574 14868                -            115      0.51    8.0  30.4   1   6    0.0018      0.63    7.8   4.0    27   110   106   188   102   193 0.88 NODE_1_length_1652082_cov_46.167482_449 # 449850 # 451571 # -1 # ID=1_449;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_1_length_1652082_cov_46.167482:449850-451571|-   -            574 14868                -            115      0.51    8.0  30.4   2   6     0.034        12    3.7   0.5    38   112   203   278   198   282 0.84 NODE_1_length_1652082_cov_46.167482_449 # 449850 # 451571 # -1 # ID=1_449;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_1_length_1652082_cov_46.167482:449850-451571|-   -            574 14868                -            115      0.51    8.0  30.4   3   6      0.69   2.4e+02   -0.5   0.2    40    72   289   324   277   334 0.42 NODE_1_length_1652082_cov_46.167482_449 # 449850 # 451571 # -1 # ID=1_449;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_1_length_1652082_cov_46.167482:449850-451571|-   -            574 14868                -            115      0.51    8.0  30.4   4   6      0.24        83    0.9   0.9    30    96   314   375   306   383 0.50 NODE_1_length_1652082_cov_46.167482_449 # 449850 # 451571 # -1 # ID=1_449;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_1_length_1652082_cov_46.167482:449850-451571|-   -            574 14868                -            115      0.51    8.0  30.4   5   6   0.00035      0.12   10.1   0.9    30   111   401   479   391   482 0.89 NODE_1_length_1652082_cov_46.167482_449 # 449850 # 451571 # -1 # ID=1_449;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_1_length_1652082_cov_46.167482:449850-451571|-   -            574 14868                -            115      0.51    8.0  30.4   6   6      0.33   1.1e+02    0.5   0.0    45    72   505   532   488   569 0.52 NODE_1_length_1652082_cov_46.167482_449 # 449850 # 451571 # -1 # ID=1_449;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_1_length_1652082_cov_46.167482:1083558-1084415|- -            286 14868                -            115      0.67    7.7  14.4   1   3    0.0051       1.8    6.3   3.8    34    93    82   137    76   151 0.74 NODE_1_length_1652082_cov_46.167482_1061 # 1083558 # 1084415 # -1 # ID=1_1061;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.400
NODE_1_length_1652082_cov_46.167482:1083558-1084415|- -            286 14868                -            115      0.67    7.7  14.4   2   3    0.0075       2.6    5.8   1.4    29    71   141   184   130   196 0.65 NODE_1_length_1652082_cov_46.167482_1061 # 1083558 # 1084415 # -1 # ID=1_1061;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.400
NODE_1_length_1652082_cov_46.167482:1083558-1084415|- -            286 14868                -            115      0.67    7.7  14.4   3   3      0.13        44    1.8   0.2    34    68   189   223   185   263 0.79 NODE_1_length_1652082_cov_46.167482_1061 # 1083558 # 1084415 # -1 # ID=1_1061;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.400
NODE_13_length_387_cov_37.397590:101-385|-            -             95 14868                -            115      0.74    7.5  10.8   1   1    0.0031         1    7.1  10.8    29   105    15    91     5    93 0.62 NODE_13_length_387_cov_37.397590_2 # 101 # 385 # -1 # ID=13_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.309
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/14868at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_nanopore_illumina_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_nanopore_illumina_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/14868at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/14868at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_nanopore_illumina_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:12:58 2026
# [ok]
