#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2_length_840748_cov_42.698360:718069-719574|-    -            502 21416                -            488    2e-290  961.0  13.1   1   1  8.5e-293  2.4e-290  960.8  13.1     2   487     7   495     6   496 0.99 NODE_2_length_840748_cov_42.698360_683 # 718069 # 719574 # -1 # ID=2_683;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.365
NODE_1_length_1652082_cov_46.167482:1547451-1548347|+ -            299 21416                -            488   2.1e-14   50.6   2.4   1   1   8.8e-17   2.5e-14   50.4   2.4   262   485    74   293     2   296 0.71 NODE_1_length_1652082_cov_46.167482_1496 # 1547451 # 1548347 # 1 # ID=1_1496;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.398
NODE_2_length_840748_cov_42.698360:539935-540720|+    -            262 21416                -            488    0.0027   14.0   1.0   1   2      0.75   2.1e+02   -2.1   0.1   305   349    50    94    29   109 0.62 NODE_2_length_840748_cov_42.698360_516 # 539935 # 540720 # 1 # ID=2_516;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.372
NODE_2_length_840748_cov_42.698360:539935-540720|+    -            262 21416                -            488    0.0027   14.0   1.0   2   2   1.2e-05    0.0032   13.8   0.1   384   486   144   246   119   248 0.81 NODE_2_length_840748_cov_42.698360_516 # 539935 # 540720 # 1 # ID=2_516;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.372
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/21416at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_nanopore_illumina_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_nanopore_illumina_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/21416at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/21416at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/spades_scaffolds_nanopore_illumina_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:13:26 2026
# [ok]
