#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_1652082_cov_46.167482:1357067-1358629|- -            521 18543                -            520         0 1065.2  18.8   1   1         0         0 1065.1  18.8     1   518     1   518     1   520 0.99 NODE_1_length_1652082_cov_46.167482_1338 # 1357067 # 1358629 # -1 # ID=1_1338;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
NODE_1_length_1652082_cov_46.167482:1203916-1205091|+ -            392 18543                -            520   1.8e-30  103.4   3.1   2   2       2.4        96   -1.3   0.1    93   144   279   331   248   338 0.71 NODE_1_length_1652082_cov_46.167482_1179 # 1203916 # 1205091 # 1 # ID=1_1179;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.415
NODE_1_length_1652082_cov_46.167482:409227-409970|-   -            248 18543                -            520   3.4e-30  102.5   0.0   1   1   1.1e-31   4.4e-30  102.1   0.0     8   227     2   216     1   225 0.89 NODE_1_length_1652082_cov_46.167482_414 # 409227 # 409970 # -1 # ID=1_414;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.366
NODE_3_length_245057_cov_46.274867:78369-79301|-      -            311 18543                -            520     1e-28   97.6   0.5   1   1   3.3e-30   1.3e-28   97.2   0.5     7   224     2   214     1   236 0.94 NODE_3_length_245057_cov_46.274867_107 # 78369 # 79301 # -1 # ID=3_107;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_1_length_1652082_cov_46.167482:1550785-1551720|+ -            312 18543                -            520   1.3e-28   97.2   0.1   1   1   4.2e-30   1.7e-28   96.9   0.1     7   233     4   226     1   235 0.91 NODE_1_length_1652082_cov_46.167482_1499 # 1550785 # 1551720 # 1 # ID=1_1499;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.409
NODE_1_length_1652082_cov_46.167482:1031990-1032742|- -            251 18543                -            520   4.1e-28   95.6   0.2   1   1   1.2e-29   4.7e-28   95.4   0.2     5   202     2   205     1   231 0.87 NODE_1_length_1652082_cov_46.167482_1012 # 1031990 # 1032742 # -1 # ID=1_1012;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.394
NODE_1_length_1652082_cov_46.167482:727405-728172|-   -            256 18543                -            520   6.2e-28   95.0   0.2   1   1   1.8e-29   7.2e-28   94.8   0.2     6   219     3   220     1   236 0.85 NODE_1_length_1652082_cov_46.167482_733 # 727405 # 728172 # -1 # ID=1_733;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
NODE_1_length_1652082_cov_46.167482:1545085-1546002|+ -            306 18543                -            520   1.3e-27   93.9   1.3   1   1   1.2e-28   4.6e-27   92.1   1.2     5   229     6   219     3   231 0.91 NODE_1_length_1652082_cov_46.167482_1493 # 1545085 # 1546002 # 1 # ID=1_1493;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.417
NODE_1_length_1652082_cov_46.167482:1488229-1489644|+ -            472 18543                -            520     8e-27   91.4   4.7   1   2   9.2e-15   3.7e-13   46.3   0.2    22   226    18   223     1   236 0.79 NODE_1_length_1652082_cov_46.167482_1444 # 1488229 # 1489644 # 1 # ID=1_1444;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NODE_1_length_1652082_cov_46.167482:1488229-1489644|+ -            472 18543                -            520     8e-27   91.4   4.7   2   2   9.8e-15   3.9e-13   46.2   0.9    24   220   270   447   259   464 0.84 NODE_1_length_1652082_cov_46.167482_1444 # 1488229 # 1489644 # 1 # ID=1_1444;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NODE_2_length_840748_cov_42.698360:316914-317600|+    -            229 18543                -            520   2.4e-26   89.8   0.1   1   1   7.2e-28   2.9e-26   89.5   0.1     6   207     3   207     1   220 0.87 NODE_2_length_840748_cov_42.698360_307 # 316914 # 317600 # 1 # ID=2_307;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.364
NODE_1_length_1652082_cov_46.167482:1020903-1021604|- -            234 18543                -            520   4.6e-26   88.8   0.1   1   1   2.1e-27   8.3e-26   88.0   0.1    18   229    18   223     2   229 0.84 NODE_1_length_1652082_cov_46.167482_1003 # 1020903 # 1021604 # -1 # ID=1_1003;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_1_length_1652082_cov_46.167482:543848-544483|-   -            212 18543                -            520   4.9e-26   88.8   0.1   1   1   1.4e-27   5.6e-26   88.6   0.1     8   212     2   203     1   208 0.91 NODE_1_length_1652082_cov_46.167482_530 # 543848 # 544483 # -1 # ID=1_530;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.379
NODE_3_length_245057_cov_46.274867:60491-62023|+      -            511 18543                -            520   9.2e-26   87.9   3.7   1   4   2.1e-11   8.1e-10   35.2   0.2     7    67     3    63     1    68 0.93 NODE_3_length_245057_cov_46.274867_87 # 60491 # 62023 # 1 # ID=3_87;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_3_length_245057_cov_46.274867:60491-62023|+      -            511 18543                -            520   9.2e-26   87.9   3.7   2   4   1.4e-07   5.6e-06   22.6   0.0   403   483   158   235   131   251 0.78 NODE_3_length_245057_cov_46.274867_87 # 60491 # 62023 # 1 # ID=3_87;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_3_length_245057_cov_46.274867:60491-62023|+      -            511 18543                -            520   9.2e-26   87.9   3.7   3   4   1.1e-06   4.5e-05   19.6   0.0    26    66   339   379   336   391 0.90 NODE_3_length_245057_cov_46.274867_87 # 60491 # 62023 # 1 # ID=3_87;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_3_length_245057_cov_46.274867:60491-62023|+      -            511 18543                -            520   9.2e-26   87.9   3.7   4   4    0.0024     0.097    8.6   0.0   400   443   433   476   403   507 0.78 NODE_3_length_245057_cov_46.274867_87 # 60491 # 62023 # 1 # ID=3_87;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_2_length_840748_cov_42.698360:347190-347960|-    -            257 18543                -            520   3.5e-25   86.0   0.2   1   1   1.1e-26   4.3e-25   85.6   0.2    24   234    26   243    14   250 0.87 NODE_2_length_840748_cov_42.698360_333 # 347190 # 347960 # -1 # ID=2_333;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
NODE_4_length_212759_cov_102.864112:103372-104403|+   -            344 18543                -            520   1.1e-24   84.3   0.1   1   1     4e-26   1.6e-24   83.8   0.1    27   226    22   216     3   234 0.88 NODE_4_length_212759_cov_102.864112_107 # 103372 # 104403 # 1 # ID=4_107;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.435
NODE_3_length_245057_cov_46.274867:128206-129789|+    -            528 18543                -            520   1.8e-24   83.6   3.0   1   3   1.4e-14   5.5e-13   45.7   0.8   264   472     5   223     1   238 0.74 NODE_3_length_245057_cov_46.274867_150 # 128206 # 129789 # 1 # ID=3_150;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
NODE_3_length_245057_cov_46.274867:128206-129789|+    -            528 18543                -            520   1.8e-24   83.6   3.0   2   3   1.1e-06   4.5e-05   19.6   0.0     7    66   327   386   322   396 0.86 NODE_3_length_245057_cov_46.274867_150 # 128206 # 129789 # 1 # ID=3_150;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
NODE_3_length_245057_cov_46.274867:128206-129789|+    -            528 18543                -            520   1.8e-24   83.6   3.0   3   3   1.2e-05   0.00046   16.3   0.0   132   184   431   486   415   498 0.79 NODE_3_length_245057_cov_46.274867_150 # 128206 # 129789 # 1 # ID=3_150;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
NODE_3_length_245057_cov_46.274867:141213-141950|-    -            246 18543                -            520   3.1e-24   82.8   0.1   1   1   9.3e-26   3.7e-24   82.6   0.1    10   220     5   210     1   220 0.93 NODE_3_length_245057_cov_46.274867_164 # 141213 # 141950 # -1 # ID=3_164;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.393
NODE_1_length_1652082_cov_46.167482:1040619-1042955|+ -            779 18543                -            520   4.6e-24   82.3   0.2   1   2   9.3e-25   3.7e-23   79.3   0.3    18   220    16   217     1   223 0.82 NODE_1_length_1652082_cov_46.167482_1023 # 1040619 # 1042955 # 1 # ID=1_1023;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_1_length_1652082_cov_46.167482:1040619-1042955|+ -            779 18543                -            520   4.6e-24   82.3   0.2   2   2      0.73        29    0.4   0.0   254   312   442   496   432   527 0.76 NODE_1_length_1652082_cov_46.167482_1023 # 1040619 # 1042955 # 1 # ID=1_1023;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_1_length_1652082_cov_46.167482:361165-362064|-   -            300 18543                -            520   5.9e-24   81.9   0.4   1   1   3.1e-25   1.2e-23   80.8   0.4     8   231     2   217     1   256 0.91 NODE_1_length_1652082_cov_46.167482_364 # 361165 # 362064 # -1 # ID=1_364;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_1_length_1652082_cov_46.167482:371375-372043|-   -            223 18543                -            520   1.1e-23   81.1   0.3   1   1   3.1e-25   1.2e-23   80.8   0.3     7   208     3   206     1   217 0.87 NODE_1_length_1652082_cov_46.167482_373 # 371375 # 372043 # -1 # ID=1_373;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
NODE_4_length_212759_cov_102.864112:88505-89161|+     -            219 18543                -            520   1.3e-23   80.8   2.7   1   1   3.1e-24   1.2e-22   77.5   2.7     7   226     3   211     1   217 0.85 NODE_4_length_212759_cov_102.864112_90 # 88505 # 89161 # 1 # ID=4_90;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.277
NODE_1_length_1652082_cov_46.167482:1386587-1388209|+ -            541 18543                -            520   1.4e-23   80.7   0.2   1   4   3.4e-12   1.3e-10   37.8   0.0     8    67     2    61     1   114 0.91 NODE_1_length_1652082_cov_46.167482_1366 # 1386587 # 1388209 # 1 # ID=1_1366;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_1_length_1652082_cov_46.167482:1386587-1388209|+ -            541 18543                -            520   1.4e-23   80.7   0.2   2   4   8.7e-08   3.4e-06   23.3   0.0   402   483   153   231   126   266 0.86 NODE_1_length_1652082_cov_46.167482_1366 # 1386587 # 1388209 # 1 # ID=1_1366;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_1_length_1652082_cov_46.167482:1386587-1388209|+ -            541 18543                -            520   1.4e-23   80.7   0.2   3   4     0.092       3.6    3.4   0.0     9    64   321   376   315   386 0.88 NODE_1_length_1652082_cov_46.167482_1366 # 1386587 # 1388209 # 1 # ID=1_1366;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_1_length_1652082_cov_46.167482:1386587-1388209|+ -            541 18543                -            520   1.4e-23   80.7   0.2   4   4   0.00047     0.019   10.9   0.0   143   218   439   511   418   529 0.57 NODE_1_length_1652082_cov_46.167482_1366 # 1386587 # 1388209 # 1 # ID=1_1366;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_1_length_1652082_cov_46.167482:1306562-1307566|- -            335 18543                -            520   6.5e-23   78.4   0.3   1   1     2e-24   7.7e-23   78.2   0.3    19   230    22   244     1   248 0.78 NODE_1_length_1652082_cov_46.167482_1276 # 1306562 # 1307566 # -1 # ID=1_1276;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.426
NODE_1_length_1652082_cov_46.167482:1328317-1329186|- -            290 18543                -            520   9.1e-23   78.0   0.0   1   1   3.1e-24   1.2e-22   77.5   0.0    22   229    22   232    14   239 0.83 NODE_1_length_1652082_cov_46.167482_1295 # 1328317 # 1329186 # -1 # ID=1_1295;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
NODE_3_length_245057_cov_46.274867:179565-181319|+    -            585 18543                -            520   9.3e-23   77.9   0.3   1   1   3.5e-24   1.4e-22   77.4   0.3    24   224   367   565   363   575 0.87 NODE_3_length_245057_cov_46.274867_191 # 179565 # 181319 # 1 # ID=3_191;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.394
NODE_1_length_1652082_cov_46.167482:780720-781805|-   -            362 18543                -            520   1.6e-22   77.1   0.1   1   1   6.2e-24   2.5e-22   76.6   0.1     7   224     5   217     2   243 0.88 NODE_1_length_1652082_cov_46.167482_783 # 780720 # 781805 # -1 # ID=1_783;partial=00;start_type=GTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.398
NODE_1_length_1652082_cov_46.167482:812152-813057|+   -            302 18543                -            520   1.5e-21   73.9   1.9   1   1     2e-22     8e-21   71.6   1.9     9   233     5   217     2   240 0.86 NODE_1_length_1652082_cov_46.167482_816 # 812152 # 813057 # 1 # ID=1_816;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.401
NODE_1_length_1652082_cov_46.167482:293732-294418|-   -            229 18543                -            520   1.7e-21   73.8   1.6   1   1   7.2e-23   2.9e-21   73.0   1.6     8   222     2   216     1   221 0.90 NODE_1_length_1652082_cov_46.167482_294 # 293732 # 294418 # -1 # ID=1_294;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.422
NODE_1_length_1652082_cov_46.167482:1289647-1290402|- -            252 18543                -            520   2.1e-21   73.5   4.0   1   1   6.2e-23   2.5e-21   73.3   4.0     8   229     2   222     1   237 0.90 NODE_1_length_1652082_cov_46.167482_1263 # 1289647 # 1290402 # -1 # ID=1_1263;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
NODE_1_length_1652082_cov_46.167482:414447-416381|+   -            645 18543                -            520   2.3e-21   73.3   0.5   1   4   3.6e-10   1.4e-08   31.1   0.2     8    67     4    63     1    68 0.92 NODE_1_length_1652082_cov_46.167482_420 # 414447 # 416381 # 1 # ID=1_420;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.402
NODE_1_length_1652082_cov_46.167482:414447-416381|+   -            645 18543                -            520   2.3e-21   73.3   0.5   2   4   3.6e-05    0.0014   14.6   0.0   402   461   162   218   138   238 0.79 NODE_1_length_1652082_cov_46.167482_420 # 414447 # 416381 # 1 # ID=1_420;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.402
NODE_1_length_1652082_cov_46.167482:414447-416381|+   -            645 18543                -            520   2.3e-21   73.3   0.5   3   4   2.9e-05    0.0011   15.0   0.0     6    51   327   372   323   388 0.85 NODE_1_length_1652082_cov_46.167482_420 # 414447 # 416381 # 1 # ID=1_420;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.402
NODE_1_length_1652082_cov_46.167482:414447-416381|+   -            645 18543                -            520   2.3e-21   73.3   0.5   4   4    0.0051       0.2    7.5   0.0   401   461   442   499   432   552 0.81 NODE_1_length_1652082_cov_46.167482_420 # 414447 # 416381 # 1 # ID=1_420;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.402
NODE_1_length_1652082_cov_46.167482:1492079-1493821|+ -            581 18543                -            520     4e-21   72.5   0.2   1   1   1.5e-22   5.7e-21   72.0   0.2     6   224   328   545   325   555 0.86 NODE_1_length_1652082_cov_46.167482_1447 # 1492079 # 1493821 # 1 # ID=1_1447;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.336
NODE_1_length_1652082_cov_46.167482:970224-970970|-   -            249 18543                -            520   8.2e-21   71.5   0.2   1   1   2.4e-22   9.4e-21   71.3   0.2     8   230     6   224     1   241 0.85 NODE_1_length_1652082_cov_46.167482_960 # 970224 # 970970 # -1 # ID=1_960;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_1_length_1652082_cov_46.167482:491355-492017|+   -            221 18543                -            520   5.9e-20   68.7   0.3   1   1   1.8e-21   7.2e-20   68.4   0.3    24   208    20   203    15   218 0.89 NODE_1_length_1652082_cov_46.167482_486 # 491355 # 492017 # 1 # ID=1_486;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.379
NODE_1_length_1652082_cov_46.167482:1329162-1330001|- -            280 18543                -            520   6.8e-20   68.5   0.1   1   1     2e-21     8e-20   68.3   0.1    22   231    22   228     2   267 0.80 NODE_1_length_1652082_cov_46.167482_1296 # 1329162 # 1330001 # -1 # ID=1_1296;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.413
NODE_2_length_840748_cov_42.698360:598224-600110|-    -            629 18543                -            520   9.1e-20   68.1   0.2   1   4   4.3e-05    0.0017   14.4   0.1    10    57     7    54     3   117 0.83 NODE_2_length_840748_cov_42.698360_577 # 598224 # 600110 # -1 # ID=2_577;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_2_length_840748_cov_42.698360:598224-600110|-    -            629 18543                -            520   9.1e-20   68.1   0.2   2   4   1.1e-06   4.4e-05   19.6   0.0   384   474   143   228   114   240 0.74 NODE_2_length_840748_cov_42.698360_577 # 598224 # 600110 # -1 # ID=2_577;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_2_length_840748_cov_42.698360:598224-600110|-    -            629 18543                -            520   9.1e-20   68.1   0.2   3   4     1e-06   3.9e-05   19.8   0.1    12    80   327   394   317   398 0.77 NODE_2_length_840748_cov_42.698360_577 # 598224 # 600110 # -1 # ID=2_577;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_2_length_840748_cov_42.698360:598224-600110|-    -            629 18543                -            520   9.1e-20   68.1   0.2   4   4    0.0018     0.071    9.0   0.0   141   216   442   514   434   532 0.78 NODE_2_length_840748_cov_42.698360_577 # 598224 # 600110 # -1 # ID=2_577;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_1_length_1652082_cov_46.167482:1604957-1605637|+ -            227 18543                -            520   1.4e-19   67.5   0.0   1   1   4.1e-21   1.6e-19   67.3   0.0     8   214     4   209     1   218 0.86 NODE_1_length_1652082_cov_46.167482_1554 # 1604957 # 1605637 # 1 # ID=1_1554;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.404
NODE_1_length_1652082_cov_46.167482:1450429-1451235|- -            269 18543                -            520   1.4e-19   67.4   1.1   1   1   4.1e-21   1.6e-19   67.3   1.1    11   235     8   242     1   265 0.81 NODE_1_length_1652082_cov_46.167482_1413 # 1450429 # 1451235 # -1 # ID=1_1413;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.430
NODE_2_length_840748_cov_42.698360:822604-823824|-    -            407 18543                -            520   1.8e-19   67.1   1.3   1   2   1.3e-13   5.1e-12   42.5   0.2    19    70    39    90    28    98 0.91 NODE_2_length_840748_cov_42.698360_779 # 822604 # 823824 # -1 # ID=2_779;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.364
NODE_2_length_840748_cov_42.698360:822604-823824|-    -            407 18543                -            520   1.8e-19   67.1   1.3   2   2   7.3e-08   2.9e-06   23.5   0.1   378   494   122   237   104   260 0.80 NODE_2_length_840748_cov_42.698360_779 # 822604 # 823824 # -1 # ID=2_779;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.364
NODE_1_length_1652082_cov_46.167482:529161-530231|-   -            357 18543                -            520   4.5e-19   65.8   2.5   1   1   1.6e-20   6.3e-19   65.3   2.5     9   224     6   236     2   244 0.78 NODE_1_length_1652082_cov_46.167482_519 # 529161 # 530231 # -1 # ID=1_519;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.424
NODE_1_length_1652082_cov_46.167482:528218-529171|-   -            318 18543                -            520   1.3e-18   64.3   0.3   1   2   8.3e-20   3.3e-18   62.9   0.2    19   222    22   231     3   242 0.83 NODE_1_length_1652082_cov_46.167482_518 # 528218 # 529171 # -1 # ID=1_518;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_1_length_1652082_cov_46.167482:528218-529171|-   -            318 18543                -            520   1.3e-18   64.3   0.3   2   2       4.1   1.6e+02   -2.0   0.0   392   430   279   317   276   317 0.91 NODE_1_length_1652082_cov_46.167482_518 # 528218 # 529171 # -1 # ID=1_518;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_1_length_1652082_cov_46.167482:869105-869743|-   -            213 18543                -            520   1.3e-18   64.3   0.1   1   1   3.9e-20   1.6e-18   64.0   0.1    31   202    28   199    16   209 0.88 NODE_1_length_1652082_cov_46.167482_869 # 869105 # 869743 # -1 # ID=1_869;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.355
