#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:637568-638668|-   -            367 19956                -            366  1.2e-235  778.5   6.6   1   1  3.4e-238  1.3e-235  778.3   6.6     1   366     1   366     1   366 1.00 tig00000001_582 # 637568 # 638668 # -1 # ID=1_582;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.407
tig00000001:51058-52167|-     -            370 19956                -            366     0.007   12.6   0.1   1   2      0.56   2.2e+02   -2.2   0.0   199   251   100   155    68   160 0.68 tig00000001_39 # 51058 # 52167 # -1 # ID=1_39;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.402
tig00000001:51058-52167|-     -            370 19956                -            366     0.007   12.6   0.1   2   2   4.6e-05     0.018   11.3   0.0     7    28   169   190   165   210 0.81 tig00000001_39 # 51058 # 52167 # -1 # ID=1_39;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.402
tig00000001:1814927-1815826|+ -            300 19956                -            366    0.0073   12.6   0.1   1   2     5e-05      0.02   11.1   0.1     6    24    10    28     6    69 0.79 tig00000001_1741 # 1814927 # 1815826 # 1 # ID=1_1741;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.408
tig00000001:1814927-1815826|+ -            300 19956                -            366    0.0073   12.6   0.1   2   2      0.28   1.1e+02   -1.2   0.0    60   105    47    94    27   120 0.77 tig00000001_1741 # 1814927 # 1815826 # 1 # ID=1_1741;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.408
tig00000001:2649778-2650638|- -            287 19956                -            366    0.0095   12.2   0.0   1   1   3.7e-05     0.015   11.6   0.0     2    33   120   152   119   158 0.78 tig00000001_2568 # 2649778 # 2650638 # -1 # ID=1_2568;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.418
tig00000001:198641-200773|-   -            711 19956                -            366     0.017   11.3   0.0   1   1   6.4e-05     0.025   10.8   0.0     6    54     4    53     1    65 0.83 tig00000001_218 # 198641 # 200773 # -1 # ID=1_218;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.410
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/19956at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/run_enterococcaceae_odb12/hmmer_output/19956at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/19956at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 22 11:38:39 2026
# [ok]
