#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:2171536-2172297|+ -            254 18070                -            413  6.4e-149  493.6   5.3   1   1  1.7e-151  7.5e-149  493.3   5.3   163   412     1   250     1   251 0.99 tig00000001_2101 # 2171536 # 2172297 # 1 # ID=1_2101;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.399
tig00000001:1253945-1254418|+ -            158 18070                -            413     0.015   11.4   0.2   1   2    0.0039       1.8    4.6   0.0   111   141    25    55    10    66 0.84 tig00000001_1179 # 1253945 # 1254418 # 1 # ID=1_1179;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.401
tig00000001:1253945-1254418|+ -            158 18070                -            413     0.015   11.4   0.2   2   2    0.0028       1.3    5.1   0.0   310   354   110   154   100   156 0.83 tig00000001_1179 # 1253945 # 1254418 # 1 # ID=1_1179;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.401
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/18070at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/run_enterococcaceae_odb12/hmmer_output/18070at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/18070at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Mon Apr 20 03:14:07 2026
# [ok]
