#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_9_length_122393_cov_64.141746:67121-67981|+   -            287 20420                -            282  5.4e-169  558.0   0.4   1   1  1.8e-171  6.1e-169  557.8   0.4     1   281     1   281     1   282 1.00 NODE_9_length_122393_cov_64.141746_63 # 67121 # 67981 # 1 # ID=9_63;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.418
NODE_4_length_193524_cov_77.069373:140923-143055|+ -            711 20420                -            282    0.0021   14.7   0.1   1   3   6.2e-06    0.0021   14.7   0.1   125   176     5    57     1    75 0.83 NODE_4_length_193524_cov_77.069373_121 # 140923 # 143055 # 1 # ID=4_121;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.409
NODE_4_length_193524_cov_77.069373:140923-143055|+ -            711 20420                -            282    0.0021   14.7   0.1   2   3      0.31   1.1e+02   -0.8   0.0    45   105    98   160    77   164 0.70 NODE_4_length_193524_cov_77.069373_121 # 140923 # 143055 # 1 # ID=4_121;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.409
NODE_4_length_193524_cov_77.069373:140923-143055|+ -            711 20420                -            282    0.0021   14.7   0.1   3   3      0.73   2.5e+02   -2.0   0.1    66   106   190   234   182   239 0.61 NODE_4_length_193524_cov_77.069373_121 # 140923 # 143055 # 1 # ID=4_121;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.409
NODE_18_length_58283_cov_66.770060:39763-40992|-   -            410 20420                -            282     0.013   12.1   4.1   1   3       2.2   7.6e+02   -3.6   0.0   215   247    17    45    11    52 0.67 NODE_18_length_58283_cov_66.770060_44 # 39763 # 40992 # -1 # ID=18_44;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.415
NODE_18_length_58283_cov_66.770060:39763-40992|-   -            410 20420                -            282     0.013   12.1   4.1   2   3   0.00019     0.064    9.8   0.1    93   141   163   214   153   222 0.70 NODE_18_length_58283_cov_66.770060_44 # 39763 # 40992 # -1 # ID=18_44;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.415
NODE_18_length_58283_cov_66.770060:39763-40992|-   -            410 20420                -            282     0.013   12.1   4.1   3   3     0.024       8.3    2.9   0.4     3   104   252   352   250   361 0.67 NODE_18_length_58283_cov_66.770060_44 # 39763 # 40992 # -1 # ID=18_44;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.415
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/20420at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/spades_scaffolds_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/spades_scaffolds_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/20420at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/20420at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/spades_scaffolds_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 22 11:35:21 2026
# [ok]
