#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_5_length_185063_cov_65.589034:135276-135704|+  -            143 19279                -            138   1.5e-80  265.4  10.2   1   1   8.4e-83   1.7e-80  265.2  10.2     2   138     3   142     2   142 0.97 NODE_5_length_185063_cov_65.589034_128 # 135276 # 135704 # 1 # ID=5_128;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.357
NODE_20_length_42062_cov_371.455566:3949-4629|+     -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00063      0.13    9.7   0.3    36    69    23    57     3    92 0.85 NODE_20_length_42062_cov_371.455566_5 # 3949 # 4629 # 1 # ID=20_5;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_20_length_42062_cov_371.455566:3949-4629|+     -            227 19279                -            138     0.028   11.9   1.9   2   2      0.21        42    1.6   0.1     4    33   136   167   133   212 0.72 NODE_20_length_42062_cov_371.455566_5 # 3949 # 4629 # 1 # ID=20_5;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_20_length_42062_cov_371.455566:9662-10342|-    -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00063      0.13    9.7   0.3    36    69    23    57     3    92 0.85 NODE_20_length_42062_cov_371.455566_11 # 9662 # 10342 # -1 # ID=20_11;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_20_length_42062_cov_371.455566:9662-10342|-    -            227 19279                -            138     0.028   11.9   1.9   2   2      0.21        42    1.6   0.1     4    33   136   167   133   212 0.72 NODE_20_length_42062_cov_371.455566_11 # 9662 # 10342 # -1 # ID=20_11;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_37_length_7922_cov_232.961592:3914-4594|+      -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00063      0.13    9.7   0.3    36    69    23    57     3    92 0.85 NODE_37_length_7922_cov_232.961592_8 # 3914 # 4594 # 1 # ID=37_8;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_37_length_7922_cov_232.961592:3914-4594|+      -            227 19279                -            138     0.028   11.9   1.9   2   2      0.21        42    1.6   0.1     4    33   136   167   133   212 0.72 NODE_37_length_7922_cov_232.961592_8 # 3914 # 4594 # 1 # ID=37_8;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_3_length_223274_cov_181.317177:68291-68971|+   -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00063      0.13    9.7   0.3    36    69    23    57     3    92 0.85 NODE_3_length_223274_cov_181.317177_65 # 68291 # 68971 # 1 # ID=3_65;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_3_length_223274_cov_181.317177:68291-68971|+   -            227 19279                -            138     0.028   11.9   1.9   2   2      0.21        42    1.6   0.1     4    33   136   167   133   212 0.72 NODE_3_length_223274_cov_181.317177_65 # 68291 # 68971 # 1 # ID=3_65;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_3_length_223274_cov_181.317177:75329-76009|+   -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00063      0.13    9.7   0.3    36    69    23    57     3    92 0.85 NODE_3_length_223274_cov_181.317177_73 # 75329 # 76009 # 1 # ID=3_73;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_3_length_223274_cov_181.317177:75329-76009|+   -            227 19279                -            138     0.028   11.9   1.9   2   2      0.21        42    1.6   0.1     4    33   136   167   133   212 0.72 NODE_3_length_223274_cov_181.317177_73 # 75329 # 76009 # 1 # ID=3_73;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_3_length_223274_cov_181.317177:95182-95862|-   -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00063      0.13    9.7   0.3    36    69    23    57     3    92 0.85 NODE_3_length_223274_cov_181.317177_94 # 95182 # 95862 # -1 # ID=3_94;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_3_length_223274_cov_181.317177:95182-95862|-   -            227 19279                -            138     0.028   11.9   1.9   2   2      0.21        42    1.6   0.1     4    33   136   167   133   212 0.72 NODE_3_length_223274_cov_181.317177_94 # 95182 # 95862 # -1 # ID=3_94;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19279at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/spades_scaffolds_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/spades_scaffolds_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/19279at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19279at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/spades_scaffolds_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Mon Apr 20 03:10:59 2026
# [ok]
