#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_6_length_183174_cov_88.861183:60517-62022|-   -            502 21416                -            488    2e-290  961.0  13.1   1   1  9.3e-293  2.4e-290  960.8  13.1     2   487     7   495     6   496 0.99 NODE_6_length_183174_cov_88.861183_56 # 60517 # 62022 # -1 # ID=6_56;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.365
NODE_31_length_17573_cov_156.005131:1616-2824|-    -            403 21416                -            488   1.9e-24   83.8   1.3   1   1   1.1e-26   2.7e-24   83.3   1.3   260   487   158   385   135   386 0.85 NODE_31_length_17573_cov_156.005131_2 # 1616 # 2824 # -1 # ID=31_2;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.390
NODE_20_length_42062_cov_371.455566:37852-38994|+  -            381 21416                -            488     3e-21   73.2   6.0   1   1   1.7e-23   4.3e-21   72.7   6.0   180   486    66   369    50   371 0.82 NODE_20_length_42062_cov_371.455566_47 # 37852 # 38994 # 1 # ID=20_47;partial=00;start_type=TTG;rbs_motif=GGxGG;rbs_spacer=11-12bp;gc_cont=0.415
NODE_20_length_42062_cov_371.455566:5429-6571|+    -            381 21416                -            488     3e-21   73.2   6.0   1   1   1.7e-23   4.3e-21   72.7   6.0   180   486    66   369    50   371 0.82 NODE_20_length_42062_cov_371.455566_7 # 5429 # 6571 # 1 # ID=20_7;partial=00;start_type=TTG;rbs_motif=GGxGG;rbs_spacer=11-12bp;gc_cont=0.415
NODE_25_length_31036_cov_54.889785:10511-11536|-   -            342 21416                -            488     3e-16   56.7   0.4   1   1   2.4e-18   6.2e-16   55.7   0.3   386   487   232   333    98   334 0.86 NODE_25_length_31036_cov_54.889785_10 # 10511 # 11536 # -1 # ID=25_10;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_13_length_81038_cov_67.502957:43955-44851|-   -            299 21416                -            488   2.1e-14   50.6   2.4   1   1   9.6e-17   2.5e-14   50.4   2.4   262   485    74   293     2   296 0.71 NODE_13_length_81038_cov_67.502957_49 # 43955 # 44851 # -1 # ID=13_49;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.398
NODE_9_length_122393_cov_64.141746:116674-117459|- -            262 21416                -            488    0.0027   14.0   1.0   1   2      0.81   2.1e+02   -2.1   0.1   305   349    50    94    29   109 0.62 NODE_9_length_122393_cov_64.141746_112 # 116674 # 117459 # -1 # ID=9_112;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_9_length_122393_cov_64.141746:116674-117459|- -            262 21416                -            488    0.0027   14.0   1.0   2   2   1.3e-05    0.0032   13.8   0.1   384   486   144   246   119   248 0.81 NODE_9_length_122393_cov_64.141746_112 # 116674 # 117459 # -1 # ID=9_112;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.373
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/21416at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/spades_scaffolds_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/spades_scaffolds_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/21416at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/21416at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/spades_scaffolds_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 22 11:35:26 2026
# [ok]
