#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_7_length_162800_cov_68.413407:6411-7055|+     -            215 28730                -            213  6.4e-116  382.9   0.1   1   1  2.3e-118  7.2e-116  382.7   0.1     1   212     1   212     1   213 0.99 NODE_7_length_162800_cov_68.413407_7 # 6411 # 7055 # 1 # ID=7_7;partial=00;start_type=GTG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.420
NODE_22_length_39913_cov_63.265070:27344-28150|+   -            269 28730                -            213     0.013   12.6   0.0   1   1   6.9e-05     0.021   11.9   0.0     3    42    35    74    33   106 0.80 NODE_22_length_39913_cov_63.265070_20 # 27344 # 28150 # 1 # ID=22_20;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.431
NODE_18_length_58283_cov_66.770060:45077-46837|-   -            587 28730                -            213     0.014   12.5   0.4   1   2    0.0011      0.35    7.9   0.1     3    25   371   393   369   409 0.85 NODE_18_length_58283_cov_66.770060_51 # 45077 # 46837 # -1 # ID=18_51;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
NODE_18_length_58283_cov_66.770060:45077-46837|-   -            587 28730                -            213     0.014   12.5   0.4   2   2      0.06        18    2.3   0.0    52    76   502   526   492   539 0.88 NODE_18_length_58283_cov_66.770060_51 # 45077 # 46837 # -1 # ID=18_51;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/28730at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/run_enterococcaceae_odb12/hmmer_output/28730at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/28730at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Mon Apr 20 03:17:33 2026
# [ok]
