#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_6_length_183174_cov_88.861183:98070-99179|-   -            370 16872                -            369  3.9e-224  740.7   0.0   1   1  1.1e-226  4.3e-224  740.5   0.0     1   369     1   369     1   369 1.00 NODE_6_length_183174_cov_88.861183_86 # 98070 # 99179 # -1 # ID=6_86;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.402
NODE_1_length_385945_cov_86.278628:236250-239066|+ -            939 16872                -            369    0.0047   13.2   0.1   3   3      0.13        52   -0.1   0.0   303   351   780   825   740   836 0.67 NODE_1_length_385945_cov_86.278628_248 # 236250 # 239066 # 1 # ID=1_248;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_1_length_385945_cov_86.278628:267793-268380|+ -            196 16872                -            369    0.0057   13.0   0.0   1   2   4.6e-05     0.018   11.3   0.0   167   223    26    78    14    92 0.86 NODE_1_length_385945_cov_86.278628_274 # 267793 # 268380 # 1 # ID=1_274;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.393
NODE_1_length_385945_cov_86.278628:267793-268380|+ -            196 16872                -            369    0.0057   13.0   0.0   2   2      0.27     1e+02   -1.0   0.0   100   116   134   150   100   192 0.69 NODE_1_length_385945_cov_86.278628_274 # 267793 # 268380 # 1 # ID=1_274;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.393
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/16872at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/run_enterococcaceae_odb12/hmmer_output/16872at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/16872at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 22 11:41:34 2026
# [ok]
