#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_9_length_122393_cov_64.141746:67121-67981|+   -            287 20420                -            282  3.5e-156  516.0   0.3   1   1  1.2e-158    4e-156  515.8   0.3     1   281     1   281     1   282 1.00 NODE_9_length_122393_cov_64.141746_63 # 67121 # 67981 # 1 # ID=9_63;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.418
NODE_18_length_58283_cov_66.770060:39763-40992|-   -            410 20420                -            282   3.8e-05   20.4   3.2   1   2   8.5e-06    0.0029   14.2   0.1    91   143   161   216   153   226 0.71 NODE_18_length_58283_cov_66.770060_44 # 39763 # 40992 # -1 # ID=18_44;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.415
NODE_18_length_58283_cov_66.770060:39763-40992|-   -            410 20420                -            282   3.8e-05   20.4   3.2   2   2    0.0035       1.2    5.6   0.4     3    67   252   322   250   358 0.69 NODE_18_length_58283_cov_66.770060_44 # 39763 # 40992 # -1 # ID=18_44;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.415
NODE_29_length_26158_cov_60.714258:24117-25217|+   -            367 20420                -            282   9.1e-05   19.2   0.2   1   2   2.1e-06    0.0007   16.3   0.1   121   155     3    36     1    40 0.84 NODE_29_length_26158_cov_60.714258_24 # 24117 # 25217 # 1 # ID=29_24;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.408
NODE_29_length_26158_cov_60.714258:24117-25217|+   -            367 20420                -            282   9.1e-05   19.2   0.2   2   2      0.13        45    0.5   0.0    49   103   198   257   191   275 0.70 NODE_29_length_26158_cov_60.714258_24 # 24117 # 25217 # 1 # ID=29_24;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.408
NODE_4_length_193524_cov_77.069373:140923-143055|+ -            711 20420                -            282   0.00029   17.5   0.1   1   3   8.4e-07   0.00029   17.5   0.1   124   176     4    57     1    75 0.83 NODE_4_length_193524_cov_77.069373_121 # 140923 # 143055 # 1 # ID=4_121;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.409
NODE_4_length_193524_cov_77.069373:140923-143055|+ -            711 20420                -            282   0.00029   17.5   0.1   2   3      0.23        78   -0.3   0.1    46   105    99   160    74   164 0.68 NODE_4_length_193524_cov_77.069373_121 # 140923 # 143055 # 1 # ID=4_121;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.409
NODE_4_length_193524_cov_77.069373:140923-143055|+ -            711 20420                -            282   0.00029   17.5   0.1   3   3      0.67   2.3e+02   -1.8   0.1    72   107   198   235   184   239 0.65 NODE_4_length_193524_cov_77.069373_121 # 140923 # 143055 # 1 # ID=4_121;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.409
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/20420at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/run_enterococcaceae_odb12/hmmer_output/20420at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/20420at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 22 11:41:46 2026
# [ok]
