#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_5_length_185063_cov_65.589034:135276-135704|+ -            143 29046                -            140   1.9e-73  242.6   9.7   1   1   1.1e-75   2.2e-73  242.4   9.7     2   139     4   142     3   142 0.97 NODE_5_length_185063_cov_65.589034_128 # 135276 # 135704 # 1 # ID=5_128;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.357
NODE_20_length_42062_cov_371.455566:36372-37052|+  -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0022      0.46    8.0   0.3    36    68    24    57     4    77 0.84 NODE_20_length_42062_cov_371.455566_45 # 36372 # 37052 # 1 # ID=20_45;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_20_length_42062_cov_371.455566:36372-37052|+  -            227 29046                -            140       0.1   10.1   3.6   2   2     0.094        19    2.7   0.1     4    35   137   170   134   205 0.72 NODE_20_length_42062_cov_371.455566_45 # 36372 # 37052 # 1 # ID=20_45;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_20_length_42062_cov_371.455566:3949-4629|+    -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0022      0.46    8.0   0.3    36    68    24    57     4    77 0.84 NODE_20_length_42062_cov_371.455566_5 # 3949 # 4629 # 1 # ID=20_5;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_20_length_42062_cov_371.455566:3949-4629|+    -            227 29046                -            140       0.1   10.1   3.6   2   2     0.094        19    2.7   0.1     4    35   137   170   134   205 0.72 NODE_20_length_42062_cov_371.455566_5 # 3949 # 4629 # 1 # ID=20_5;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_20_length_42062_cov_371.455566:9662-10342|-   -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0022      0.46    8.0   0.3    36    68    24    57     4    77 0.84 NODE_20_length_42062_cov_371.455566_11 # 9662 # 10342 # -1 # ID=20_11;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_20_length_42062_cov_371.455566:9662-10342|-   -            227 29046                -            140       0.1   10.1   3.6   2   2     0.094        19    2.7   0.1     4    35   137   170   134   205 0.72 NODE_20_length_42062_cov_371.455566_11 # 9662 # 10342 # -1 # ID=20_11;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_37_length_7922_cov_232.961592:3914-4594|+     -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0022      0.46    8.0   0.3    36    68    24    57     4    77 0.84 NODE_37_length_7922_cov_232.961592_8 # 3914 # 4594 # 1 # ID=37_8;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_37_length_7922_cov_232.961592:3914-4594|+     -            227 29046                -            140       0.1   10.1   3.6   2   2     0.094        19    2.7   0.1     4    35   137   170   134   205 0.72 NODE_37_length_7922_cov_232.961592_8 # 3914 # 4594 # 1 # ID=37_8;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_3_length_223274_cov_181.317177:68291-68971|+  -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0022      0.46    8.0   0.3    36    68    24    57     4    77 0.84 NODE_3_length_223274_cov_181.317177_65 # 68291 # 68971 # 1 # ID=3_65;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_3_length_223274_cov_181.317177:68291-68971|+  -            227 29046                -            140       0.1   10.1   3.6   2   2     0.094        19    2.7   0.1     4    35   137   170   134   205 0.72 NODE_3_length_223274_cov_181.317177_65 # 68291 # 68971 # 1 # ID=3_65;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_3_length_223274_cov_181.317177:75329-76009|+  -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0022      0.46    8.0   0.3    36    68    24    57     4    77 0.84 NODE_3_length_223274_cov_181.317177_73 # 75329 # 76009 # 1 # ID=3_73;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_3_length_223274_cov_181.317177:75329-76009|+  -            227 29046                -            140       0.1   10.1   3.6   2   2     0.094        19    2.7   0.1     4    35   137   170   134   205 0.72 NODE_3_length_223274_cov_181.317177_73 # 75329 # 76009 # 1 # ID=3_73;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_3_length_223274_cov_181.317177:95182-95862|-  -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0022      0.46    8.0   0.3    36    68    24    57     4    77 0.84 NODE_3_length_223274_cov_181.317177_94 # 95182 # 95862 # -1 # ID=3_94;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_3_length_223274_cov_181.317177:95182-95862|-  -            227 29046                -            140       0.1   10.1   3.6   2   2     0.094        19    2.7   0.1     4    35   137   170   134   205 0.72 NODE_3_length_223274_cov_181.317177_94 # 95182 # 95862 # -1 # ID=3_94;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/29046at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/run_enterococcaceae_odb12/hmmer_output/29046at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/29046at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 22 11:42:03 2026
# [ok]
