#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_2_pilon:737847-738371|+   -            175 23784                -            172   4.3e-76  251.6   0.5   1   1   1.6e-78     5e-76  251.4   0.5     2   172     3   173     2   173 0.99 contig_2_pilon_689 # 737847 # 738371 # 1 # ID=5_689;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.404
contig_2_pilon:309989-310477|+   -            163 23784                -            172    0.0046   13.9   0.3   2   2   2.7e-05     0.008   13.1   0.1   120   150   111   141    86   159 0.75 contig_2_pilon_287 # 309989 # 310477 # 1 # ID=5_287;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.358
contig_1_pilon:532377-532811|+   -            145 23784                -            172      0.02   11.8   0.0   1   1   8.3e-05     0.025   11.5   0.0    93   150    68   123    27   135 0.84 contig_1_pilon_500 # 532377 # 532811 # 1 # ID=1_500;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.361
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/23784at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_pilon_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_pilon_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/23784at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/23784at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_pilon_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 00:56:04 2026
# [ok]
