#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_1_pilon:1080085-1080594|- -            170 22970                -            165   6.9e-64  212.3   0.5   1   1   2.5e-66   7.7e-64  212.1   0.5     1   165     1   166     1   166 0.98 contig_1_pilon_1034 # 1080085 # 1080594 # -1 # ID=1_1034;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.378
contig_2_pilon:689506-690207|+   -            234 22970                -            165    0.0063   14.0   0.2   1   2   0.00072      0.22    9.0   0.0     1    28     1    28     1    38 0.86 contig_2_pilon_643 # 689506 # 690207 # 1 # ID=5_643;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.376
contig_2_pilon:689506-690207|+   -            234 22970                -            165    0.0063   14.0   0.2   2   2      0.06        18    2.8   0.1    94   140   127   174   122   189 0.76 contig_2_pilon_643 # 689506 # 690207 # 1 # ID=5_643;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.376
contig_2_pilon:737381-737854|+   -            158 22970                -            165    0.0071   13.8   1.2   1   2     6e-05     0.018   12.5   0.7     3    29    26    52    24    65 0.90 contig_2_pilon_688 # 737381 # 737854 # 1 # ID=5_688;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.401
contig_2_pilon:737381-737854|+   -            158 22970                -            165    0.0071   13.8   1.2   2   2       1.1   3.3e+02   -1.4   0.0    27    52    72    97    51   116 0.70 contig_2_pilon_688 # 737381 # 737854 # 1 # ID=5_688;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.401
contig_1_pilon:1138784-1139668|- -            295 22970                -            165    0.0092   13.5   1.6   1   3      0.22        68    0.9   0.1     4    17     8    21     5    35 0.77 contig_1_pilon_1083 # 1138784 # 1139668 # -1 # ID=1_1083;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.405
contig_1_pilon:1138784-1139668|- -            295 22970                -            165    0.0092   13.5   1.6   2   3   0.00033     0.099   10.1   0.1    86   161    81   154    74   158 0.77 contig_1_pilon_1083 # 1138784 # 1139668 # -1 # ID=1_1083;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.405
contig_1_pilon:1138784-1139668|- -            295 22970                -            165    0.0092   13.5   1.6   3   3     0.029       8.9    3.8   0.1    29    57   139   167   132   169 0.80 contig_1_pilon_1083 # 1138784 # 1139668 # -1 # ID=1_1083;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.405
contig_3_pilon:15275-17299|-     -            675 22970                -            165      0.01   13.3   0.2   1   1   0.00013     0.038   11.5   0.2     4    24   270   290   267   296 0.88 contig_3_pilon_16 # 15275 # 17299 # -1 # ID=6_16;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.384
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/22970at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_pilon_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_pilon_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/22970at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/22970at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_pilon_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 00:56:00 2026
# [ok]
