#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_1_pilon:505771-507276|+   -            502 21416                -            488    2e-290  961.0  13.1   1   1  8.5e-293  2.3e-290  960.8  13.1     2   487     7   495     6   496 0.99 contig_1_pilon_482 # 505771 # 507276 # 1 # ID=1_482;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.365
contig_2_pilon:114894-116102|+   -            403 21416                -            488   1.9e-24   83.8   1.3   1   1   9.6e-27   2.7e-24   83.3   1.3   260   487   158   385   135   386 0.85 contig_2_pilon_91 # 114894 # 116102 # 1 # ID=5_91;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.391
contig_10_pilon:10643-11785|-    -            381 21416                -            488     3e-21   73.2   6.0   1   1   1.5e-23   4.2e-21   72.7   6.0   180   486    66   369    50   371 0.82 contig_10_pilon_15 # 10643 # 11785 # -1 # ID=2_15;partial=00;start_type=TTG;rbs_motif=GGxGG;rbs_spacer=11-12bp;gc_cont=0.413
contig_2_pilon:603839-604864|+   -            342 21416                -            488     3e-16   56.7   0.4   1   1   2.2e-18   6.1e-16   55.7   0.3   386   487   232   333    98   334 0.86 contig_2_pilon_565 # 603839 # 604864 # 1 # ID=5_565;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.376
contig_1_pilon:14186-15082|+     -            299 21416                -            488   2.1e-14   50.6   2.4   1   1   8.8e-17   2.4e-14   50.4   2.4   262   485    74   293     2   296 0.71 contig_1_pilon_18 # 14186 # 15082 # 1 # ID=1_18;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.398
contig_1_pilon:684624-685409|-   -            262 21416                -            488    0.0026   14.0   1.0   1   2      0.75   2.1e+02   -2.1   0.1   305   349    50    94    29   109 0.62 contig_1_pilon_649 # 684624 # 685409 # -1 # ID=1_649;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.373
contig_1_pilon:684624-685409|-   -            262 21416                -            488    0.0026   14.0   1.0   2   2   1.2e-05    0.0032   13.8   0.1   384   486   144   246   119   248 0.81 contig_1_pilon_649 # 684624 # 685409 # -1 # ID=1_649;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.373
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/21416at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_pilon_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_pilon_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/21416at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/21416at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_pilon_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 00:55:54 2026
# [ok]
