#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:811922-814048|+   -            709 9804305              -            706         0 1058.2  13.6   1   1         0         0 1058.0  13.6     2   704     2   705     1   707 0.97 tig00000001_762 # 811922 # 814048 # 1 # ID=1_762;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.417
tig00000001:1736028-1738385|+ -            786 9804305              -            706   4.7e-09   32.5   0.4   1   1     2e-11   7.8e-09   31.8   0.4   615   690   631   715   605   730 0.73 tig00000001_1666 # 1736028 # 1738385 # 1 # ID=1_1666;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.404
tig00000001:2111808-2112983|+ -            392 9804305              -            706     0.023   10.4   8.6   1   3     0.046        18    0.8   2.2   194   325    16   157     7   171 0.61 tig00000001_2047 # 2111808 # 2112983 # 1 # ID=1_2047;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.396
tig00000001:2111808-2112983|+ -            392 9804305              -            706     0.023   10.4   8.6   2   3    0.0099       3.9    3.0   0.1   562   600   243   284   215   296 0.72 tig00000001_2047 # 2111808 # 2112983 # 1 # ID=1_2047;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.396
tig00000001:2111808-2112983|+ -            392 9804305              -            706     0.023   10.4   8.6   3   3   0.00014     0.053    9.2   0.0   550   613   298   360   288   379 0.79 tig00000001_2047 # 2111808 # 2112983 # 1 # ID=1_2047;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.396
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/bacteria_odb12/hmms/9804305at2.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/auto_lineage/run_bacteria_odb12/hmmer_output/9804305at2.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/bacteria_odb12/hmms/9804305at2.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 22 11:36:10 2026
# [ok]
