#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:1529222-1531231|+ -            670 9810191              -            634  1.7e-230  764.4   0.0   1   1  7.4e-233  3.3e-230  763.5   0.0     2   621     3   649     2   669 0.89 tig00000001_1469 # 1529222 # 1531231 # 1 # ID=1_1469;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.394
tig00000001:2496458-2498878|- -            807 9810191              -            634    0.0012   15.1   0.1   1   1   5.6e-06    0.0025   14.0   0.1   551   620    45   124    10   135 0.81 tig00000001_2423 # 2496458 # 2498878 # -1 # ID=1_2423;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.391
tig00000001:895706-896311|+   -            202 9810191              -            634     0.014   11.5   0.0   1   1     4e-05     0.018   11.2   0.0   543   630    86   185    45   189 0.72 tig00000001_845 # 895706 # 896311 # 1 # ID=1_845;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.403
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/bacteria_odb12/hmms/9810191at2.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/auto_lineage/run_bacteria_odb12/hmmer_output/9810191at2.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/bacteria_odb12/hmms/9810191at2.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Mon Apr 20 03:11:58 2026
# [ok]
