# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
tig00000001_pilon_pilon	cds	39332	41155	-	EFM745_00045	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A133CHI4
tig00000001_pilon_pilon	cds	41433	43712	+	EFM745_00046	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A133CHR3
tig00000001_pilon_pilon	cds	43805	44452	-	EFM745_00047	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A133CI87
tig00000001_pilon_pilon	cds	44697	45992	+	EFM745_00048	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q8KSD8
tig00000001_pilon_pilon	cds	46153	46872	-	EFM745_00049	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0AB33YNN5
tig00000001_pilon_pilon	cds	47003	48154	-	EFM745_00050	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1S8I2C3
tig00000001_pilon_pilon	cds	48371	49111	-	EFM745_00051	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132ZFQ7
tig00000001_pilon_pilon	cds	49115	49375	-	EFM745_00052	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A829F9W1
tig00000001_pilon_pilon	cds	49495	50088	-	EFM745_00053	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A133MWF8
tig00000001_pilon_pilon	cds	50072	50722	-	EFM745_00054	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0AB33YLE0
tig00000001_pilon_pilon	cds	50732	51043	-	EFM745_00055	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A133CHH5
tig00000001_pilon_pilon	cds	51059	52168	-	EFM745_00056	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132P355
tig00000001_pilon_pilon	cds	52165	52692	-	EFM745_00057	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A133CHH3
tig00000001_pilon_pilon	cds	52872	53657	-	EFM745_00058	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A133CHQ3
tig00000001_pilon_pilon	cds	53650	54519	-	EFM745_00059	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A133CI75
tig00000001_pilon_pilon	cds	54520	55899	-	EFM745_00060	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132ZG70
tig00000001_pilon_pilon	cds	55907	56326	-	EFM745_00061	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132P351
tig00000001_pilon_pilon	cds	56351	56827	-	EFM745_00062	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1B5FU25
tig00000001_pilon_pilon	cds	56830	58065	-	EFM745_00063	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A133CHH8
tig00000001_pilon_pilon	cds	58084	58821	-	EFM745_00064	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A133CHJ6
tig00000001_pilon_pilon	cds	58833	59750	-	EFM745_00065	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1B5FU04
tig00000001_pilon_pilon	cds	59857	60081	-	EFM745_00066	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1L8XSL4
tig00000001_pilon_pilon	cds	60134	61096	-	EFM745_00067	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A133MWL9
tig00000001_pilon_pilon	cds	61106	61546	-	EFM745_00068	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132P372
tig00000001_pilon_pilon	cds	61852	62817	+	EFM745_00069	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A133CI66
tig00000001_pilon_pilon	cds	62874	63104	-	EFM745_00070	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A4Y3JPM6
tig00000001_pilon_pilon	cds	63190	64077	-	EFM745_00071	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A133CHH4
tig00000001_pilon_pilon	cds	64166	65389	-	EFM745_00072	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A133CHU6
tig00000001_pilon_pilon	cds	65406	66452	-	EFM745_00073	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1E9VVC3
tig00000001_pilon_pilon	cds	66616	68343	-	EFM745_00074	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132ZFW2
tig00000001_pilon_pilon	cds	68343	68609	-	EFM745_00075	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A179EV32
tig00000001_pilon_pilon	cds	69226	71322	+	EFM745_00076	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132ZG15
tig00000001_pilon_pilon	cds	71470	71790	+	EFM745_00077	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A133MWL3
tig00000001_pilon_pilon	cds	71995	72219	-	EFM745_00078	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132ZGD7
tig00000001_pilon_pilon	cds	72417	73997	-	EFM745_00079	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132Z4K5
tig00000001_pilon_pilon	cds	74398	75774	-	EFM745_00080	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132Z310
tig00000001_pilon_pilon	cds	75902	77020	-	EFM745_00081	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132P373
tig00000001_pilon_pilon	cds	77162	77596	+	EFM745_00082	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132P374
tig00000001_pilon_pilon	cds	77674	78207	-	EFM745_00083	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A133N680
tig00000001_pilon_pilon	cds	78301	79479	-	EFM745_00084	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132Z3D4
tig00000001_pilon_pilon	cds	79472	80269	-	EFM745_00085	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1S8IWS4
tig00000001_pilon_pilon	cds	80376	81758	+	EFM745_00086	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A133CIB7
tig00000001_pilon_pilon	cds	81932	82510	-	EFM745_00087	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_J7CSW2
tig00000001_pilon_pilon	cds	82832	83302	+	EFM745_00088	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132Z348
tig00000001_pilon_pilon	cds	83410	84636	-	EFM745_00089	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132P395
tig00000001_pilon_pilon	cds	85390	85590	-	EFM745_00090	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2A7SLT2
tig00000001_pilon_pilon	cds	85724	86332	-	EFM745_00091	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A133CIE4
tig00000001_pilon_pilon	cds	86417	86887	-	EFM745_00092	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132P383
tig00000001_pilon_pilon	cds	86935	87834	-	EFM745_00093	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A242FWA1
tig00000001_pilon_pilon	cds	87995	88798	+	EFM745_00094	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132Z3C4
tig00000001_pilon_pilon	cds	88976	89923	+	EFM745_00095	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132Z2S3
tig00000001_pilon_pilon	cds	90032	91579	-	EFM745_00096	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_E3USZ0
tig00000001_pilon_pilon	cds	91681	92034	-	EFM745_00097	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_E3USY9
tig00000001_pilon_pilon	cds	92024	92218	-	EFM745_00098	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_E3USY8
tig00000001_pilon_pilon	cds	92474	92767	-	EFM745_00099	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132P397
tig00000001_pilon_pilon	cds	92795	93460	-	EFM745_00100	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132Z2S7
tig00000001_pilon_pilon	cds	93600	94232	-	EFM745_00101	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132P3B2
tig00000001_pilon_pilon	cds	94239	95306	-	EFM745_00102	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1A7T1C5
tig00000001_pilon_pilon	cds	95303	96034	-	EFM745_00103	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132P385
tig00000001_pilon_pilon	cds	96202	96681	-	EFM745_00104	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132P391
tig00000001_pilon_pilon	cds	96817	97992	-	EFM745_00105	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132P394
tig00000001_pilon_pilon	cds	98157	99317	+	EFM745_00106	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1L2GNE4
tig00000001_pilon_pilon	cds	99350	100795	-	EFM745_00107	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A829FFQ7
tig00000001_pilon_pilon	cds	100914	101861	-	EFM745_00108	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132P3A7
tig00000001_pilon_pilon	cds	101894	103309	-	EFM745_00109	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132P396
tig00000001_pilon_pilon	cds	103306	104454	-	EFM745_00110	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0AB33YM68
tig00000001_pilon_pilon	cds	104478	106013	-	EFM745_00111	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A829FA92
tig00000001_pilon_pilon	cds	106036	107010	-	EFM745_00112	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132P3B0
tig00000001_pilon_pilon	cds	107055	108020	-	EFM745_00113	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132P3C1
tig00000001_pilon_pilon	cds	108013	109080	-	EFM745_00114	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A7V7Y9J3
tig00000001_pilon_pilon	cds	109088	109789	-	EFM745_00115	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132P393
tig00000001_pilon_pilon	cds	109786	110661	-	EFM745_00116	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A829FJL1
tig00000001_pilon_pilon	cds	110673	111497	-	EFM745_00117	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A829FFP7
tig00000001_pilon_pilon	cds	111535	112926	-	EFM745_00118	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132P3A0
tig00000001_pilon_pilon	cds	113261	114220	+	EFM745_00119	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132P469
tig00000001_pilon_pilon	cds	114288	116426	-	EFM745_00120	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2X1PER2
tig00000001_pilon_pilon	cds	116465	118051	-	EFM745_00121	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132P3C0
tig00000001_pilon_pilon	cds	118041	119261	-	EFM745_00122	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132P3D2
tig00000001_pilon_pilon	cds	119273	120079	-	EFM745_00123	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A4Y3JJF0
tig00000001_pilon_pilon	cds	120289	121569	-	EFM745_00124	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1A7SCL1
tig00000001_pilon_pilon	cds	121613	123646	-	EFM745_00125	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132P3A9
tig00000001_pilon_pilon	cds	123681	124532	-	EFM745_00126	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132P3B5
tig00000001_pilon_pilon	cds	124630	125658	-	EFM745_00127	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132P4D7
tig00000001_pilon_pilon	cds	125680	126252	-	EFM745_00128	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132P3C8
tig00000001_pilon_pilon	cds	126266	127132	-	EFM745_00129	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A133CIA9
tig00000001_pilon_pilon	cds	127232	127939	-	EFM745_00130	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A133CIA8
tig00000001_pilon_pilon	cds	127944	128771	-	EFM745_00131	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132Z882
tig00000001_pilon_pilon	cds	128771	129571	-	EFM745_00132	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A133CI93
tig00000001_pilon_pilon	cds	129564	130703	-	EFM745_00133	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132Z6J4
tig00000001_pilon_pilon	cds	130779	131702	-	EFM745_00134	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A133CI85
tig00000001_pilon_pilon	cds	131734	132498	-	EFM745_00135	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A133CIA7
tig00000001_pilon_pilon	cds	132656	133096	+	EFM745_00136	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A133CI92
tig00000001_pilon_pilon	cds	133274	133843	-	EFM745_00137	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1S8I3M5
tig00000001_pilon_pilon	cds	134097	135329	+	EFM745_00138	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A133CIZ6
tig00000001_pilon_pilon	cds	136083	136262	+	EFM745_00139	102.0	1.2e-27	0.898	0.914	0.906	UniRef:UniRef90_UPI0035900F4F
tig00000001_pilon_pilon	cds	136422	136793	-	EFM745_00140	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0AAF0S6Q6
tig00000001_pilon_pilon	cds	136795	137196	-	EFM745_00141	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0AAF0S8D8
tig00000001_pilon_pilon	cds	137210	137617	-	EFM745_00142	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A133CQJ7
tig00000001_pilon_pilon	cds	137961	138455	+	EFM745_00143	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_Q3Y2Q2
tig00000001_pilon_pilon	cds	138540	139376	-	EFM745_00144	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132ZCV8
tig00000001_pilon_pilon	cds	139412	139702	-	EFM745_00145	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A367CF91
tig00000001_pilon_pilon	tRNA	140379	140452	-	EFM745_00146	76.0	-	-	-	-	-
tig00000001_pilon_pilon	cds	140642	141667	-	EFM745_00147	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132Z9P7
tig00000001_pilon_pilon	cds	141664	141888	-	EFM745_00148	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0V7Y5Y4
tig00000001_pilon_pilon	cds	141885	142178	-	EFM745_00149	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000282615D
tig00000001_pilon_pilon	cds	142216	142353	-	EFM745_00150	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A241ZQB4
tig00000001_pilon_pilon	cds	142355	142801	-	EFM745_00151	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00085A4F4B
tig00000001_pilon_pilon	cds	142802	144868	-	EFM745_00152	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001B8FF67
tig00000001_pilon_pilon	cds	144868	145650	-	EFM745_00153	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI000282615E
tig00000001_pilon_pilon	cds	145667	147385	-	EFM745_00154	1174.0	0.0	1.0	0.978	0.990	UniRef:UniRef90_A0A377KMZ8
tig00000001_pilon_pilon	cds	147399	150230	-	EFM745_00155	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001B8FBA1
tig00000001_pilon_pilon	cds	150227	151015	-	EFM745_00156	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_J7CXD9
tig00000001_pilon_pilon	cds	151027	154146	-	EFM745_00157	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001B6F2A7
tig00000001_pilon_pilon	cds	154163	154450	-	EFM745_00158	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A829A802
tig00000001_pilon_pilon	cds	154504	154872	-	EFM745_00159	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_J7CX14
tig00000001_pilon_pilon	cds	154918	155430	-	EFM745_00160	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001B6F27F
tig00000001_pilon_pilon	cds	155441	155833	-	EFM745_00161	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001899CC1D
tig00000001_pilon_pilon	cds	155830	156201	-	EFM745_00162	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0AAJ1SR30
tig00000001_pilon_pilon	cds	156198	156524	-	EFM745_00163	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001B6F750
tig00000001_pilon_pilon	cds	156521	156859	-	EFM745_00164	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001B6F27B
tig00000001_pilon_pilon	cds	156899	157105	-	EFM745_00165	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0AB37IME7
tig00000001_pilon_pilon	cds	157116	158123	-	EFM745_00166	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00003DAACF
tig00000001_pilon_pilon	cds	158148	158501	-	EFM745_00167	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0AB37IV08
tig00000001_pilon_pilon	cds	158513	159154	-	EFM745_00168	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001B6F278
tig00000001_pilon_pilon	cds	159269	159442	-	EFM745_00169	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0002A43F16
tig00000001_pilon_pilon	cds	159789	160742	-	EFM745_00170	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001B6F275
tig00000001_pilon_pilon	cds	160747	161010	-	EFM745_00171	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001B6F274
tig00000001_pilon_pilon	cds	161023	161253	-	EFM745_00172	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00030AD71A
tig00000001_pilon_pilon	cds	161207	162841	-	EFM745_00173	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001B6F272
tig00000001_pilon_pilon	cds	162852	164153	-	EFM745_00174	833.0	1.6e-304	0.998	1.0	0.928	UniRef:UniRef90_A0A1V2UFP0
tig00000001_pilon_pilon	cds	164143	164598	-	EFM745_00175	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0AAJ1SN91
tig00000001_pilon_pilon	cds	164624	164848	-	EFM745_00176	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001B6F270
tig00000001_pilon_pilon	cds	165347	165526	+	EFM745_00177	112.0	1.5e-31	1.0	0.937	0.966	UniRef:UniRef90_A0A427BV84
tig00000001_pilon_pilon	cds	165519	165932	-	EFM745_00178	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0002E0FCE8
tig00000001_pilon_pilon	cds	166223	166498	+	EFM745_00179	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A133CKV7
tig00000001_pilon_pilon	cds	166495	166647	-	EFM745_00180	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_I3U0D5
tig00000001_pilon_pilon	cds	166956	167369	-	EFM745_00181	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A133CKJ0
tig00000001_pilon_pilon	cds	167446	167742	-	EFM745_00182	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A133CKL3
tig00000001_pilon_pilon	cds	167739	168296	-	EFM745_00183	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A133CKI7
tig00000001_pilon_pilon	cds	168293	168688	-	EFM745_00184	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001B6F26A
tig00000001_pilon_pilon	cds	168685	168858	-	EFM745_00185	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001B6F269
tig00000001_pilon_pilon	cds	168855	169166	-	EFM745_00186	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001B6F268
tig00000001_pilon_pilon	cds	169166	169456	-	EFM745_00187	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0AB36S8U2
tig00000001_pilon_pilon	cds	169450	169761	-	EFM745_00188	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A2S7MA06
tig00000001_pilon_pilon	cds	169758	169919	-	EFM745_00189	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132Z4C8
tig00000001_pilon_pilon	cds	169916	170218	-	EFM745_00190	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00039AFAF4
tig00000001_pilon_pilon	cds	170211	170375	-	EFM745_00191	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0002826171
tig00000001_pilon_pilon	cds	170380	170649	-	EFM745_00192	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001B6F728
tig00000001_pilon_pilon	cds	170661	171512	-	EFM745_00193	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001B6F727
tig00000001_pilon_pilon	cds	171621	172136	-	EFM745_00194	337.0	3.3e-117	1.0	0.972	0.994	UniRef:UniRef90_UPI00215758B5
tig00000001_pilon_pilon	cds	172144	172836	-	EFM745_00195	404.0	4.1e-142	0.843	1.0	1.0	UniRef:UniRef90_UPI000B9E123E
tig00000001_pilon_pilon	cds	172842	173513	-	EFM745_00196	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A132ZI75
tig00000001_pilon_pilon	cds	173506	173847	-	EFM745_00197	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0001B6F723
tig00000001_pilon_pilon	cds	173884	174030	-	EFM745_00198	85.1	4.6e-21	0.854	0.820	0.976	UniRef:UniRef90_J6Z1E3
