#Annotated with Bakta v1.11.4, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
tig00000001_pilon_pilon	176064	176315	+	EFM745_00205	10.0	4.8		RefSeq:WP_002322655.1, SO:0001217, UniParc:UPI00024197E7, UniRef:UniRef100_UPI00024197E7, UniRef:UniRef50_S0KFR9, UniRef:UniRef90_UPI001E632084
tig00000001_pilon_pilon	176296	176451	-	EFM745_00206	5.8	8.1		RefSeq:WP_002311413.1, SO:0001217, UniParc:UPI0001B6F3FF, UniRef:UniRef100_UPI0001B6F3FF, UniRef:UniRef50_S0K3A4, UniRef:UniRef90_UPI0001B6F3FF
tig00000001_pilon_pilon	176687	176845	-	EFM745_00208	5.9	4.8		RefSeq:WP_002311411.1, SO:0001217, UniParc:UPI0001B6F3FD, UniRef:UniRef100_UPI0001B6F3FD, UniRef:UniRef50_A0A1L8TFJ1, UniRef:UniRef90_UPI000DE87DE7
tig00000001_pilon_pilon	276131	276259	+	EFM745_00306	4.8	8.2		RefSeq:WP_002293651.1, SO:0001217, UniParc:UPI0001BCBF22, UniRef:UniRef100_A0A1A7S0Z6, UniRef:UniRef50_M9T8S0, UniRef:UniRef90_M9T8S0
tig00000001_pilon_pilon	367294	367518	-	EFM745_00379	8.7	9.6		SO:0001217, UniParc:UPI0001B6F7E2, UniRef:UniRef100_A0A132P4X3, UniRef:UniRef50_A0A132P4X3, UniRef:UniRef90_A0A132P4X3
tig00000001_pilon_pilon	492284	492382	-	EFM745_00510	4.0	9.3		SO:0001217, UniParc:UPI0001BCBFDE, UniRef:UniRef100_A0AB37I572, UniRef:UniRef50_A0AB37I572, UniRef:UniRef90_A0AB37I572
tig00000001_pilon_pilon	503409	503516	-	EFM745_00523	4.1	9.6		SO:0001217, UniParc:UPI0001BCBFDD, UniRef:UniRef100_A0A829FEJ6, UniRef:UniRef50_A0A829FEJ6, UniRef:UniRef90_A0A829FEJ6
tig00000001_pilon_pilon	519303	519467	+	EFM745_00538	6.2	9.7		RefSeq:WP_002297357.1, SO:0001217, UniParc:UPI0001B6F822, UniRef:UniRef100_A0A829F2G6, UniRef:UniRef50_R2SDK7, UniRef:UniRef90_R2SDK7
tig00000001_pilon_pilon	520675	520965	+	EFM745_00541	11.2	4.4		RefSeq:WP_002297354.1, SO:0001217, UniParc:UPI0001CEA5D0, UniRef:UniRef100_A0A8B5W5L1, UniRef:UniRef50_Q832A2, UniRef:UniRef90_A0A8B5W5L1
tig00000001_pilon_pilon	559323	559700	-	EFM745_00571	14.8	4.1		RefSeq:WP_002297319.1, SO:0001217, UniParc:UPI0001B6EC09, UniRef:UniRef100_S1RJB8, UniRef:UniRef50_H7C7C3, UniRef:UniRef90_H7C7C3
tig00000001_pilon_pilon	567913	568005	-	EFM745_00580	3.4	8.2		SO:0001217, UniRef:UniRef50_V7ZJP2, UniRef:UniRef90_V7ZJP2
tig00000001_pilon_pilon	671895	672092	-	EFM745_00673	7.6	11.2		RefSeq:WP_002294340.1, SO:0001217, UniParc:UPI0001B6E444, UniRef:UniRef100_A0A4Y3JSV9, UniRef:UniRef50_I6T9K3, UniRef:UniRef90_A0A4Y3JSV9
tig00000001_pilon_pilon	672934	673071	+	EFM745_00675	5.1	9.5		RefSeq:WP_002294338.1, SO:0001217, UniParc:UPI0001BCC15F, UniRef:UniRef100_A0A4Y3JQU3, UniRef:UniRef50_A0A4Y3JQU3, UniRef:UniRef90_A0A4Y3JQU3
tig00000001_pilon_pilon	678453	678830	+	EFM745_00679	14.5	4.2		SO:0001217, UniParc:UPI000252F246, UniRef:UniRef100_A0A4Y3JLG5, UniRef:UniRef50_A0A4Y3JLG5, UniRef:UniRef90_A0A4Y3JLG5
tig00000001_pilon_pilon	766176	766283	-	EFM745_00775	4.3	9.3		SO:0001217, UniParc:UPI000280CFBE, UniRef:UniRef100_A0A366TKG7, UniRef:UniRef50_A0A366TKG7, UniRef:UniRef90_A0A366TKG7
tig00000001_pilon_pilon	807345	807536	-	EFM745_00816	7.2	9.1		SO:0001217, UniParc:UPI000252F2BC, UniRef:UniRef100_A0A1A7S845, UniRef:UniRef50_A0A242BDW5, UniRef:UniRef90_A0A242BDW5
tig00000001_pilon_pilon	863796	863984	-	EFM745_00869	7.6	10.0		RefSeq:WP_002333852.1, SO:0001217, UniParc:UPI0002A31727, UniRef:UniRef100_UPI0002A31727, UniRef:UniRef50_UPI0002A31727, UniRef:UniRef90_UPI0002A31727
tig00000001_pilon_pilon	872773	872907	+	EFM745_00879	4.7	6.0	PF00106.31|adh_short	PFAM:PF00106.31
tig00000001_pilon_pilon	887590	887757	-	EFM745_00895	6.4	9.7		RefSeq:WP_002324308.1, SO:0001217, UniParc:UPI0002A2CBA0, UniRef:UniRef100_A0A4U4QL15, UniRef:UniRef50_E6LI86, UniRef:UniRef90_A0A4Y3JPI0
tig00000001_pilon_pilon	900357	901487	+	EFM745_00911	42.2	6.1		RefSeq:WP_002317111.1, SO:0001217, UniParc:UPI0001B8FCF8, UniRef:UniRef100_A0A3F3LTY2, UniRef:UniRef50_A0A9Q8Y031, UniRef:UniRef90_A0A3F3LTY2
tig00000001_pilon_pilon	915649	916698	+	EFM745_00926	42.0	8.8		RefSeq:WP_002317120.1, SO:0001217, UniParc:UPI0001B8FD01, UniRef:UniRef100_A0A9X1GD23, UniRef:UniRef50_A0A9X1GD23, UniRef:UniRef90_A0A9X1GD23
tig00000001_pilon_pilon	924509	924766	+	EFM745_00933	10.1	5.4		SO:0001217, UniParc:UPI000037FCB2, UniRef:UniRef100_A0A3F3NLH9, UniRef:UniRef50_A0A3F3NLH9, UniRef:UniRef90_A0A3F3NLH9
tig00000001_pilon_pilon	935312	936313	-	EFM745_00946	38.7	9.8		SO:0001217, UniRef:UniRef50_A0A132P764, UniRef:UniRef90_A0A132P764
tig00000001_pilon_pilon	1073464	1073784	-	EFM745_01073	12.7	4.8		RefSeq:WP_002286862.1, SO:0001217, UniParc:UPI000037FC55, UniRef:UniRef100_A0A829FBL7, UniRef:UniRef50_A0A829FBL7, UniRef:UniRef90_A0A829FBL7
tig00000001_pilon_pilon	1086415	1087167	+	EFM745_01086	29.6	6.1		RefSeq:WP_002286840.1, SO:0001217, UniParc:UPI000037F797, UniRef:UniRef100_A0A7W2ALF2, UniRef:UniRef50_A0A510W9Y0, UniRef:UniRef90_A0A7W2ALF2
tig00000001_pilon_pilon	1096772	1096978	+	EFM745_01095	7.9	5.6		RefSeq:WP_002293677.1, SO:0001217, UniParc:UPI000037F50A, UniRef:UniRef100_A0A133CDI2, UniRef:UniRef50_R3W4J8, UniRef:UniRef90_A0A133CDI2
tig00000001_pilon_pilon	1103908	1104093	+	EFM745_01105	6.9	9.2		RefSeq:WP_002304207.1, SO:0001217, UniParc:UPI0001B6ED35, UniRef:UniRef100_A0A133CDJ6, UniRef:UniRef50_A0A133CDJ6, UniRef:UniRef90_A0A133CDJ6
tig00000001_pilon_pilon	1104598	1104792	+	EFM745_01106	7.4	9.5		RefSeq:WP_002297028.1, SO:0001217, UniParc:UPI0001B6ED34, UniRef:UniRef100_A0A1S8ITI0, UniRef:UniRef50_R2PIX3, UniRef:UniRef90_A0A2D0CFP8
tig00000001_pilon_pilon	1199351	1199500	+	EFM745_01189	6.0	10.8		SO:0001217, UniParc:UPI0001B6D02D, UniRef:UniRef100_A0A4Q8WA29, UniRef:UniRef50_A0A4Q8WA29, UniRef:UniRef90_A0A4Q8WA29
tig00000001_pilon_pilon	1204286	1204396	+	EFM745_01194	4.1	4.4		SO:0001217, UniParc:UPI0001B8FE4C, UniRef:UniRef100_A0A1A7TTI8, UniRef:UniRef50_A0A1A7TTI8, UniRef:UniRef90_A0A1A7TTI8
tig00000001_pilon_pilon	1219673	1220272	-	EFM745_01208	23.6	9.8		SO:0001217, UniParc:UPI00005403F9, UniRef:UniRef100_A0A1A7TU46, UniRef:UniRef50_A0A829A9D0, UniRef:UniRef90_A0A829A9D0
tig00000001_pilon_pilon	1309944	1310222	-	EFM745_01293	11.0	4.8		RefSeq:WP_002289230.1, SO:0001217, UniParc:UPI00003C52BE, UniRef:UniRef100_A0A4Y3JMI5, UniRef:UniRef50_A0A1L8WQ86, UniRef:UniRef90_A0A2A7SPN4
tig00000001_pilon_pilon	1397196	1397330	+	EFM745_01383	5.5	9.3		RefSeq:WP_002303011.1, SO:0001217, UniParc:UPI0001CEB8BB, UniRef:UniRef100_A0AAW8RHY7, UniRef:UniRef50_A0AAW8RHY7, UniRef:UniRef90_A0AAW8RHY7
tig00000001_pilon_pilon	1401956	1402459	-	EFM745_01393	19.1	9.6		RefSeq:WP_002325018.1, SO:0001217, UniParc:UPI0001BCC29F, UniRef:UniRef100_A0A829F8F9, UniRef:UniRef50_A0A829F8F9, UniRef:UniRef90_A0A829F8F9
tig00000001_pilon_pilon	1409666	1409818	+	EFM745_01410	5.5	4.6		RefSeq:WP_002296602.1, SO:0001217, UniParc:UPI0001B6F26D, UniRef:UniRef100_I3U0D5, UniRef:UniRef50_I3U0D5, UniRef:UniRef90_I3U0D5
tig00000001_pilon_pilon	1409815	1410090	-	EFM745_01411	10.9	6.6		RefSeq:WP_002300143.1, SO:0001217, UniParc:UPI000037FD32, UniRef:UniRef100_A0A133CKV7, UniRef:UniRef50_A0A133CKV7, UniRef:UniRef90_A0A133CKV7
tig00000001_pilon_pilon	1411488	1411769	+	EFM745_01414	11.1	5.1		RefSeq:WP_002296599.1, SO:0001217, UniParc:UPI000037FD35, UniRef:UniRef100_A0A427BU67, UniRef:UniRef50_S1NGU5, UniRef:UniRef90_I6SDU8
tig00000001_pilon_pilon	1436352	1436753	+	EFM745_01443	14.6	4.8		RefSeq:WP_002296902.1, SO:0001217, UniParc:UPI000037FF7A, UniRef:UniRef100_A0AAF0S8D8, UniRef:UniRef50_A0AAF0S8D8, UniRef:UniRef90_A0AAF0S8D8
tig00000001_pilon_pilon	1437476	1437697	-	EFM745_01446	8.7	5.1		RefSeq:WP_002293622.1, SO:0001217, UniParc:UPI0001CEABC4, UniRef:UniRef100_A0A1S8KIT2, UniRef:UniRef50_A0A2C9XRE0, UniRef:UniRef90_A0A132P6W3
tig00000001_pilon_pilon	1439848	1440120	+	EFM745_01448	10.5	4.6		RefSeq:WP_002287308.1, SO:0001217, UniParc:UPI000037F6C2, UniRef:UniRef100_A0A1S8J358, UniRef:UniRef50_A0A4Y3JP95, UniRef:UniRef90_A0A4Y3JP95
tig00000001_pilon_pilon	1472133	1472387	+	EFM745_01479	9.1	11.5		
tig00000001_pilon_pilon	1499649	1499810	+	EFM745_01507	6.3	9.9		SO:0001217, UniParc:UPI0001EB7AA9, UniRef:UniRef100_A0A1A7U385, UniRef:UniRef50_J6YSZ7, UniRef:UniRef90_J6YSZ7
tig00000001_pilon_pilon	1528717	1528995	-	EFM745_01534	11.2	9.5		RefSeq:WP_002289337.1, SO:0001217, UniParc:UPI00005443BF, UniRef:UniRef100_A0A1A7U4Y2, UniRef:UniRef50_A0A179ERU1, UniRef:UniRef90_A0A4Y3JKD2
tig00000001_pilon_pilon	1578086	1578340	+	EFM745_01579	10.1	7.8		RefSeq:WP_002287235.1, SO:0001217, UniParc:UPI0000540571, UniRef:UniRef100_A0A1A7SC68, UniRef:UniRef50_A0A1A7SC68, UniRef:UniRef90_A0A1A7SC68
tig00000001_pilon_pilon	1595718	1595882	-	EFM745_01600	5.6	4.4		RefSeq:WP_002296289.1, SO:0001217, UniParc:UPI000037FADD, UniRef:UniRef100_Q9X558, UniRef:UniRef50_Q9X558, UniRef:UniRef90_Q9X558
tig00000001_pilon_pilon	1621137	1621334	+	EFM745_01621	7.8	4.5		RefSeq:WP_002296291.1, SO:0001217, UniParc:UPI000037FABC, UniRef:UniRef100_A0A133CGT4, UniRef:UniRef50_A0A133CGT4, UniRef:UniRef90_A0A133CGT4
tig00000001_pilon_pilon	1653571	1653882	+	EFM745_01655	11.7	4.1		RefSeq:WP_002296499.1, SO:0001217, UniParc:UPI000037F9AC, UniRef:UniRef100_A0A1E9VTM8, UniRef:UniRef50_E6LEM0, UniRef:UniRef90_A0A1E9VTM8
tig00000001_pilon_pilon	1654803	1655165	+	EFM745_01659	14.2	5.8		RefSeq:WP_002296495.1, SO:0001217, UniParc:UPI000037F9B0, UniRef:UniRef100_A0A1E9VTE6, UniRef:UniRef50_A0A1E9VTE6, UniRef:UniRef90_A0A1E9VTE6
tig00000001_pilon_pilon	1665115	1665741	+	EFM745_01671	24.4	4.8		RefSeq:WP_002296481.1, SO:0001217, UniParc:UPI0000380038, UniRef:UniRef100_A0A1E9VTA3, UniRef:UniRef50_R2XMY5, UniRef:UniRef90_A0A1E9VTA3
tig00000001_pilon_pilon	1750772	1750942	+	EFM745_01758	6.6	10.0		RefSeq:WP_002294990.1, SO:0001217, UniParc:UPI0001B6E0D1, UniRef:UniRef100_A0A132P8G4, UniRef:UniRef50_A0A2A7SPI5, UniRef:UniRef90_A0A132P8G4
tig00000001_pilon_pilon	1855686	1855808	-	EFM745_01853	4.6	10.0		RefSeq:WP_002296297.1, SO:0001217, UniParc:UPI0001BCBFF3, UniRef:UniRef100_A0A132P8K8, UniRef:UniRef50_A0A132P8K8, UniRef:UniRef90_A0A132P8K8
tig00000001_pilon_pilon	1857662	1857982	+	EFM745_01855	12.5	6.2		RefSeq:WP_002296295.1, SO:0001217, UniParc:UPI0001CEA7B6, UniRef:UniRef100_A0AB33YHD4, UniRef:UniRef50_J7CUG7, UniRef:UniRef90_J7CUG7
tig00000001_pilon_pilon	1882325	1882648	-	EFM745_01876	12.6	10.3		RefSeq:WP_002299544.1, SO:0001217, UniParc:UPI0001BCBD78, UniRef:UniRef100_A0A829FFC8, UniRef:UniRef50_A0A829FFC8, UniRef:UniRef90_A0A829FFC8
tig00000001_pilon_pilon	1892024	1892281	-	EFM745_01888	10.2	5.4		RefSeq:WP_002295273.1, SO:0001217, UniParc:UPI00003DA29E, UniRef:UniRef100_A0A179ETE6, UniRef:UniRef50_A0A179ETE6, UniRef:UniRef90_A0A179ETE6
tig00000001_pilon_pilon	1927072	1927323	+	EFM745_01921	9.4	8.0		SO:0001217, UniRef:UniRef50_A8RV63, UniRef:UniRef90_UPI0002826399
tig00000001_pilon_pilon	1928550	1928804	+	EFM745_01923	9.8	4.3		RefSeq:WP_002286933.1, SO:0001217, UniParc:UPI0000380092, UniRef:UniRef100_A0A132Z0D0, UniRef:UniRef50_Q832A2, UniRef:UniRef90_S1NHV3
tig00000001_pilon_pilon	1979140	1979337	+	EFM745_01970	8.0	8.8		RefSeq:WP_002296796.1, SO:0001217, UniParc:UPI0001B6F896, UniRef:UniRef100_A0A132PA64, UniRef:UniRef50_A0A132PA64, UniRef:UniRef90_A0A132PA64
tig00000001_pilon_pilon	1986279	1986494	+	EFM745_01979	8.4	6.0		SO:0001217, UniParc:UPI0001EB7ACA, UniRef:UniRef100_I3U2Z9, UniRef:UniRef50_I3U2Z9, UniRef:UniRef90_I3U2Z9
tig00000001_pilon_pilon	2018186	2018335	-	EFM745_02009	5.6	6.0		RefSeq:WP_002293931.1, SO:0001217, UniParc:UPI0001BCBF01, UniRef:UniRef100_A0A4Y3JM94, UniRef:UniRef50_A0A4Y3JM94, UniRef:UniRef90_A0A4Y3JM94
tig00000001_pilon_pilon	2019078	2019188	+	EFM745_02011	3.9	11.1		SO:0001217, UniParc:UPI0001B8FFEF, UniRef:UniRef100_A0A1A7SV95, UniRef:UniRef50_A0A1A7SV95, UniRef:UniRef90_A0A1A7SV95
tig00000001_pilon_pilon	2031264	2031416	+	EFM745_02029	5.8	5.1		RefSeq:WP_163299668.1, SO:0001217, UniParc:UPI0003A29B24, UniRef:UniRef100_A0A6B3QFL8, UniRef:UniRef50_A0A6B3QFL8, UniRef:UniRef90_A0A6B3QFL8
tig00000001_pilon_pilon	2031495	2031977	-	EFM745_02030	18.5	9.1		RefSeq:WP_230458026.1, SO:0001217, UniParc:UPI0008654B81, UniRef:UniRef100_UPI0008654B81, UniRef:UniRef50_UPI0008654B81, UniRef:UniRef90_UPI0008654B81
tig00000001_pilon_pilon	2037923	2038057	+	EFM745_02044	5.2	9.7		
tig00000001_pilon_pilon	2038026	2038715	-	EFM745_02045	26.0	4.7		RefSeq:WP_069972687.1, SO:0001217, UniParc:UPI000859FB99, UniRef:UniRef100_UPI000859FB99, UniRef:UniRef50_UPI0011604B5C, UniRef:UniRef90_UPI000FD9FABA
tig00000001_pilon_pilon	2040124	2040510	+	EFM745_02048	14.6	5.5		RefSeq:WP_069972690.1, SO:0001217, UniParc:UPI00085A82D5, UniRef:UniRef100_UPI00085A82D5, UniRef:UniRef50_A0A376H0H2, UniRef:UniRef90_A0A132P994
tig00000001_pilon_pilon	2056746	2057528	+	EFM745_02066	29.5	5.7		RefSeq:WP_002349645.1, SO:0001217, UniParc:UPI000282615E, UniRef:UniRef100_UPI000282615E, UniRef:UniRef50_A0A377KQE4, UniRef:UniRef90_A0A377KQE4
tig00000001_pilon_pilon	2117138	2117605	+	EFM745_02127	18.2	5.7		
tig00000001_pilon_pilon	2149315	2149515	+	EFM745_02156	7.7	5.2		RefSeq:WP_002312920.1, SO:0001217, UniParc:UPI000037F529, UniRef:UniRef100_A0A133CK70, UniRef:UniRef50_A0A133CK70, UniRef:UniRef90_A0A133CK70
tig00000001_pilon_pilon	2152447	2152698	+	EFM745_02160	9.3	9.6		RefSeq:WP_002321467.1, SO:0001217, UniParc:UPI0001BCC3B2, UniRef:UniRef100_A0A3F3NPY4, UniRef:UniRef50_A0A3F3NPY4, UniRef:UniRef90_A0A3F3NPY4
tig00000001_pilon_pilon	2154001	2154588	+	EFM745_02162	22.3	4.6		RefSeq:WP_002287815.1, SO:0001217, UniParc:UPI000037FE14, UniRef:UniRef100_A0A133CN93, UniRef:UniRef50_A0A132P9I4, UniRef:UniRef90_A0A132P9I4
tig00000001_pilon_pilon	2154767	2155324	+	EFM745_02163	21.6	5.7		RefSeq:WP_002287817.1, SO:0001217, UniParc:UPI000037FE15, UniRef:UniRef100_A0A133CN99, UniRef:UniRef50_A0A2G0EAG0, UniRef:UniRef90_A0A133CN99
tig00000001_pilon_pilon	2283584	2283985	+	EFM745_02282	16.2	9.7		RefSeq:WP_002296650.1, SO:0001217, UniParc:UPI000037FF37, UniRef:UniRef100_A0A2S7MBZ3, UniRef:UniRef50_A0A4Y3JL46, UniRef:UniRef90_A0A4Y3JL46
tig00000001_pilon_pilon	2284028	2284450	+	EFM745_02283	16.1	9.6		SO:0001217, UniParc:UPI000037FF38, UniRef:UniRef100_A0A1A7U8Y5, UniRef:UniRef50_A0A4Y3JL46, UniRef:UniRef50_R2PYB6, UniRef:UniRef90_A0A4Y3JL46, UniRef:UniRef90_R2PYB6
tig00000001_pilon_pilon	2301383	2301556	-	EFM745_02309	6.9	9.8		RefSeq:WP_002291299.1, SO:0001217, UniParc:UPI000037FCC2, UniRef:UniRef100_A0A4Y3JMB3, UniRef:UniRef50_I6T8N4, UniRef:UniRef90_A0A4Y3JMB3
tig00000001_pilon_pilon	2355487	2356560	+	EFM745_02361	41.4	4.5		RefSeq:WP_002295905.1, SO:0001217, UniParc:UPI0001BCC2BA, UniRef:UniRef100_A0A132ZFR7, UniRef:UniRef50_A0A132ZFR7, UniRef:UniRef90_A0A132ZFR7
tig00000001_pilon_pilon	2399118	2399291	+	EFM745_02398	6.6	8.9		SO:0001217, UniParc:UPI0001B6EDB0, UniRef:UniRef100_A0A1S8KR47, UniRef:UniRef50_A0A1S8KR47, UniRef:UniRef90_A0A1S8KR47
tig00000001_pilon_pilon	2447441	2447662	-	EFM745_02445	8.3	6.5		SO:0001217, UniParc:UPI00003C52AD, UniRef:UniRef100_A0A286V169, UniRef:UniRef50_A0A829F7Y1, UniRef:UniRef90_A0A829F7Y1
tig00000001_pilon_pilon	2457717	2458214	+	EFM745_02455	19.5	9.7		RefSeq:WP_002296098.1, SO:0001217, UniParc:UPI0001CEA47B, UniRef:UniRef100_A0A829FIA6, UniRef:UniRef50_A0A1M2WMI7, UniRef:UniRef90_A0A1M2WMI7
tig00000001_pilon_pilon	2515618	2515806	-	EFM745_02511	7.4	6.6		RefSeq:WP_002288067.1, SO:0001217, UniParc:UPI00003C5184, UniRef:UniRef100_A0A4Y3JNE8, UniRef:UniRef50_R2PU17, UniRef:UniRef90_A0A4Y3JNE8
tig00000001_pilon_pilon	2515830	2516093	-	EFM745_02512	10.2	6.8		RefSeq:WP_002292935.1, SO:0001217, UniParc:UPI0001BCC1BE, UniRef:UniRef100_A0A4Y3JQ21, UniRef:UniRef50_A0A2A7SMP9, UniRef:UniRef90_A0A4Y3JQ21
tig00000001_pilon_pilon	2530673	2530942	+	EFM745_02529	10.5	8.9		RefSeq:WP_002289125.1, SO:0001217, UniParc:UPI000037FA2E, UniRef:UniRef100_A0A4Y3JK60, UniRef:UniRef50_C9A8K3, UniRef:UniRef90_A0A179EVE1
tig00000001_pilon_pilon	2609011	2609397	-	EFM745_02603	15.0	9.1		SO:0001217, UniRef:UniRef50_A0AAV3GRI4, UniRef:UniRef90_A0AAV3GRI4
tig00000001_pilon_pilon	2611859	2612149	-	EFM745_02607	11.2	9.9		RefSeq:WP_002295437.1, SO:0001217, UniParc:UPI0001B6E28D, UniRef:UniRef100_A0A132P2L9, UniRef:UniRef50_R3W387, UniRef:UniRef90_A0A132P2L9
tig00000001_pilon_pilon	2618912	2619220	-	EFM745_02615	12.0	4.8		
tig00000001_pilon_pilon	2621829	2622116	-	EFM745_02618	11.0	9.4		RefSeq:WP_002289767.1, SO:0001217, UniParc:UPI00003C5388, UniRef:UniRef100_A0A132YZR7, UniRef:UniRef50_A0A132YZR7, UniRef:UniRef90_A0A132YZR7
tig00000001_pilon_pilon	2728675	2728935	-	EFM745_02718	10.4	9.7		RefSeq:WP_002288318.1, SO:0001217, UniParc:UPI00003C51B2, UniRef:UniRef100_A0A132Z4S0, UniRef:UniRef50_R2P8S5, UniRef:UniRef90_R2P8S5
tig00000002_pilon_pilon	6828	6950	+	EFM745_02783	4.6	4.5		RefSeq:WP_002293478.1, SO:0001217, UniParc:UPI0001B8FFBE, UniRef:UniRef100_A0A4Y3JNI2, UniRef:UniRef50_A0A4Y3JNI2, UniRef:UniRef90_A0A4Y3JNI2
tig00000002_pilon_pilon	16670	16912	+	EFM745_02794	9.3	7.8		RefSeq:WP_002305229.1, SO:0001217, UniParc:UPI000037F6D9, UniRef:UniRef100_A0A367CCF4, UniRef:UniRef50_A0A1V2UF64, UniRef:UniRef90_A0A367CCF4
tig00000002_pilon_pilon	27476	28069	+	EFM745_02802	23.5	9.4		RefSeq:WP_002317428.1, SO:0001217, UniParc:UPI00003DA490, UniRef:UniRef100_A0A132P1Q0, UniRef:UniRef50_A0A7V7Y2D1, UniRef:UniRef90_A0A7V7Y2D1
tig00000002_pilon_pilon	32132	32938	+	EFM745_02807	31.4	6.3		RefSeq:WP_002317425.1, SO:0001217, UniParc:UPI0001B8FFA9, UniRef:UniRef100_A0A132P1P9, UniRef:UniRef50_A0A1V2UF52, UniRef:UniRef90_R2PIM9
tig00000002_pilon_pilon	32961	33095	+	EFM745_02808	5.1	9.5		RefSeq:WP_002302850.1, SO:0001217, UniParc:UPI0001CEB789, UniRef:UniRef100_A0AAV3DRA7, UniRef:UniRef50_A0AAV3DRA7, UniRef:UniRef90_A0AAV3DRA7
tig00000002_pilon_pilon	34328	34597	+	EFM745_02810	10.8	7.9		RefSeq:WP_002305788.1, SO:0001217, UniParc:UPI0001B6F1CA, UniRef:UniRef100_A0A132P1P7, UniRef:UniRef50_B3CKG0, UniRef:UniRef90_A0A132P1P7
tig00000002_pilon_pilon	34829	35125	+	EFM745_02811	11.9	5.1		RefSeq:WP_002296377.1, SO:0001217, UniParc:UPI0001B6F32C, UniRef:UniRef100_A0A132P1P6, UniRef:UniRef50_A0A829F4D4, UniRef:UniRef90_A0A132P1P6
tig00000002_pilon_pilon	49539	49790	+	EFM745_02829	9.9	4.6		RefSeq:WP_002300797.1, SO:0001217, UniParc:UPI0001B6F202, UniRef:UniRef100_A0A132P2L4, UniRef:UniRef50_A0A133CM01, UniRef:UniRef90_A0A132P2L4
tig00000002_pilon_pilon	50926	51282	+	EFM745_02833	13.8	9.5		RefSeq:WP_002311569.1, SO:0001217, UniParc:UPI0001B6F333, UniRef:UniRef100_A0A132P1M4, UniRef:UniRef50_A0A132P1M4, UniRef:UniRef90_A0A132P1M4
tig00000002_pilon_pilon	51324	51605	+	EFM745_02834	11.0	9.5		RefSeq:WP_002311570.1, SO:0001217, UniParc:UPI0001B6F334, UniRef:UniRef100_A0A7V7Y1W2, UniRef:UniRef50_A0A7V7Y1W2, UniRef:UniRef90_A0A7V7Y1W2
