#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP014529.1:823992-825629|+   -            546 1507                 -            615         0 1028.2  18.0   1   1         0         0 1027.9  18.0    85   614    14   543     4   544 0.99 NZ_CP014529.1_815 # 823992 # 825629 # 1 # ID=1_815;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
NZ_CP014529.1:1845967-1846704|- -            246 1507                 -            615   6.9e-30  101.4   0.1   1   1   2.1e-31   8.3e-30  101.2   0.1   372   590     2   220     1   231 0.88 NZ_CP014529.1_1807 # 1845967 # 1846704 # -1 # ID=1_1807;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.396
NZ_CP014529.1:156564-157304|-   -            247 1507                 -            615   8.6e-30  101.1   0.0   1   1   2.6e-31     1e-29  100.9   0.0   373   596     5   228     1   232 0.88 NZ_CP014529.1_159 # 156564 # 157304 # -1 # ID=1_159;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
NZ_CP014529.1:2313005-2314198|- -            398 1507                 -            615   8.7e-30  101.1   0.0   1   1   3.5e-31   1.4e-29  100.4   0.0   390   598    43   254    36   265 0.88 NZ_CP014529.1_2276 # 2313005 # 2314198 # -1 # ID=1_2276;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.415
NZ_CP014529.1:1912912-1914438|- -            509 1507                 -            615   7.8e-29   97.9   0.4   1   2   5.3e-20   2.1e-18   63.5   0.1   393   593    24   228    19   239 0.86 NZ_CP014529.1_1869 # 1912912 # 1914438 # -1 # ID=1_1869;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
NZ_CP014529.1:1912912-1914438|- -            509 1507                 -            615   7.8e-29   97.9   0.4   2   2   1.2e-10   4.6e-09   32.6   0.0   362   589   250   487   231   500 0.78 NZ_CP014529.1_1869 # 1912912 # 1914438 # -1 # ID=1_1869;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
NZ_CP014529.1:1970794-1971486|- -            231 1507                 -            615   6.5e-28   94.9   0.0   1   1   1.8e-29     7e-28   94.8   0.0   373   594     4   225     1   230 0.89 NZ_CP014529.1_1927 # 1970794 # 1971486 # -1 # ID=1_1927;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.395
NZ_CP014529.1:47684-49246|+     -            521 1507                 -            615   1.3e-27   93.9   3.7   1   2   1.8e-18     7e-17   58.4   0.7   392   587    25   222    11   236 0.84 NZ_CP014529.1_43 # 47684 # 49246 # 1 # ID=1_43;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
NZ_CP014529.1:47684-49246|+     -            521 1507                 -            615   1.3e-27   93.9   3.7   2   2   8.9e-12   3.5e-10   36.3   0.1   390   587   276   483   246   498 0.82 NZ_CP014529.1_43 # 47684 # 49246 # 1 # ID=1_43;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
NZ_CP014529.1:508786-509829|+   -            348 1507                 -            615   1.6e-27   93.6   0.1   1   1   6.9e-29   2.7e-27   92.9   0.1   389   591    25   229     5   237 0.83 NZ_CP014529.1_491 # 508786 # 509829 # 1 # ID=1_491;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.423
NZ_CP014529.1:201222-202397|-   -            392 1507                 -            615   2.8e-27   92.8   0.3   1   1   9.4e-29   3.7e-27   92.4   0.3   373   597     1   225     1   234 0.88 NZ_CP014529.1_202 # 201222 # 202397 # -1 # ID=1_202;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.416
NZ_CP014529.1:624510-625595|+   -            362 1507                 -            615     4e-27   92.3   0.1   1   2   2.4e-28   9.5e-27   91.0   0.0   374   592     6   220     2   233 0.85 NZ_CP014529.1_600 # 624510 # 625595 # 1 # ID=1_600;partial=00;start_type=GTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.397
NZ_CP014529.1:624510-625595|+   -            362 1507                 -            615     4e-27   92.3   0.1   2   2       4.1   1.6e+02   -2.2   0.0   452   474   292   314   284   326 0.79 NZ_CP014529.1_600 # 624510 # 625595 # 1 # ID=1_600;partial=00;start_type=GTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.397
NZ_CP014529.1:2681507-2682922|- -            472 1507                 -            615   1.4e-26   90.5   2.2   1   2   8.9e-17   3.5e-15   52.8   0.2   374   589     2   222     1   249 0.83 NZ_CP014529.1_2588 # 2681507 # 2682922 # -1 # ID=1_2588;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NZ_CP014529.1:2681507-2682922|- -            472 1507                 -            615   1.4e-26   90.5   2.2   2   2   1.8e-11   7.2e-10   35.3   0.1   387   588   266   450   241   464 0.82 NZ_CP014529.1_2588 # 2681507 # 2682922 # -1 # ID=1_2588;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
NZ_CP014529.1:571947-573020|+   -            358 1507                 -            615   2.5e-26   89.7   0.1   1   1   8.8e-28   3.5e-26   89.2   0.1   390   594    21   227     1   233 0.84 NZ_CP014529.1_549 # 571947 # 573020 # 1 # ID=1_549;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.384
NZ_CP014529.1:1111897-1112583|+ -            229 1507                 -            615   1.1e-25   87.5   0.2   1   1   5.3e-27   2.1e-25   86.6   0.2   374   588     2   217     1   224 0.87 NZ_CP014529.1_1090 # 1111897 # 1112583 # 1 # ID=1_1090;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.419
NZ_CP014529.1:2719916-2720722|+ -            269 1507                 -            615   7.9e-25   84.7   0.5   1   1   2.6e-26     1e-24   84.4   0.5   382   589    17   233     5   243 0.89 NZ_CP014529.1_2619 # 2719916 # 2720722 # 1 # ID=1_2619;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.431
NZ_CP014529.1:1118188-1118994|+ -            269 1507                 -            615   3.4e-24   82.6   0.1   1   1   1.1e-25   4.2e-24   82.3   0.1   371   571    19   225     3   256 0.80 NZ_CP014529.1_1096 # 1118188 # 1118994 # 1 # ID=1_1096;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.401
NZ_CP014529.1:76312-77151|+     -            280 1507                 -            615   5.7e-24   81.9   0.0   1   1     2e-25   7.8e-24   81.4   0.0   374   597     5   229     1   237 0.83 NZ_CP014529.1_85 # 76312 # 77151 # 1 # ID=1_85;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.413
NZ_CP014529.1:1119010-1119768|+ -            253 1507                 -            615   8.8e-24   81.2   0.0   1   1   2.8e-25   1.1e-23   81.0   0.0   383   591    15   230     2   240 0.81 NZ_CP014529.1_1097 # 1119010 # 1119768 # 1 # ID=1_1097;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.381
NZ_CP014529.1:889014-890123|-   -            370 1507                 -            615   1.4e-23   80.6   0.3   1   1   5.1e-25     2e-23   80.1   0.3   385   595    16   223     2   230 0.86 NZ_CP014529.1_876 # 889014 # 890123 # -1 # ID=1_876;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.396
NZ_CP014529.1:363358-365694|-   -            779 1507                 -            615   3.7e-22   75.9   0.1   1   1   2.3e-23   9.1e-22   74.6   0.1   392   588    23   220     9   228 0.86 NZ_CP014529.1_360 # 363358 # 365694 # -1 # ID=1_360;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.387
NZ_CP014529.1:678143-678910|+   -            256 1507                 -            615   3.8e-22   75.8   0.0   1   1   1.3e-23     5e-22   75.5   0.0   390   595    24   235     2   240 0.80 NZ_CP014529.1_650 # 678143 # 678910 # 1 # ID=1_650;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
NZ_CP014529.1:1759237-1760007|- -            257 1507                 -            615   5.2e-22   75.4   0.2   1   1   1.6e-23   6.4e-22   75.1   0.2   379   589    14   233     6   245 0.88 NZ_CP014529.1_1722 # 1759237 # 1760007 # -1 # ID=1_1722;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
NZ_CP014529.1:861832-862467|+   -            212 1507                 -            615   8.6e-22   74.7   0.0   1   1   2.6e-23     1e-21   74.4   0.0   375   569     3   194     1   206 0.85 NZ_CP014529.1_853 # 861832 # 862467 # 1 # ID=1_853;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.379
NZ_CP014529.1:115911-116666|+   -            252 1507                 -            615   5.8e-21   71.9   3.1   1   1   1.7e-22   6.8e-21   71.7   3.1   374   606     2   233     1   238 0.90 NZ_CP014529.1_118 # 115911 # 116666 # 1 # ID=1_118;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
NZ_CP014529.1:823738-823992|+   -             85 1507                 -            615   1.1e-20   71.0   0.0   1   1   3.2e-22   1.2e-20   70.9   0.0    11    70    17    76     7    81 0.93 NZ_CP014529.1_814 # 823738 # 823992 # 1 # ID=1_814;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.455
NZ_CP014529.1:77127-77996|+     -            290 1507                 -            615   1.2e-20   70.9   0.0   1   1     4e-22   1.6e-20   70.5   0.0   374   597     3   235     1   240 0.83 NZ_CP014529.1_86 # 77127 # 77996 # 1 # ID=1_86;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
NZ_CP014530.1:113065-114096|-   -            344 1507                 -            615   1.2e-20   70.9   0.1   1   1   6.9e-22   2.7e-20   69.7   0.1   385   597    14   222     4   233 0.81 NZ_CP014530.1_108 # 113065 # 114096 # -1 # ID=2_108;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.433
NZ_CP014529.1:1424505-1425311|+ -            269 1507                 -            615   1.4e-20   70.7   0.2   1   1   7.5e-22   2.9e-20   69.6   0.2   378   600     8   232     2   238 0.83 NZ_CP014529.1_1403 # 1424505 # 1425311 # 1 # ID=1_1403;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.385
NZ_CP014529.1:877144-878097|+   -            318 1507                 -            615   3.5e-20   69.4   0.1   1   1   1.4e-21   5.3e-20   68.8   0.1   382   597    18   241     8   249 0.80 NZ_CP014529.1_865 # 877144 # 878097 # 1 # ID=1_865;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.389
NZ_CP014530.1:128306-128962|-   -            219 1507                 -            615   6.6e-20   68.4   1.7   1   1   1.2e-19   4.5e-18   62.4   1.7   375   581     5   202     2   215 0.82 NZ_CP014530.1_124 # 128306 # 128962 # -1 # ID=2_124;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.277
NZ_CP014529.1:1034272-1034940|+ -            223 1507                 -            615   1.1e-19   67.7   0.1   1   1   5.4e-21   2.1e-19   66.8   0.1   374   589     4   221     1   222 0.78 NZ_CP014529.1_1011 # 1034272 # 1034940 # 1 # ID=1_1011;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.369
NZ_CP014529.1:876084-877154|+   -            357 1507                 -            615   1.5e-19   67.2   0.2   1   1   6.1e-21   2.4e-19   66.6   0.2   389   596    23   243     6   249 0.79 NZ_CP014529.1_864 # 876084 # 877154 # 1 # ID=1_864;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.422
NZ_CP014529.1:373571-374323|+   -            251 1507                 -            615   2.3e-18   63.3   0.1   1   1   9.6e-20   3.7e-18   62.7   0.1   388   589    23   226     2   243 0.79 NZ_CP014529.1_371 # 373571 # 374323 # 1 # ID=1_371;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.396
NZ_CP014529.1:593258-594163|-   -            302 1507                 -            615   8.2e-18   61.5   0.4   1   1   1.7e-18   6.6e-17   58.5   0.4   387   595    16   215     5   223 0.84 NZ_CP014529.1_567 # 593258 # 594163 # -1 # ID=1_567;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.401
NZ_CP014529.1:384709-385410|+   -            234 1507                 -            615   8.8e-18   61.4   0.2   1   1   7.9e-19   3.1e-17   59.6   0.2   385   587    17   217     2   229 0.76 NZ_CP014529.1_380 # 384709 # 385410 # 1 # ID=1_380;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.396
NZ_CP014529.1:2392973-2394556|+ -            528 1507                 -            615   1.9e-17   60.3   1.0   1   4   4.8e-06   0.00019   17.4   0.1   389   432    17    60    12    78 0.87 NZ_CP014529.1_2350 # 2392973 # 2394556 # 1 # ID=1_2350;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
NZ_CP014529.1:2392973-2394556|+ -            528 1507                 -            615   1.9e-17   60.3   1.0   2   4    0.0046      0.18    7.6   0.0   510   553   158   201   143   240 0.80 NZ_CP014529.1_2350 # 2392973 # 2394556 # 1 # ID=1_2350;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
NZ_CP014529.1:2392973-2394556|+ -            528 1507                 -            615   1.9e-17   60.3   1.0   3   4     1e-07   3.9e-06   23.0   0.0   379   432   333   385   312   392 0.83 NZ_CP014529.1_2350 # 2392973 # 2394556 # 1 # ID=1_2350;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
NZ_CP014529.1:2392973-2394556|+ -            528 1507                 -            615   1.9e-17   60.3   1.0   4   4    0.0037      0.14    7.9   0.0   500   552   432   484   424   517 0.83 NZ_CP014529.1_2350 # 2392973 # 2394556 # 1 # ID=1_2350;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
NZ_CP014529.1:1728961-1729647|+ -            229 1507                 -            615   3.3e-17   59.5   0.0   1   1   1.2e-18   4.6e-17   59.1   0.0   390   591    24   225     6   228 0.81 NZ_CP014529.1_1696 # 1728961 # 1729647 # 1 # ID=1_1696;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.364
NZ_CP014529.1:989934-991868|-   -            645 1507                 -            615   3.6e-17   59.4   0.0   1   4   7.9e-05    0.0031   13.4   0.0   387   421    16    50     9    67 0.88 NZ_CP014529.1_964 # 989934 # 991868 # -1 # ID=1_964;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
NZ_CP014529.1:989934-991868|-   -            645 1507                 -            615   3.6e-17   59.4   0.0   2   4   1.2e-06   4.8e-05   19.4   0.0   506   547   160   201   142   216 0.85 NZ_CP014529.1_964 # 989934 # 991868 # -1 # ID=1_964;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
NZ_CP014529.1:989934-991868|-   -            645 1507                 -            615   3.6e-17   59.4   0.0   3   4   2.5e-05   0.00099   15.0   0.0   366   419   319   373   286   383 0.78 NZ_CP014529.1_964 # 989934 # 991868 # -1 # ID=1_964;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
NZ_CP014529.1:989934-991868|-   -            645 1507                 -            615   3.6e-17   59.4   0.0   4   4     0.013      0.51    6.1   0.0   511   598   446   533   440   541 0.78 NZ_CP014529.1_964 # 989934 # 991868 # -1 # ID=1_964;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
NZ_CP014529.1:2343136-2344068|- -            311 1507                 -            615   7.3e-17   58.4   0.0   1   1   2.6e-18     1e-16   57.9   0.0   387   595    15   220     4   226 0.88 NZ_CP014529.1_2307 # 2343136 # 2344068 # -1 # ID=1_2307;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.395
NZ_CP014529.1:996345-997088|+   -            248 1507                 -            615   2.4e-16   56.7   0.0   1   1   1.3e-17   5.2e-16   55.6   0.0   373   597     1   221     1   232 0.84 NZ_CP014529.1_970 # 996345 # 997088 # 1 # ID=1_970;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.366
NZ_CP014529.1:914298-914960|-   -            221 1507                 -            615   1.5e-15   54.1   0.2   1   1   4.7e-17   1.8e-15   53.8   0.2   375   582     3   211     1   217 0.83 NZ_CP014529.1_897 # 914298 # 914960 # -1 # ID=1_897;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.380
NZ_CP014529.1:99752-100696|+    -            315 1507                 -            615   1.5e-15   54.1   0.6   1   1   8.2e-16   3.2e-14   49.7   0.6   396   596    37   243    21   253 0.78 NZ_CP014529.1_106 # 99752 # 100696 # 1 # ID=1_106;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
NZ_CP014529.1:2405980-2406717|- -            246 1507                 -            615   3.3e-15   53.0   0.0   1   1   2.6e-16     1e-14   51.3   0.0   376   595     5   220     2   226 0.83 NZ_CP014529.1_2364 # 2405980 # 2406717 # -1 # ID=1_2364;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.393
NZ_CP014529.1:98747-99751|+     -            335 1507                 -            615   5.1e-15   52.3   0.1   1   1     2e-16   7.7e-15   51.7   0.1   389   608    25   259     2   265 0.76 NZ_CP014529.1_105 # 98747 # 99751 # 1 # ID=1_105;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.426
NZ_CP014529.1:2618939-2619874|- -            312 1507                 -            615   1.1e-14   51.2   0.3   1   1   1.4e-15   5.5e-14   48.9   0.3   391   600    22   228     5   237 0.82 NZ_CP014529.1_2533 # 2618939 # 2619874 # -1 # ID=1_2533;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.409
NZ_CP014529.1:2688285-2689025|- -            247 1507                 -            615   3.6e-14   49.5   0.3   1   1   1.5e-15   5.8e-14   48.8   0.3   382   596    10   220     1   235 0.75 NZ_CP014529.1_2596 # 2688285 # 2689025 # -1 # ID=1_2596;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.305
NZ_CP014529.1:2325258-2326790|+ -            511 1507                 -            615   6.3e-14   48.7   4.4   1   4   0.00024    0.0094   11.8   0.0   386   420    15    49     6    63 0.91 NZ_CP014529.1_2287 # 2325258 # 2326790 # 1 # ID=1_2287;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NZ_CP014529.1:2325258-2326790|+ -            511 1507                 -            615   6.3e-14   48.7   4.4   2   4     2e-06   7.7e-05   18.7   0.1   508   545   157   194   134   264 0.76 NZ_CP014529.1_2287 # 2325258 # 2326790 # 1 # ID=1_2287;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NZ_CP014529.1:2325258-2326790|+ -            511 1507                 -            615   6.3e-14   48.7   4.4   3   4    0.0022     0.087    8.6   0.0   379   421   327   367   316   393 0.79 NZ_CP014529.1_2287 # 2325258 # 2326790 # 1 # ID=1_2287;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NZ_CP014529.1:2325258-2326790|+ -            511 1507                 -            615   6.3e-14   48.7   4.4   4   4    0.0023     0.091    8.5   0.1   505   555   432   482   410   499 0.83 NZ_CP014529.1_2287 # 2325258 # 2326790 # 1 # ID=1_2287;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NZ_CP014529.1:2565021-2565701|- -            227 1507                 -            615   3.6e-13   46.2   0.0   1   1   3.1e-14   1.2e-12   44.5   0.0   379   572     9   201     2   215 0.74 NZ_CP014529.1_2478 # 2565021 # 2565701 # -1 # ID=1_2478;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.404
NZ_CP014529.1:1966471-1967208|- -            246 1507                 -            615   4.2e-13   46.0   0.0   1   1   1.6e-14   6.2e-13   45.4   0.0   388   582    16   202     3   211 0.83 NZ_CP014529.1_1922 # 1966471 # 1967208 # -1 # ID=1_1922;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.408
