#                                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001_pilon_pilon:1379224-1382022|+ -            933 27414                -            927         0 1924.4   3.3   1   1         0         0 1924.2   3.3     1   927     1   930     1   930 0.99 tig00000001_pilon_pilon_1293 # 1379224 # 1382022 # 1 # ID=1_1293;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
tig00000001_pilon_pilon:1529263-1531272|+ -            670 27414                -            927   1.3e-17   60.4   0.5   2   2   3.7e-09   2.3e-06   23.2   0.0   522   782   234   499   191   518 0.73 tig00000001_pilon_pilon_1459 # 1529263 # 1531272 # 1 # ID=1_1459;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.394
tig00000001_pilon_pilon:468606-470018|-   -            471 27414                -            927   2.7e-08   29.6   0.0   1   2    0.0075       4.6    2.3   0.0    57    95    30    68    11    98 0.83 tig00000001_pilon_pilon_433 # 468606 # 470018 # -1 # ID=1_433;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
tig00000001_pilon_pilon:468606-470018|-   -            471 27414                -            927   2.7e-08   29.6   0.0   2   2     1e-09   6.2e-07   25.0   0.0   559   652   235   329   208   362 0.82 tig00000001_pilon_pilon_433 # 468606 # 470018 # -1 # ID=1_433;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/27414at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_pilon_r2_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_pilon_r2_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/27414at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/27414at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_pilon_r2_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 00:59:21 2026
# [ok]
