#                                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001_pilon_pilon:1379224-1382022|+ -            933 19235                -            930         0 2031.7   3.8   1   1         0         0 2031.5   3.8     1   930     1   930     1   930 1.00 tig00000001_pilon_pilon_1293 # 1379224 # 1382022 # 1 # ID=1_1293;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
tig00000001_pilon_pilon:1529263-1531272|+ -            670 19235                -            930   1.5e-16   56.9   0.4   2   2   2.2e-08   1.4e-05   20.6   0.0   545   782   263   499   223   517 0.68 tig00000001_pilon_pilon_1459 # 1529263 # 1531272 # 1 # ID=1_1459;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.394
tig00000001_pilon_pilon:468606-470018|-   -            471 19235                -            930   1.9e-07   26.7   0.0   1   2      0.03        18    0.3   0.0    57    95    30    68     6    96 0.82 tig00000001_pilon_pilon_433 # 468606 # 470018 # -1 # ID=1_433;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
tig00000001_pilon_pilon:468606-470018|-   -            471 19235                -            930   1.9e-07   26.7   0.0   2   2   2.1e-09   1.3e-06   24.0   0.0   565   653   241   330   208   360 0.80 tig00000001_pilon_pilon_433 # 468606 # 470018 # -1 # ID=1_433;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19235at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/canu_pacbio_pilon_r2_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/canu_pacbio_pilon_r2_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/19235at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19235at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/canu_pacbio_pilon_r2_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 00:56:37 2026
# [ok]
