#                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_7_length_162800_cov_68.413407:67893-70691|+  -            933 30823                -            882  2.1e-188  625.4   8.8   1   1  2.1e-190  1.3e-187  622.8   8.8     9   754    24   815    18   845 0.87 NODE_7_length_162800_cov_68.413407_70 # 67893 # 70691 # 1 # ID=7_70;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
NODE_13_length_81038_cov_67.502957:6861-8273|-    -            471 30823                -            882   3.7e-11   39.0   2.5   1   2   0.00021      0.13    7.4   0.1    26    70    19    62     6    68 0.83 NODE_13_length_81038_cov_67.502957_10 # 6861 # 8273 # -1 # ID=13_10;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
NODE_13_length_81038_cov_67.502957:6861-8273|-    -            471 30823                -            882   3.7e-11   39.0   2.5   2   2   1.1e-11   6.6e-09   31.5   0.4   529   600   257   330   240   385 0.75 NODE_13_length_81038_cov_67.502957_10 # 6861 # 8273 # -1 # ID=13_10;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/archaea_odb12/hmms/30823at2157.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/auto_lineage/run_archaea_odb12/hmmer_output/30823at2157.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/archaea_odb12/hmms/30823at2157.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/spades_scaffolds_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Mon Apr 20 03:15:02 2026
# [ok]
