#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_2:1290823-1291251|+ -            143 29046                -            140   1.9e-73  242.6   9.7   1   1   8.5e-76   2.2e-73  242.4   9.7     2   139     4   142     3   142 0.97 contig_2_1236 # 1290823 # 1291251 # 1 # ID=5_1236;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.357
contig_10:22535-23215|-    -            227 29046                -            140     0.099   10.1   3.6   1   2    0.0018      0.45    8.0   0.3    36    68    24    57     4    77 0.84 contig_10_30 # 22535 # 23215 # -1 # ID=2_30;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
contig_10:22535-23215|-    -            227 29046                -            140     0.099   10.1   3.6   2   2     0.075        19    2.7   0.1     4    35   137   170   134   205 0.72 contig_10_30 # 22535 # 23215 # -1 # ID=2_30;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
contig_10:25280-25960|-    -            227 29046                -            140     0.099   10.1   3.6   1   2    0.0018      0.45    8.0   0.3    36    68    24    57     4    77 0.84 contig_10_33 # 25280 # 25960 # -1 # ID=2_33;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
contig_10:25280-25960|-    -            227 29046                -            140     0.099   10.1   3.6   2   2     0.075        19    2.7   0.1     4    35   137   170   134   205 0.72 contig_10_33 # 25280 # 25960 # -1 # ID=2_33;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
contig_10:6872-7552|+      -            227 29046                -            140     0.099   10.1   3.6   1   2    0.0018      0.45    8.0   0.3    36    68    24    57     4    77 0.84 contig_10_11 # 6872 # 7552 # 1 # ID=2_11;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
contig_10:6872-7552|+      -            227 29046                -            140     0.099   10.1   3.6   2   2     0.075        19    2.7   0.1     4    35   137   170   134   205 0.72 contig_10_11 # 6872 # 7552 # 1 # ID=2_11;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
contig_8:5737-6417|-       -            227 29046                -            140     0.099   10.1   3.6   1   2    0.0018      0.45    8.0   0.3    36    68    24    57     4    77 0.84 contig_8_8 # 5737 # 6417 # -1 # ID=10_8;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
contig_8:5737-6417|-       -            227 29046                -            140     0.099   10.1   3.6   2   2     0.075        19    2.7   0.1     4    35   137   170   134   205 0.72 contig_8_8 # 5737 # 6417 # -1 # ID=10_8;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
contig_10:1439-2119|+      -            227 29046                -            140      0.17    9.4   4.5   1   2    0.0019      0.47    7.9   0.8    36    68    24    57     4    89 0.84 contig_10_3 # 1439 # 2119 # 1 # ID=2_3;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
contig_10:1439-2119|+      -            227 29046                -            140      0.17    9.4   4.5   2   2     0.075        19    2.7   0.1     4    35   137   170   134   205 0.72 contig_10_3 # 1439 # 2119 # 1 # ID=2_3;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/29046at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/29046at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/29046at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:19:29 2026
# [ok]
