#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:51058-52167|-     -            370 16872                -            369    4e-224  740.7   0.0   1   1  1.3e-226  4.4e-224  740.5   0.0     1   369     1   369     1   369 1.00 tig00000001_39 # 51058 # 52167 # -1 # ID=1_39;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.402
tig00000001:2140840-2143656|+ -            939 16872                -            369    0.0048   13.2   0.1   1   3       1.4   4.7e+02   -3.2   0.0   164   210    26    72    14    77 0.77 tig00000001_2075 # 2140840 # 2143656 # 1 # ID=1_2075;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
tig00000001:2140840-2143656|+ -            939 16872                -            369    0.0048   13.2   0.1   2   3   0.00015     0.052    9.8   0.0   162   199   629   665   592   694 0.82 tig00000001_2075 # 2140840 # 2143656 # 1 # ID=1_2075;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
tig00000001:2140840-2143656|+ -            939 16872                -            369    0.0048   13.2   0.1   3   3      0.15        53   -0.1   0.0   303   351   780   825   740   836 0.67 tig00000001_2075 # 2140840 # 2143656 # 1 # ID=1_2075;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
tig00000001:2172380-2172967|+ -            196 16872                -            369    0.0058   13.0   0.0   1   2   5.2e-05     0.018   11.3   0.0   167   223    26    78    14    92 0.86 tig00000001_2102 # 2172380 # 2172967 # 1 # ID=1_2102;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.393
tig00000001:2172380-2172967|+ -            196 16872                -            369    0.0058   13.0   0.0   2   2       0.3     1e+02   -1.0   0.0   100   116   134   150   100   192 0.69 tig00000001_2102 # 2172380 # 2172967 # 1 # ID=1_2102;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.393
tig00000007:7775-8125|+       -            117 16872                -            369     0.013   11.8   0.0   1   1   4.3e-05     0.015   11.6   0.0    12    62    60   110    49   116 0.88 tig00000007_14 # 7775 # 8125 # 1 # ID=7_14;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.365
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/16872at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/16872at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/16872at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/canu_pacbio_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:15:15 2026
# [ok]
